Model,RMSE,MAE,Hausdorff_max,Chamfer_mean,Length_Error,Width_Error,Area_Error,IoU,Dice,EMD
PCA_GPR,14.65830,13.99716,14.41495,3.91530,43.67072,4.18544,1585.42645,0.86512,0.92666,13.78526
PCA_KRR,12.00138,11.24753,4.77322,1.57640,9.47690,1.51721,494.53284,0.93678,0.96720,10.93380
PCA_LINEAR,11.88485,11.16515,4.66911,1.52122,10.06442,1.46474,460.36829,0.93908,0.96840,10.85147
PCA_SVR,11.99827,11.21940,4.90421,1.61634,9.47673,1.54313,473.01550,0.93580,0.96668,10.88575
PURE_GPR,11.91565,11.23131,5.66156,1.85937,12.74065,1.56102,600.33112,0.92143,0.95894,10.93226
PURE_KRR,11.96139,11.19174,5.11444,1.69384,10.12387,1.45926,599.55528,0.92785,0.96236,10.87926
PURE_SVR,12.04997,11.26819,5.31802,1.71716,10.77463,1.50162,651.46738,0.92737,0.96206,10.95614
RATIO_CTRL,2.29746,2.11504,3.01585,1.21562,2.94304,1.96471,447.55601,0.95431,0.97634,1.69696
