Type,Cluster_ID,size,Model,RMSE,MAE,Hausdorff_max,Chamfer_mean,Length_Error,Width_Error,Size_Error,Area_Error,IoU,Dice,EMD
Type00,1,240,PCA_KRR,15.22307,14.20537,4.68075,0.85161,7.58545,1.56206,0.26973,283.92003,0.96564,0.98252,0.00000
Type00,1,240,PCA_LINEAR,11.71461,10.79430,9.93467,2.85788,39.73845,3.96132,9.93467,1409.75545,0.89543,0.94483,0.00000
Type00,1,240,PCA_SVR,15.26218,14.34377,4.60780,0.78340,4.36919,1.33745,1.33838,222.31896,0.96608,0.98275,0.00000
Type00,1,240,PURE_GPR,14.78152,13.80471,4.99699,0.92293,8.10372,1.68154,0.23013,278.40872,0.95921,0.97918,0.00000
Type00,1,240,PURE_KRR,15.13759,14.12707,4.66033,0.84569,7.64703,1.55621,0.29967,286.39737,0.96632,0.98287,0.00000
Type00,1,240,PURE_SVR,14.25124,13.29269,4.72326,0.74882,8.36280,1.62275,0.01101,374.13797,0.97003,0.98479,0.00000
Type00,1,240,RATIO_CTRL,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,1.00000,0.00000
Type00,1,245,PCA_KRR,14.50842,13.47314,5.12381,1.11432,10.68742,2.04724,0.36386,696.04073,0.95718,0.97812,0.00000
Type00,1,245,PCA_LINEAR,11.76069,10.81021,9.78256,2.98686,38.83249,3.95496,8.93680,1570.37158,0.89394,0.94400,0.00000
Type00,1,245,PCA_SVR,14.88870,13.81704,4.86684,0.91342,10.82949,1.77058,0.37092,564.88612,0.96447,0.98191,0.00000
Type00,1,245,PURE_GPR,15.02254,13.96066,4.69995,1.10569,9.72796,1.95695,0.20454,732.77972,0.95556,0.97727,0.00000
Type00,1,245,PURE_KRR,14.57436,13.54069,5.16500,1.09186,10.74788,2.04705,0.43986,687.63399,0.95532,0.97715,0.00000
Type00,1,245,PURE_SVR,14.30320,13.29703,5.40752,1.28875,10.23155,2.21543,0.13662,781.09115,0.95228,0.97556,0.00000
Type00,1,245,RATIO_CTRL,2.46451,2.31760,2.85375,1.25062,2.32948,0.69572,1.20935,4.75859,0.95236,0.97560,0.00000
Type00,1,255,PCA_KRR,15.54380,14.36212,3.98535,1.19177,9.20497,1.55753,0.53677,241.54399,0.95276,0.97581,0.00000
Type00,1,255,PCA_LINEAR,12.57015,11.60875,10.14187,3.34799,39.86593,3.40421,8.74287,959.90633,0.88211,0.93736,0.00000
Type00,1,255,PCA_SVR,16.01601,14.97947,3.96298,0.81970,5.69804,1.68688,1.19829,300.14574,0.96548,0.98244,0.00000
Type00,1,255,PURE_GPR,16.26649,15.14704,4.15322,1.29818,8.76249,1.41403,0.97434,270.30255,0.94568,0.97208,0.00000
Type00,1,255,PURE_KRR,15.57489,14.41113,3.95606,1.16007,9.15233,1.56481,0.49054,243.71342,0.95502,0.97699,0.00000
Type00,1,255,PURE_SVR,16.09335,14.97248,4.04852,0.97467,7.65231,1.92716,0.64392,251.48859,0.95161,0.97521,0.00000
Type00,1,255,RATIO_CTRL,3.73979,3.09548,7.60006,2.44120,4.05059,2.59062,1.85559,960.21028,0.90947,0.95259,0.00000
Type00,1,265,PCA_KRR,16.60382,15.40856,5.32529,1.50398,12.71028,3.39207,1.64578,937.91865,0.94145,0.96984,0.00000
Type00,1,265,PCA_LINEAR,13.72730,12.47704,12.66271,3.32787,47.83185,5.82624,12.66271,1850.99152,0.88466,0.93880,0.00000
Type00,1,265,PCA_SVR,15.70676,14.45380,4.51505,1.12429,13.94242,2.52634,1.91686,695.24294,0.95701,0.97803,0.00000
Type00,1,265,PURE_GPR,16.55129,15.38626,6.17586,1.56976,12.87319,3.25040,1.00523,796.11537,0.93735,0.96766,0.00000
Type00,1,265,PURE_KRR,16.48384,15.29731,5.25713,1.51059,12.56769,3.38697,1.56158,945.08823,0.94074,0.96946,0.00000
Type00,1,265,PURE_SVR,17.33782,16.09486,5.62091,1.62116,11.36928,3.45067,1.85105,798.20374,0.93274,0.96520,0.00000
Type00,1,265,RATIO_CTRL,3.32421,3.21124,4.28803,1.49212,1.27401,1.48956,1.60869,433.09433,0.94095,0.96958,0.00000
Type00,1,270,PCA_KRR,16.34295,15.24522,3.90720,1.34818,7.11947,1.28059,0.04459,70.23584,0.94674,0.97264,0.00000
Type00,1,270,PCA_LINEAR,12.61338,11.71486,10.48905,3.16288,39.42669,3.88651,10.48905,1082.44448,0.88643,0.93980,0.00000
Type00,1,270,PCA_SVR,15.62444,14.44010,4.48918,1.16102,11.36325,2.16339,0.76361,553.51658,0.94561,0.97204,0.00000
Type00,1,270,PURE_GPR,16.13898,15.02836,4.14067,1.31578,6.76599,1.35324,0.00044,9.48363,0.94248,0.97039,0.00000
Type00,1,270,PURE_KRR,16.31889,15.19947,3.91680,1.35397,7.13927,1.27881,0.10080,72.13593,0.94603,0.97227,0.00000
Type00,1,270,PURE_SVR,16.61498,15.49005,3.77640,1.39460,5.86815,0.97052,0.18933,127.12130,0.94867,0.97366,0.00000
Type00,1,270,RATIO_CTRL,4.34787,3.85388,7.47286,2.85420,7.36043,4.09143,0.81072,1390.74461,0.90095,0.94790,0.00000
Type00,1,275,PCA_KRR,17.15320,15.96022,4.80698,1.23437,12.61821,2.73732,0.31178,825.16301,0.95769,0.97839,0.00000
Type00,1,275,PCA_LINEAR,13.73254,12.71598,9.40518,3.59034,40.51177,5.33405,8.72320,1882.45537,0.88417,0.93852,0.00000
Type00,1,275,PCA_SVR,15.56826,14.34174,4.94795,1.68901,21.61805,2.63870,1.45681,1049.33725,0.94513,0.97179,0.00000
Type00,1,275,PURE_GPR,17.39840,16.18635,4.66273,1.47964,14.28970,2.96195,0.73717,1001.66150,0.94956,0.97413,0.00000
Type00,1,275,PURE_KRR,17.25961,16.06374,4.86905,1.17830,12.41536,2.70282,0.35712,800.27006,0.95785,0.97847,0.00000
Type00,1,275,PURE_SVR,17.22501,15.92276,4.87513,0.90030,11.26382,2.12211,0.05656,623.84319,0.96599,0.98270,0.00000
Type00,1,275,RATIO_CTRL,3.78620,3.59375,3.88869,1.46230,8.58493,3.28598,2.76493,784.58243,0.95064,0.97469,0.00000
Type01,2,230,PCA_KRR,14.40543,13.48291,3.77391,0.73367,5.60613,0.98655,1.01422,357.08036,0.96804,0.98376,0.00000
Type01,2,230,PCA_LINEAR,14.15616,13.22336,4.09093,0.94919,10.59237,0.93440,1.25733,342.50166,0.96228,0.98078,0.00000
Type01,2,230,PCA_SVR,15.06248,14.26157,3.76621,0.85741,1.40533,0.53976,2.26339,186.34196,0.96366,0.98149,0.00000
Type01,2,230,PURE_GPR,14.37416,13.44475,4.30165,0.86522,5.09927,1.15781,1.63698,305.96421,0.95946,0.97931,0.00000
Type01,2,230,PURE_KRR,14.37346,13.44899,3.80907,0.75205,5.88175,0.92802,0.93420,356.81198,0.96788,0.98368,0.00000
Type01,2,230,PURE_SVR,14.16051,13.20507,3.78098,0.68620,8.37119,1.06212,0.00422,411.81599,0.97035,0.98495,0.00000
Type01,2,240,PCA_KRR,14.43001,13.28236,5.04882,1.12918,12.79096,1.53592,2.11850,457.28539,0.95354,0.97622,0.00000
Type01,2,240,PCA_LINEAR,14.85201,13.57793,6.20597,1.63853,17.36682,0.80594,4.15790,414.51398,0.93642,0.96717,0.00000
Type01,2,240,PCA_SVR,13.78060,12.63291,4.53364,1.17870,15.84617,1.78708,2.64242,649.69943,0.95209,0.97546,0.00000
Type01,2,240,PURE_GPR,14.54094,13.40587,4.79562,1.05265,11.85908,0.95259,1.56944,389.47673,0.95402,0.97647,0.00000
Type01,2,240,PURE_KRR,14.41542,13.27728,5.04477,1.13961,12.64016,1.61514,2.04876,471.01308,0.95322,0.97605,0.00000
Type01,2,240,PURE_SVR,15.04470,13.89606,4.76048,0.90049,14.69848,1.40466,1.80449,563.97823,0.96183,0.98054,0.00000
Type01,2,240,RATIO_CTRL,4.30143,4.20119,3.48400,1.37809,5.36143,1.29770,3.20051,219.84710,0.94405,0.97122,0.00000
Type01,2,250,PCA_KRR,15.20806,14.19222,5.39328,1.50949,7.04350,0.60824,1.64737,498.54188,0.94410,0.97125,0.00000
Type01,2,250,PCA_LINEAR,14.73684,13.75350,5.57483,1.67442,15.22993,0.69860,1.84398,636.44986,0.93780,0.96790,0.00000
Type01,2,250,PCA_SVR,15.88696,15.02114,4.37121,0.91698,2.77904,0.61853,2.16486,264.24552,0.96540,0.98240,0.00000
Type01,2,250,PURE_GPR,15.10374,14.09360,4.96614,1.44735,8.49940,0.65900,1.01442,604.57155,0.94555,0.97201,0.00000
Type01,2,250,PURE_KRR,15.24689,14.24817,5.29923,1.43191,6.68597,0.62775,1.66973,475.78556,0.94671,0.97263,0.00000
Type01,2,250,PURE_SVR,15.98739,15.01844,6.55283,2.57391,4.37194,0.18518,3.25691,423.59169,0.90722,0.95136,0.00000
Type01,2,250,RATIO_CTRL,2.28345,1.92040,3.58607,1.27423,1.88778,2.38967,1.12645,309.81867,0.95062,0.97468,0.00000
Type01,2,260,PCA_KRR,15.57766,14.43645,5.43405,1.17854,11.34037,2.38702,1.35392,546.61385,0.95236,0.97560,0.00000
Type01,2,260,PCA_LINEAR,15.36992,14.35628,8.62254,2.70885,19.13596,3.28269,5.42355,636.59082,0.90404,0.94960,0.00000
Type01,2,260,PCA_SVR,14.74253,13.59866,5.00711,1.22483,16.20911,2.44877,2.50781,744.33607,0.94933,0.97401,0.00000
Type01,2,260,PURE_GPR,16.20669,15.05078,6.08638,1.62155,11.12889,2.97531,1.75683,587.70017,0.93891,0.96849,0.00000
Type01,2,260,PURE_KRR,15.56129,14.41907,5.34577,1.08711,11.39697,2.25603,1.29942,540.31874,0.95397,0.97644,0.00000
Type01,2,260,PURE_SVR,15.52281,14.47121,4.71304,0.84845,9.36978,1.81980,0.29075,493.31455,0.96684,0.98314,0.00000
Type01,2,260,RATIO_CTRL,5.42874,5.15718,6.86507,2.42683,4.52501,0.88076,4.98221,641.63232,0.91594,0.95613,0.00000
Type01,2,280,PCA_KRR,17.30367,16.22231,5.22030,1.08603,8.80198,1.25294,0.64490,475.07898,0.95930,0.97923,0.00000
Type01,2,280,PCA_LINEAR,16.45391,15.49740,5.63286,1.94752,14.92268,1.23115,2.85759,461.90607,0.93211,0.96486,0.00000
Type01,2,280,PCA_SVR,18.00943,17.03549,5.07231,0.99896,4.05189,1.11328,2.10486,333.51483,0.96074,0.97997,0.00000
