Model,Cluster_ID,RMSE,MAE,Hausdorff_max,Chamfer_mean,Length_Error,Width_Error,Size_Error,Area_Error,IoU,Dice,EMD
PCA_KRR,1,16.03692,14.92481,4.65726,1.09963,10.10584,2.01865,0.42337,518.60560,0.95790,0.97847,0.00000
PCA_KRR,2,15.70690,14.59790,4.79663,1.27671,8.95050,1.45749,1.67519,525.71899,0.95135,0.97503,0.00000
PCA_KRR,3,15.58562,14.41799,4.60190,1.08732,11.32493,1.98220,0.83487,497.84160,0.95480,0.97688,0.00000
PCA_KRR,4,16.48890,15.36507,4.70402,0.99104,10.51034,2.41486,0.24546,490.37407,0.95779,0.97844,0.00000
PCA_LINEAR,1,13.89820,12.86784,8.50862,2.49890,30.81270,3.55200,6.70386,1152.29205,0.91170,0.95348,0.00000
PCA_LINEAR,2,15.94095,14.83861,6.69182,1.81915,6.32075,1.17546,2.20880,694.83263,0.93263,0.96509,0.00000
PCA_LINEAR,3,12.75686,11.53749,10.54010,3.05459,41.51190,3.34812,10.19639,1182.67576,0.88680,0.93997,0.00000
PCA_LINEAR,4,21.62670,21.13408,12.33101,3.75456,26.89573,1.00552,12.05874,475.67874,0.87158,0.93137,0.00000
PCA_SVR,1,15.83805,14.74226,4.61650,1.03093,10.60735,1.94030,1.18109,542.18358,0.96024,0.97969,0.00000
PCA_SVR,2,15.94992,14.87892,4.92274,1.28742,8.23056,1.37113,2.70135,469.05834,0.95093,0.97480,0.00000
PCA_SVR,3,15.03553,13.88333,5.36482,1.43025,14.39884,1.95017,1.66076,608.59888,0.94378,0.97101,0.00000
PCA_SVR,4,17.35090,16.37209,4.80223,1.05794,4.31745,1.95215,2.02914,277.85058,0.95246,0.97565,0.00000
PURE_GPR,1,16.12243,15.01796,4.76292,1.14315,10.17351,2.02355,0.42354,522.55658,0.95474,0.97682,0.00000
PURE_GPR,2,15.70467,14.58669,4.94608,1.34913,9.11073,1.47739,1.77337,546.63199,0.94553,0.97195,0.00000
PURE_GPR,3,15.56239,14.39395,4.67288,1.11550,11.44816,2.00477,0.58364,504.48544,0.95398,0.97645,0.00000
PURE_GPR,4,16.44694,15.31862,4.71390,1.00468,10.66705,2.38093,0.17500,481.16470,0.95870,0.97891,0.00000
PURE_KRR,1,16.03322,14.92213,4.65460,1.08434,10.07305,2.01418,0.43184,516.57582,0.95799,0.97852,0.00000
PURE_KRR,2,15.65890,14.54649,4.86302,1.27720,9.14801,1.46209,1.56052,541.01058,0.94879,0.97367,0.00000
PURE_KRR,3,15.58542,14.41449,4.56408,1.06729,11.31148,1.97385,0.70524,495.70472,0.95598,0.97749,0.00000
PURE_KRR,4,16.47396,15.34559,4.69868,0.99192,10.71313,2.43825,0.22772,499.49483,0.95735,0.97821,0.00000
PURE_SVR,1,16.08782,14.97198,4.71865,1.06245,9.50531,2.00887,0.38440,507.99197,0.95808,0.97855,0.00000
PURE_SVR,2,15.92357,14.79950,5.03718,1.30467,9.74763,1.44487,1.43709,551.68438,0.94759,0.97300,0.00000
PURE_SVR,3,15.58085,14.45963,4.60927,1.05590,10.11112,1.98409,0.52923,460.59963,0.95505,0.97701,0.00000
PURE_SVR,4,16.41703,15.28019,4.68175,0.99574,11.05194,2.44551,0.19163,499.33901,0.95766,0.97837,0.00000
RATIO_CTRL,1,2.51963,2.28488,3.74620,1.36637,3.51948,1.92955,1.17319,531.76409,0.95094,0.97456,0.00000
RATIO_CTRL,2,3.35265,3.03984,4.80671,1.72721,4.49736,3.27698,1.79652,650.55394,0.94033,0.96912,0.00000
RATIO_CTRL,3,3.94325,3.34442,6.36572,2.73883,8.86244,5.64015,0.86000,1374.56479,0.89861,0.94659,0.00000
RATIO_CTRL,4,3.13825,2.75525,4.39343,1.91461,3.90042,3.52612,0.87418,557.90928,0.93149,0.96388,0.00000
