Model,RMSE,MAE,Hausdorff_max,Chamfer_mean,Length_Error,Width_Error,Size_Error,Area_Error,IoU,Dice,EMD
PCA_KRR,14.29645,13.27554,3.96807,1.04340,8.19997,1.34205,1.15909,453.61580,0.95913,0.97910,0.00000
PCA_LINEAR,14.17164,13.17757,7.04973,2.04748,14.80701,1.58028,4.12617,776.17586,0.92471,0.96072,0.00000
PCA_SVR,14.42177,13.43738,4.17350,1.07015,7.81123,1.25428,2.11682,419.40872,0.95773,0.97837,0.00000
PURE_GPR,14.28141,13.25748,4.07986,1.08123,8.28980,1.33301,1.18377,464.04509,0.95641,0.97767,0.00000
PURE_KRR,14.27043,13.24658,4.02450,1.03330,8.30825,1.33025,1.06097,459.48976,0.95793,0.97847,0.00000
PURE_SVR,14.42243,13.38513,4.13979,1.03731,8.72535,1.34189,0.92878,488.78133,0.95732,0.97814,0.00000
RATIO_CTRL,3.28909,2.94933,4.80667,1.82091,4.33151,3.17867,1.30455,654.09438,0.93887,0.96824,0.00000
