type, side, size, x1, y1, x2, y2, x3, y3, x4, y4, x5, y5, x6, y6, x7, y7, x8, y8, x9, y9, x10, y10, x11, y11, x12, y12, x13, y13, x14, y14, x15, y15, x16, y16, x17, y17, x18, y18, x19, y19, x20, y20, x21, y21, x22, y22, x23, y23, x24, y24, x25, y25, x26, y26, x27, y27, x28, y28, x29, y29, x30, y30, x31, y31, x32, y32, x33, y33, x34, y34, x35, y35, x36, y36, x37, y37
Type01, L, 280, 58.937249, 281.779247, 52.955548, 281.762802, 39.463563, 279.428877, 26.738940, 262.402626, 23.458385, 244.038219, 20.256653, 225.274294, 17.825631, 206.597662, 14.785608, 188.768534, 11.349116, 169.429248, 7.825106, 151.871092, 4.068342, 133.150580, 1.141305, 115.280118, 0.000000, 95.997431, 1.267652, 78.117366, 4.877970, 60.168810, 10.540441, 43.043126, 18.494203, 25.368787, 30.760344, 8.990832, 49.130929, 0.000000, 68.543604, 3.493413, 82.220357, 19.893788, 86.562661, 37.513099, 89.651315, 56.223913, 91.117434, 73.845456, 89.450553, 92.992849, 87.693484, 110.776359, 86.736705, 129.670283, 87.053612, 148.366732, 88.729702, 166.727583, 91.205531, 185.000483, 89.809479, 202.712728, 89.334722, 222.201622, 89.371524, 241.027365, 87.839463, 258.175271, 78.615374, 276.727744, 64.864017, 281.522791, 59.554123, 281.156568
Type01, L, 290, 60.070581, 291.763461, 53.850728, 291.915898, 40.481359, 289.063749, 26.949468, 271.240223, 24.627829, 252.543198, 21.179873, 233.441726, 18.215044, 214.492501, 15.902750, 195.729846, 13.404436, 176.330262, 9.584541, 158.224979, 5.303013, 138.362113, 1.679324, 119.300688, 0.000000, 100.092205, 0.831634, 80.444152, 4.527832, 61.609683, 10.832471, 42.828859, 19.592702, 25.060278, 32.316663, 8.558718, 51.186997, 0.000000, 70.631409, 3.636200, 84.708890, 20.608905, 88.823596, 39.323955, 92.978235, 58.252748, 94.736646, 76.966160, 92.571623, 97.794852, 91.569880, 114.441726, 91.601842, 134.742831, 92.217236, 154.192605, 93.198438, 173.372331, 93.839163, 191.621732, 94.244655, 211.787263, 93.731187, 229.872092, 92.066210, 248.737314, 89.575044, 268.014470, 80.845908, 286.519344, 65.766255, 291.659101, 60.860242, 291.261640
Type02, L, 230, 62.950387, 230.327558, 58.307948, 230.043797, 46.833512, 227.906519, 36.014815, 214.339991, 31.807207, 199.264729, 28.441441, 183.891273, 25.243126, 168.636074, 21.697668, 153.637096, 17.344075, 138.044394, 12.297270, 123.569905, 6.468129, 108.487392, 2.143120, 93.623793, 0.000000, 77.426959, 0.618239, 62.516144, 3.326119, 47.041674, 8.360093, 32.181297, 15.972445, 17.214019, 28.405231, 5.537202, 43.323674, 0.000000, 59.687914, 0.017368, 72.716223, 11.920772, 79.215158, 26.926340, 82.996373, 41.390105, 85.472776, 57.523469, 87.610974, 72.379955, 82.911150, 87.924693, 77.355822, 103.080371, 71.787493, 118.333969, 71.888124, 134.925173, 75.132091, 149.701816, 79.949257, 165.496421, 84.004644, 179.702937, 86.869230, 194.682841, 86.933663, 210.601950, 79.164155, 226.340315, 67.616226, 230.350904, 63.355330, 230.189574
Type02, L, 250, 65.392092, 251.123118, 70.586409, 251.277745, 83.273192, 246.114879, 89.020513, 229.291884, 87.978969, 212.684672, 84.284174, 196.689607, 78.359145, 180.728061, 74.151990, 164.328041, 71.199635, 148.226236, 70.680168, 131.017703, 76.468574, 114.845962, 83.857094, 98.561957, 89.221357, 81.961397, 87.605725, 65.688892, 85.180441, 48.782951, 81.528338, 32.771691, 77.150226, 15.931002, 63.470184, 2.061000, 45.614367, 0.000000, 29.471575, 7.653213, 16.694378, 21.387691, 9.020874, 37.460007, 3.214003, 53.556549, 0.000000, 70.021007, 0.901758, 86.396815, 4.304360, 101.989018, 8.676507, 117.952140, 13.525293, 134.221937, 18.630833, 151.167559, 23.449617, 167.486752, 27.390035, 183.466702, 30.496188, 201.022273, 33.372975, 217.233015, 37.140160, 232.971566, 47.331758, 249.336039, 60.274484, 251.524634, 64.883012, 251.071251
Type02, L, 260, 66.280531, 261.500478, 61.207506, 261.825603, 49.002064, 257.514749, 37.763952, 241.613297, 32.915748, 224.856206, 30.352340, 207.179316, 27.457110, 190.031064, 23.587006, 174.168351, 18.616329, 156.291200, 12.721429, 139.577618, 6.986770, 122.157233, 2.301394, 105.295688, 0.000000, 87.832197, 0.797401, 70.559750, 3.622430, 54.016255, 9.311277, 36.962450, 17.846836, 20.865660, 31.440681, 7.362210, 48.420783, 0.000000, 66.072600, 3.218042, 80.007636, 17.008163, 84.934322, 34.086427, 88.565277, 51.109267, 92.084064, 68.036034, 93.196122, 85.562273, 87.890617, 102.068663, 80.154816, 118.435678, 76.203651, 135.435885, 76.073049, 153.277371, 78.573551, 170.452803, 82.623780, 187.100994, 87.446289, 204.358291, 92.443101, 221.534525, 93.036412, 239.197519, 84.260544, 256.376235, 71.893434, 261.365107, 66.312025, 261.231302
Type02, L, 270, 68.700171, 271.422843, 62.755696, 271.495188, 49.619021, 267.954001, 37.939649, 251.382193, 33.883424, 233.857773, 30.881185, 215.545152, 26.393407, 197.784834, 21.893212, 180.144757, 17.416725, 162.460838, 12.848397, 145.369835, 7.201660, 127.835183, 2.845520, 111.013088, 0.000000, 92.615779, 0.527545, 74.630526, 4.019901, 56.762593, 10.597753, 39.233250, 20.041745, 22.684637, 33.650644, 7.540685, 51.042024, 0.000000, 70.411140, 2.854309, 83.581974, 18.499665, 88.883411, 36.081345, 92.051215, 53.702857, 95.085085, 71.285709, 96.664268, 90.276889, 89.831880, 107.618989, 81.302632, 124.791716, 77.716944, 142.768051, 78.895922, 160.595310, 81.949418, 178.859503, 86.406940, 196.016861, 91.775453, 212.967074, 95.714556, 230.734568, 96.498846, 249.116477, 87.511925, 266.916855, 73.440039, 271.298471, 69.482610, 271.020071
Type03, L, 230, 50.413137, 231.283241, 46.053351, 230.907492, 34.692723, 228.492986, 24.659178, 214.739516, 20.364565, 199.326330, 17.921536, 184.476332, 15.936466, 168.895292, 13.103870, 152.838412, 9.841371, 138.020484, 6.585315, 123.172207, 3.470763, 107.974496, 1.203485, 93.655189, 0.000000, 78.136963, 0.397507, 63.601423, 2.792365, 48.257703, 7.662725, 33.463113, 14.983919, 19.096314, 26.075082, 6.075063, 41.145984, 0.000000, 56.282851, 2.354185, 68.966345, 14.381379, 74.320054, 29.332712, 77.672058, 45.226010, 78.364483, 60.903360, 78.771311, 75.572446, 77.093902, 91.569917, 74.348419, 106.411562, 71.927894, 121.695594, 71.545960, 137.432820, 74.106044, 152.464734, 76.190448, 167.370318, 77.708501, 183.026238, 78.915210, 199.216844, 77.743095, 214.436021, 65.599941, 228.002226, 55.853570, 230.935525, 50.438168, 231.165220
Type03, L, 235, 53.437172, 236.301408, 48.456543, 236.184085, 37.547533, 234.958292, 25.509319, 222.029221, 20.694956, 206.965761, 18.043605, 191.347012, 16.414933, 175.743333, 14.202335, 159.973248, 11.221365, 144.796947, 7.408410, 128.935668, 4.230153, 114.244665, 1.365810, 97.907802, 0.000000, 82.813804, 0.497874, 66.573717, 2.465620, 51.110132, 6.631811, 35.583185, 13.814799, 21.135018, 24.327823, 7.880587, 38.984222, 0.000000, 55.448792, 2.487032, 68.063576, 14.207091, 74.985049, 29.324609, 78.185745, 44.446922, 79.562587, 60.298235, 79.929378, 75.899821, 78.911001, 91.919037, 77.076533, 107.351654, 75.509413, 123.306067, 75.009501, 139.423385, 75.635953, 155.667580, 76.855621, 171.658155, 78.505653, 186.523236, 80.099614, 201.810077, 78.929934, 217.408962, 69.607695, 231.714406, 58.818916, 236.563273, 53.347877, 235.737515
Type03, L, 245, 53.749765, 246.564338, 48.271476, 246.242359, 36.700010, 243.999494, 25.553798, 229.426762, 21.165394, 213.973365, 18.281092, 196.196426, 16.679391, 180.649490, 13.393179, 164.013574, 10.258005, 148.114182, 6.576012, 131.067350, 3.461025, 114.634688, 1.092061, 98.329129, 0.000000, 81.969893, 0.579031, 65.375729, 3.653172, 49.140672, 9.063244, 33.758600, 16.265572, 18.583176, 27.694441, 4.882182, 44.584626, 0.000000, 60.783645, 4.709756, 73.061142, 18.912404, 78.134490, 34.322812, 80.811337, 51.447273, 82.400188, 66.747460, 83.380525, 83.292357, 81.613709, 99.535535, 78.422801, 115.193065, 76.337486, 131.245569, 76.704326, 147.973402, 78.363183, 164.026042, 80.582362, 179.565872, 82.469701, 195.783167, 83.323165, 212.346333, 81.431550, 228.141248, 70.959528, 243.847323, 59.050252, 246.197540, 53.978511, 246.389739
Type03, L, 250, 52.357694, 251.592544, 47.190244, 251.284231, 35.079017, 248.710598, 23.631251, 233.697464, 20.345015, 217.656035, 17.613284, 201.086574, 15.233583, 184.084763, 12.631566, 167.224830, 9.706694, 150.248248, 6.670519, 133.422706, 4.192772, 117.510722, 1.678064, 100.240096, 0.000000, 83.400094, 0.062647, 67.543574, 2.343990, 50.681723, 7.932111, 34.152749, 15.828268, 18.766456, 29.108384, 4.649403, 45.005993, 0.000000, 61.791705, 5.491700, 74.139711, 20.190862, 78.469116, 36.450915, 82.313927, 53.050176, 83.497760, 70.081582, 83.294598, 85.718326, 81.856070, 101.864123, 79.519511, 118.985151, 78.903442, 134.902664, 79.424887, 150.974779, 79.824758, 167.314126, 80.167361, 183.479583, 81.102763, 200.589361, 82.164404, 216.757303, 80.602507, 232.705152, 70.083406, 248.877834, 57.433309, 251.073885, 53.398316, 251.699424
