type, side, size, x1, y1, x2, y2, x3, y3, x4, y4, x5, y5, x6, y6, x7, y7, x8, y8, x9, y9, x10, y10, x11, y11, x12, y12, x13, y13, x14, y14, x15, y15, x16, y16, x17, y17, x18, y18, x19, y19, x20, y20, x21, y21, x22, y22, x23, y23, x24, y24, x25, y25, x26, y26, x27, y27, x28, y28, x29, y29, x30, y30, x31, y31, x32, y32, x33, y33, x34, y34, x35, y35, x36, y36, x37, y37, x38, y38, x39, y39, x40, y40, x41, y41, x42, y42, x43, y43, x44, y44, x45, y45, x46, y46, x47, y47, x48, y48, x49, y49
Type01, L, 280, 58.842403, 280.666235, 53.917419, 280.524944, 45.116795, 279.600376, 32.256456, 270.513029, 26.122594, 257.214827, 23.324503, 243.629631, 20.966362, 230.009392, 19.094236, 215.831346, 17.061167, 202.485184, 14.790549, 189.135224, 12.495303, 174.962442, 9.625282, 161.444595, 7.233047, 148.267467, 4.376391, 134.474893, 1.995145, 121.172801, 0.505237, 107.436229, 0.000000, 93.380779, 0.815290, 80.050439, 3.080094, 66.880514, 6.299637, 53.727223, 10.781752, 41.269251, 16.683535, 27.882408, 24.274450, 15.787733, 35.381214, 4.984736, 49.031604, 0.000000, 63.175466, 1.045703, 75.451527, 9.838544, 82.890736, 22.735462, 86.137282, 35.553365, 88.567790, 49.512183, 90.184119, 62.658877, 90.609231, 76.156946, 89.460630, 90.009471, 87.994411, 103.652767, 87.196624, 116.811638, 86.491294, 131.142543, 86.952186, 144.680439, 87.711975, 158.496692, 89.537590, 171.880863, 90.705727, 185.543404, 89.951750, 198.264855, 89.236031, 212.850143, 89.192363, 226.625516, 89.103696, 240.649028, 87.782091, 253.364813, 83.613589, 266.637890, 72.792879, 278.394799, 63.503352, 279.688376, 59.038726, 280.738651
Type01, L, 290, 59.891405, 290.576209, 55.229054, 290.631352, 45.660015, 289.342257, 33.211426, 279.739043, 26.335858, 265.871808, 24.413016, 252.123378, 22.151373, 238.183491, 19.563183, 223.869505, 17.698273, 210.089928, 15.900881, 196.245255, 14.053320, 181.659255, 11.860157, 168.284913, 8.734878, 154.216295, 5.740947, 139.946735, 2.844039, 125.405669, 0.799974, 111.543961, 0.000000, 97.156891, 0.470325, 82.608931, 2.637699, 68.703018, 6.179990, 54.555286, 11.088887, 41.079186, 17.634817, 27.522704, 25.616244, 15.345775, 37.050892, 4.565291, 51.140869, 0.000000, 65.118196, 0.973158, 77.910328, 10.286474, 85.174643, 23.536728, 88.601352, 37.284364, 91.454546, 51.349979, 93.776792, 65.153527, 94.109454, 79.346408, 92.595681, 94.813321, 91.736979, 107.302221, 91.297336, 121.203320, 91.546259, 136.034484, 91.948831, 150.489962, 92.593787, 164.691435, 93.293945, 178.510578, 93.619302, 192.298213, 94.043801, 206.929378, 93.749812, 221.059837, 93.084133, 234.203312, 91.815812, 248.472286, 89.662565, 262.700515, 85.685036, 276.424049, 74.500970, 288.241768, 64.455361, 289.768855, 60.392939, 290.777135
Type02, L, 230, 62.801444, 230.420409, 59.189857, 230.113063, 51.409803, 229.114590, 40.869782, 221.786565, 35.091887, 211.076216, 31.755589, 200.011933, 29.292368, 188.644394, 26.864690, 177.339325, 24.448445, 166.095201, 21.781190, 155.031122, 18.715943, 143.517879, 15.190011, 132.434548, 11.371195, 121.711379, 7.014767, 110.489303, 3.654422, 99.588880, 1.039565, 88.085379, 0.000000, 76.190112, 0.340637, 65.289000, 1.820933, 53.711117, 4.646870, 42.739398, 8.584745, 31.448500, 14.178501, 20.739110, 21.996766, 10.792000, 32.131177, 4.177797, 43.294650, 0.411730, 55.063136, 0.000000, 66.174511, 5.241767, 73.916558, 15.480038, 78.467683, 26.199515, 82.032405, 37.158995, 83.559973, 48.325106, 85.935702, 60.376533, 86.936801, 70.953976, 84.467182, 82.852937, 80.633197, 93.741821, 76.334192, 105.214654, 72.533018, 116.552121, 71.367453, 128.279307, 72.834097, 140.487480, 75.381570, 150.893321, 78.920894, 163.059698, 82.103652, 173.438575, 84.729385, 184.452163, 86.593947, 195.403713, 86.641869, 207.270784, 83.296086, 218.959666, 74.365627, 228.573963, 66.333777, 230.082716, 63.104758, 230.622923
Type02, L, 250, 65.180205, 250.395107, 69.162295, 249.950274, 78.002174, 248.224664, 86.650564, 237.012628, 88.368895, 225.012432, 87.892544, 212.604182, 85.186354, 200.549848, 81.670607, 189.140868, 77.359582, 176.908480, 74.411747, 164.899052, 72.048531, 153.156920, 70.574355, 140.518237, 71.393792, 128.160916, 75.594042, 116.133558, 80.674053, 104.016203, 85.880230, 92.108289, 88.527476, 79.508577, 87.905576, 67.967663, 85.931708, 54.959675, 84.061315, 43.361296, 81.099566, 30.976220, 77.828135, 18.876440, 70.434929, 7.529563, 58.429341, 0.319147, 45.618739, 0.000000, 33.554832, 4.568752, 22.829609, 13.205120, 14.945701, 24.084022, 9.227131, 35.884843, 4.769263, 47.880404, 1.484740, 59.803220, 0.000000, 72.075150, 0.724972, 84.134767, 2.899519, 95.686107, 5.809470, 107.426489, 9.122948, 119.231709, 12.799005, 131.251777, 16.347015, 143.756208, 20.261314, 155.951399, 23.547007, 168.138907, 26.503949, 179.726707, 29.074980, 192.665955, 31.132408, 205.090236, 33.380693, 217.087064, 36.298796, 228.691342, 41.650358, 240.810819, 52.431654, 250.030764, 61.194525, 250.151197, 64.891186, 250.694129
Type02, L, 260, 66.083196, 260.762886, 62.269252, 260.774996, 53.697126, 258.985393, 42.898863, 249.203218, 36.594435, 237.223837, 32.988600, 224.766909, 30.863064, 211.732995, 28.973694, 199.000842, 26.515003, 186.353578, 23.712140, 174.907381, 20.149479, 161.513886, 16.121992, 149.178657, 11.762471, 136.265361, 7.521208, 123.966916, 3.897988, 110.759069, 1.125084, 98.777756, 0.000000, 85.372381, 0.436071, 72.795658, 2.075069, 60.508024, 5.029662, 47.973244, 9.671327, 35.539383, 15.669888, 23.639071, 24.614486, 12.773751, 35.459754, 4.502579, 48.536428, 0.000000, 60.855161, 1.342006, 73.269405, 8.657413, 80.607028, 20.062342, 84.570216, 32.423670, 87.248792, 45.326631, 89.868041, 57.515772, 92.180273, 70.393127, 92.560761, 83.250025, 89.832266, 95.476097, 84.519467, 107.767565, 79.505427, 119.874307, 76.574649, 132.349085, 75.754604, 145.690344, 76.659941, 158.287325, 78.793219, 171.341566, 81.652153, 183.143228, 85.177457, 196.384108, 88.717377, 208.525153, 92.159064, 221.697300, 92.570040, 234.560648, 88.928613, 247.390775, 79.087314, 258.298536, 70.347837, 260.063566, 65.923645, 261.040920
Type02, L, 270, 68.471478, 270.538860, 64.050018, 270.385119, 54.606586, 268.928461, 43.228601, 259.294392, 36.962262, 246.629436, 33.760332, 233.694720, 31.673151, 220.159700, 28.665838, 206.927417, 25.406947, 193.749018, 22.057785, 180.834116, 18.704159, 167.603811, 15.451401, 154.871144, 11.855539, 142.241257, 7.702432, 129.003220, 4.319083, 116.974110, 1.464603, 103.505075, 0.000000, 90.221622, 0.121438, 76.910428, 2.213979, 63.443050, 5.664450, 50.650910, 10.857443, 37.535381, 17.922535, 25.419904, 26.465396, 13.689848, 38.046752, 4.334114, 51.022432, 0.000000, 64.829008, 0.767647, 77.256097, 9.123466, 84.240655, 21.473706, 88.367280, 34.294256, 91.022363, 47.591363, 92.935445, 60.227826, 95.341583, 73.789971, 95.943648, 87.626645, 92.189164, 100.678486, 86.207604, 113.439333, 80.626155, 126.220468, 78.037218, 139.468186, 78.081284, 152.747835, 79.634697, 165.994487, 82.215729, 179.394539, 85.308911, 192.188458, 89.307342, 204.546948, 92.706991, 217.572405, 95.521543, 230.494325, 95.839793, 244.340179, 92.516044, 257.478108, 81.376444, 268.477635, 72.387770, 269.879860, 68.919440, 270.565564
Type03, L, 230, 50.402551, 230.634608, 46.851419, 230.234755, 39.487814, 229.072219, 29.093838, 221.536455, 23.907651, 210.623780, 20.456868, 199.439147, 18.533753, 188.226104, 17.061071, 177.186666, 15.305549, 165.326559, 13.292192, 153.664170, 10.889427, 142.460477, 8.504821, 131.558221, 6.069391, 120.531261, 3.859040, 109.264196, 1.930428, 98.656784, 0.689097, 87.556376, 0.000000, 76.256688, 0.246776, 65.456794, 1.600742, 54.273347, 4.094094, 43.011958, 8.031155, 32.338065, 13.336294, 21.325358, 20.450462, 11.747933, 29.853045, 3.390557, 41.269440, 0.000000, 51.917559, 1.071321, 62.885232, 6.753462, 69.847751, 17.353791, 73.978433, 27.817116, 76.685295, 39.835917, 77.900745, 51.326605, 78.404373, 62.878667, 78.556792, 73.510323, 77.677489, 85.536520, 75.976671, 96.563162, 73.871419, 107.833856, 72.354415, 119.038099, 71.326407, 130.558432, 72.446654, 142.063955, 74.130788, 153.100489, 75.768520, 164.025304, 76.997296, 175.661684, 78.010934, 187.150217, 78.689161, 199.261079, 77.918403, 210.415220, 71.817050, 221.035714, 61.475970, 228.880699, 54.613003, 230.125211, 50.097943, 230.706727
Type03, L, 235, 53.404584, 235.513296, 49.579265, 235.512454, 41.970800, 234.732620, 31.243321, 228.529330, 24.498637, 217.757878, 20.894932, 206.974323, 18.773646, 195.239426, 17.243272, 183.876321, 15.989361, 172.193341, 14.329888, 160.569030, 12.179952, 149.400263, 9.756045, 137.711422, 6.849945, 126.396393, 4.692574, 115.208434, 2.299456, 103.757288, 0.839780, 91.621807, 0.000000, 80.814096, 0.377916, 68.519464, 1.486719, 57.103420, 3.533583, 45.589019, 7.160229, 34.249318, 11.997868, 23.503939, 19.262140, 13.342330, 27.852535, 4.829499, 39.147901, 0.000000, 51.094267, 0.898905, 61.618064, 6.892662, 69.636780, 16.920232, 74.337096, 27.711685, 77.332064, 39.286344, 78.703913, 50.324586, 79.628441, 62.443824, 79.741321, 73.658261, 79.293904, 85.656473, 78.122561, 97.150048, 76.803940, 108.762720, 75.721197, 120.291744, 75.033559, 132.551073, 75.192068, 144.153521, 75.688260, 156.318677, 76.557874, 168.201992, 77.771772, 179.142989, 78.913156, 190.576189, 79.893676, 201.557953, 79.126424, 213.422916, 74.420046, 224.042609, 65.395924, 233.458791, 57.286544, 235.342051, 53.337623, 235.250876
Type03, L, 245, 53.711560, 245.823370, 49.177052, 245.409773, 41.617885, 244.486839, 30.439730, 236.524934, 24.748415, 225.209173, 21.235951, 213.895406, 18.874197, 200.676413, 17.625044, 188.768249, 15.845351, 176.893845, 13.632342, 164.765836, 11.179629, 152.863424, 8.731374, 140.716189, 6.010913, 128.149441, 3.774420, 116.013202, 1.840730, 103.934484, 0.517826, 91.915849, 0.000000, 79.647503, 0.324830, 67.685582, 2.110214, 55.166350, 5.089315, 43.907537, 9.318726, 32.131101, 14.646363, 21.337594, 21.731393, 10.278062, 31.998639, 2.663159, 44.414787, 0.000000, 56.390724, 2.376665, 66.870255, 10.549599, 74.079877, 21.504584, 77.566397, 32.949733, 80.071150, 45.491037, 81.239730, 57.362345, 82.578173, 68.854945, 82.997922, 81.048475, 82.215301, 93.182717, 80.239407, 104.863172, 78.017375, 116.547753, 76.529887, 128.375834, 76.338081, 140.658322, 77.153395, 152.855184, 78.377360, 164.510765, 80.178607, 176.223946, 81.396649, 187.802114, 82.782384, 200.161027, 82.928803, 212.213627, 81.665257, 223.859409, 76.423661, 235.854913, 65.989686, 244.393770, 57.732282, 245.294230, 53.673040, 245.804807
Type03, L, 250, 52.440292, 250.894747, 48.196350, 250.539374, 40.325228, 249.336054, 28.777477, 241.094270, 23.193319, 229.455028, 20.397321, 217.532550, 18.434756, 205.586082, 16.626547, 192.829152, 14.699412, 180.464931, 12.967298, 168.132093, 10.580652, 155.118742, 8.665136, 143.269940, 6.230089, 130.403730, 4.595486, 118.932505, 2.611078, 106.332593, 1.045931, 93.561527, 0.093000, 81.388043, 0.000000, 69.550854, 1.305539, 57.328740, 3.902674, 44.891174, 8.353312, 32.831876, 14.266081, 21.404792, 22.293670, 10.470635, 33.392230, 2.432427, 45.175562, 0.000000, 57.026916, 3.258548, 68.533175, 11.336645, 74.707517, 23.150481, 78.432709, 35.151451, 81.155942, 46.952072, 82.916512, 60.130178, 83.450448, 71.780521, 83.303611, 83.837040, 82.341693, 95.412264, 80.999560, 107.856242, 79.408125, 120.403731, 79.006925, 131.932421, 79.219215, 144.229246, 79.557352, 155.635316, 79.838190, 168.268206, 80.160444, 179.740817, 80.607695, 192.572885, 81.482648, 204.742169, 82.051833, 216.763590, 80.731096, 228.453346, 75.938280, 240.658616, 64.661499, 249.498756, 56.713232, 250.224393, 52.958226, 251.256451
