Model,Cluster_ID,RMSE,MAE,Hausdorff_max,Chamfer_mean,Length_Error,Width_Error,Size_Error,Area_Error,IoU,Dice,EMD
PCA_KRR,1,7.25626,6.53826,2.68194,0.83649,2.62255,0.60709,0.48968,278.60236,0.95955,0.97925,0.00000
PCA_KRR,2,6.67824,6.14102,1.31404,0.53159,2.24136,0.61497,0.42915,204.40887,0.97379,0.98669,0.00000
PCA_KRR,3,6.63743,6.09557,0.85019,0.28427,2.39427,0.40902,0.51601,156.28475,0.98357,0.99172,0.00000
PCA_KRR,4,6.81922,6.27502,0.70818,0.21314,2.08794,0.33468,0.22967,166.43894,0.98878,0.99436,0.00000
PCA_LINEAR,1,7.58649,6.84192,5.10358,1.83167,2.52523,0.81204,0.28134,440.60210,0.92810,0.96258,0.00000
PCA_LINEAR,2,7.75028,7.10105,7.27630,2.07273,17.73348,1.64077,5.40846,681.86277,0.91852,0.95745,0.00000
PCA_LINEAR,3,7.46203,6.83755,4.13165,1.57551,3.44734,1.78618,0.12672,294.79193,0.93067,0.96400,0.00000
PCA_LINEAR,4,17.44486,17.10867,20.30753,5.02734,57.68910,4.90741,20.29235,1904.62329,0.83666,0.91104,0.00000
PCA_SVR,1,7.35627,6.70742,3.03609,0.85525,4.75863,0.65510,1.26000,308.03983,0.95982,0.97936,0.00000
PCA_SVR,2,6.62422,6.10206,1.68616,0.49104,4.41447,0.40395,1.11305,230.83157,0.97692,0.98830,0.00000
PCA_SVR,3,6.62668,6.10611,3.09163,0.64549,6.51836,0.34648,1.37180,246.45737,0.97010,0.98473,0.00000
PCA_SVR,4,7.04969,6.58554,1.54091,0.40725,4.17873,0.33802,1.54091,127.03505,0.98051,0.99015,0.00000
PURE_GPR,1,7.13193,6.38719,2.67474,0.88335,2.31330,0.58919,0.33102,289.57427,0.95787,0.97840,0.00000
PURE_GPR,2,6.67736,6.14147,1.50252,0.59529,2.28822,0.69931,0.32920,213.88012,0.97208,0.98582,0.00000
PURE_GPR,3,6.62048,6.06837,0.98809,0.33366,2.33912,0.58952,0.25656,177.19156,0.98187,0.99085,0.00000
PURE_GPR,4,6.81463,6.26461,0.70795,0.17442,2.07390,0.33498,0.01949,166.95089,0.99043,0.99519,0.00000
PURE_KRR,1,7.13274,6.40129,2.60610,0.84014,2.34466,0.55253,0.42648,304.11713,0.95849,0.97868,0.00000
PURE_KRR,2,6.66510,6.12974,1.24382,0.50345,2.17679,0.57221,0.33411,203.80765,0.97488,0.98725,0.00000
PURE_KRR,3,6.63856,6.09039,0.73095,0.25160,2.20248,0.39795,0.41226,154.48438,0.98504,0.99246,0.00000
PURE_KRR,4,6.81743,6.27161,0.70527,0.19622,2.06292,0.33534,0.19099,166.79621,0.98940,0.99467,0.00000
PURE_SVR,1,7.35243,6.61266,2.71062,0.81349,2.82949,0.56556,0.36009,323.42641,0.95966,0.97924,0.00000
PURE_SVR,2,6.67807,6.13765,1.34847,0.47016,2.24882,0.59386,0.17489,226.56024,0.97768,0.98867,0.00000
PURE_SVR,3,6.69272,6.15324,0.63179,0.21106,1.74584,0.42561,0.18518,152.56897,0.98655,0.99323,0.00000
PURE_SVR,4,6.81126,6.26275,0.65598,0.19248,1.94774,0.33812,0.12448,161.61317,0.98877,0.99435,0.00000
RATIO_CTRL,1,3.59910,3.29700,4.62169,1.69082,3.68478,3.07841,0.21227,632.43347,0.94362,0.97091,0.00000
RATIO_CTRL,2,2.85243,2.52872,4.75328,1.69891,4.78337,3.02648,0.15931,720.12633,0.94224,0.97005,0.00000
RATIO_CTRL,3,4.57142,3.78046,7.47528,3.08284,7.85068,5.98926,0.33810,1331.71642,0.89223,0.94303,0.00000
RATIO_CTRL,4,1.58018,1.45033,2.53521,0.87169,1.94004,1.31750,0.22025,400.49378,0.96773,0.98343,0.00000
