size,A_to_B_mean,A_to_B_median,A_to_B_p90,A_to_B_p95,A_to_B_max,B_to_A_mean,B_to_A_median,B_to_A_p90,B_to_A_p95,B_to_A_max,Chamfer_mean,Hausdorff_max
230,0.1882971436922292,0.15556077046665548,0.36790950141023104,0.4971669868377446,0.6891604151193923,0.18278819049984557,0.15556077046665548,0.3198374700808796,0.4957019109451072,0.6768853454180459,0.1855426670960374,0.6891604151193923
235,0.7027396104315956,0.4958359993296012,1.6236391126873007,1.8098169869252994,2.2303050470749795,0.7293208866794635,0.5694163781457942,1.6517478992662138,1.9109034941817713,2.231061160689095,0.7160302485555295,2.231061160689095
240,1.2510722074196037,1.1971481713249523,2.2089503424589094,2.268002657635635,2.5014017677546643,1.2788975101423026,1.2476327501643931,2.210700257045971,2.2700016178389393,2.5014017677546643,1.2649848587809531,2.5014017677546643
245,1.3178907624566487,1.2075806611348452,2.642869359486001,3.0432433325967922,3.30111735167186,1.3623602912189976,1.2810744974716437,2.6615781814399933,3.053864142251335,3.3013045934438274,1.3401255268378232,3.3013045934438274
250,2.3821331169815125,2.26769120989201,4.559012714874276,4.817882654467381,5.0151479280121825,2.4231861438971767,2.365330311575269,4.579379790698191,4.822512302994894,5.0151479280121825,2.4026596304393446,5.0151479280121825
260,1.3168932218480869,1.1700282154447477,2.6618858997622254,3.032296475959935,3.2821632929280136,1.3438472041379699,1.202049565160528,2.6767311929198954,3.04011870015981,3.2821632929280136,1.3303702129930284,3.2821632929280136
265,1.3098176354222644,1.2016650957933348,2.391670167896408,2.9751245532593638,3.249526590947456,1.3179475728523757,1.1967394576137633,2.4820860507007207,2.998999820324569,3.249843644003567,1.3138826041373202,3.249843644003567
270,1.2088695000436158,1.3426726601122243,1.9237692001914264,2.0229826960919843,2.4455619236049313,1.2098884505574279,1.3501928579846503,1.9253998678121642,2.0243411389831065,2.4455619236049313,1.2093789753005217,2.4455619236049313
280,1.3785937280998344,1.027695902160437,3.037084520362374,3.343244457625338,3.9282941152458712,1.3607020613403902,1.0161980938037913,3.0456262556336284,3.343244457625338,3.9282941152458712,1.3696478947201123,3.9282941152458712
