Model,RMSE,MAE,Hausdorff_max,Chamfer_mean,Length_Error,Width_Error,Area_Error,IoU,Dice,EMD
PCA_GPR,11.61408,10.84115,13.48125,3.31028,38.16098,3.12341,1385.54865,0.8827,0.93687,10.605
PCA_KRR,8.79929,8.01548,3.75762,1.27383,4.61349,0.87132,261.05218,0.94536,0.97176,7.70027
PCA_LINEAR,8.71381,7.97967,3.69767,1.22081,4.42534,0.85226,275.7427,0.94716,0.97275,7.68861
PCA_SVR,8.85461,8.0886,4.31348,1.49699,6.0849,1.0576,302.66079,0.93803,0.96774,7.76338
PURE_GPR,9.00479,8.20095,4.89659,1.5206,6.34871,1.00289,379.49322,0.93715,0.96736,7.86494
PURE_KRR,8.77527,7.97834,4.49986,1.47191,4.73957,0.97942,358.25891,0.93966,0.96865,7.65616
PURE_SVR,8.95393,8.14911,4.58204,1.46368,4.95847,1.01178,379.02024,0.93999,0.96883,7.81223
RATIO_CTRL,8.270254708,7.454888875,5.617955583,1.816481792,8.212970833,1.593460333,529.4404961,0.929226667,0.96304375,7.085663
