type, side, size, x1, y1, x2, y2, x3, y3, x4, y4, x5, y5, x6, y6, x7, y7, x8, y8, x9, y9, x10, y10, x11, y11, x12, y12, x13, y13, x14, y14, x15, y15, x16, y16, x17, y17, x18, y18, x19, y19, x20, y20, x21, y21
Type01, L, 290, 62.041406, 298.757929, 48.524682, 301.306903, 26.690602, 281.635205, 24.365263, 244.829904, 17.720584, 209.254731, 13.850939, 173.668095, 4.563424, 137.406579, 0.000000, 100.935608, 7.028098, 64.227546, 19.469913, 30.323341, 52.385651, 0.000000, 88.569439, 23.845931, 93.875196, 61.858257, 96.367629, 97.725426, 91.758701, 133.019237, 94.622587, 170.251952, 95.961339, 205.809849, 95.063682, 241.654449, 92.913462, 277.355516, 76.810759, 300.390196, 60.303091, 298.102676
Type02, L, 230, 64.407484, 234.982115, 53.797147, 236.365653, 35.452133, 222.018355, 30.757628, 191.915416, 24.067853, 163.693279, 16.416409, 134.646302, 4.510460, 107.301380, 0.000000, 77.255822, 4.554306, 48.829494, 16.551497, 20.042388, 43.937300, 0.000000, 75.905180, 12.668422, 82.934382, 44.233146, 90.305491, 72.048516, 81.608778, 101.371264, 69.644493, 130.328073, 78.229534, 160.758672, 86.118179, 187.581231, 91.008050, 217.325994, 75.105536, 236.609628, 63.435335, 234.625893
Type02, L, 250, 66.392810, 256.990001, 79.319317, 257.793146, 94.018551, 237.146991, 86.405884, 205.881414, 77.072966, 176.278492, 69.230945, 144.354275, 81.130334, 113.767471, 93.576884, 82.069929, 84.339767, 52.284817, 81.448635, 17.883190, 46.221285, 0.000000, 17.666702, 25.643618, 4.851121, 55.562724, 0.000000, 87.376906, 8.161546, 116.322742, 17.166577, 147.944758, 26.710854, 178.588524, 33.087218, 210.506839, 36.816851, 241.306689, 54.600243, 259.972063, 67.664188, 256.197538
Type02, L, 260, 67.810682, 267.129155, 56.618589, 267.892589, 36.839040, 250.283927, 32.450863, 216.172816, 26.755193, 185.160865, 17.033216, 152.618187, 5.048914, 120.404021, 0.000000, 87.694703, 5.121876, 55.543589, 18.312484, 24.333726, 49.096986, 0.000000, 83.830823, 18.821919, 87.764882, 53.555375, 97.900198, 85.230558, 84.284678, 116.820691, 74.812271, 148.707340, 80.962825, 182.099316, 89.706296, 213.182055, 98.617347, 247.260137, 79.375844, 267.625163, 67.146160, 266.649886
Type02, L, 270, 70.700415, 277.992093, 57.868147, 279.425242, 37.282772, 261.167476, 34.345065, 226.100314, 24.731852, 192.818433, 17.115009, 159.439025, 6.363279, 127.449846, 0.000000, 93.626495, 6.055248, 59.120209, 21.037874, 27.392043, 52.168896, 0.000000, 88.952347, 21.266094, 91.192698, 57.091197, 102.225732, 90.349379, 85.661049, 124.379728, 77.136450, 156.917848, 85.412425, 192.059698, 94.110442, 222.912325, 102.403576, 258.451204, 82.532755, 279.364100, 69.666820, 277.341014
Type03, L, 230, 51.696180, 236.000489, 41.486334, 237.543635, 23.687727, 221.955869, 19.584117, 192.892076, 15.340309, 163.305299, 8.893158, 134.599036, 3.035294, 106.835959, 0.000000, 78.493869, 3.886643, 50.170275, 15.089463, 21.894929, 41.378569, 0.000000, 71.529549, 15.749386, 78.329856, 47.495096, 80.430877, 75.760507, 77.096394, 104.890919, 70.820428, 133.803240, 76.200582, 162.631465, 78.887715, 191.214791, 81.646443, 222.594291, 60.805451, 236.772992, 51.694255, 235.924000
Type03, L, 235, 54.391040, 241.066622, 44.288307, 243.122377, 24.573043, 230.084543, 19.168516, 199.721859, 16.275019, 170.470231, 10.120330, 141.124441, 3.131410, 112.174397, 0.000000, 82.524711, 3.346163, 52.312755, 13.530878, 24.479432, 39.063625, 0.000000, 70.917166, 15.925585, 79.003676, 46.796072, 81.409484, 75.502636, 78.914684, 105.892170, 75.313058, 135.120199, 76.651651, 166.747329, 79.636985, 194.870497, 82.617497, 224.451080, 65.117471, 241.985515, 53.927852, 241.000891
Type03, L, 245, 55.274511, 252.333799, 43.828097, 253.302121, 25.114019, 239.021876, 20.355421, 205.785384, 16.374059, 175.878949, 9.290512, 144.554414, 3.460363, 113.373792, 0.000000, 82.302649, 5.683835, 51.678945, 16.279518, 21.992595, 45.132542, 0.000000, 76.909930, 21.693597, 81.200040, 53.751487, 85.901864, 83.708718, 81.272527, 114.270043, 76.249483, 144.541956, 80.752669, 175.497720, 84.172083, 204.905267, 85.568494, 237.045928, 66.371876, 253.999271, 54.696945, 251.614771
Type03, L, 250, 53.912328, 257.210128, 42.339785, 258.661636, 22.929439, 242.358077, 19.914371, 210.626870, 14.707052, 178.854250, 9.245466, 146.721847, 4.167485, 115.901288, 0.000000, 83.761305, 3.660517, 53.413069, 16.289693, 21.436694, 46.340953, 0.000000, 77.219755, 22.953941, 82.562019, 55.983818, 86.210015, 86.269244, 81.057995, 117.245453, 79.962406, 148.256874, 81.378755, 178.309539, 82.023622, 210.162805, 85.272850, 240.912293, 64.728805, 259.414350, 53.636910, 256.417576
Type03, L, 255, 57.450871, 261.582345, 46.766852, 263.419835, 23.896924, 250.672334, 19.885471, 215.961596, 14.853337, 185.437732, 10.402671, 153.086933, 5.166803, 122.215280, 0.000000, 89.513008, 3.855872, 57.939957, 13.988921, 26.711394, 40.698099, 0.000000, 76.077232, 15.835007, 83.330635, 50.581388, 86.356742, 82.247714, 82.759361, 115.292263, 80.130108, 147.297007, 81.518840, 180.125891, 84.632022, 211.408142, 86.922223, 243.624121, 69.116976, 263.097437, 56.323231, 260.958524
