,Type00,Type01,Type02,Type03,Type04,Type05,Type06,Type07
Type00,0.0000,4.2451,5.7019,4.3458,3.3162,4.4878,4.1014,3.6407
Type01,4.2451,0.0000,6.6151,2.8762,3.7825,5.4358,3.0249,7.3601
Type02,5.7019,6.6151,0.0000,4.4767,4.1244,4.7687,4.1555,7.7782
Type03,4.3458,2.8762,4.4767,0.0000,3.0373,3.6631,1.1549,7.3345
Type04,3.3162,3.7825,4.1244,3.0373,0.0000,3.8818,3.3056,5.9880
Type05,4.4878,5.4358,4.7687,3.6631,3.8818,0.0000,4.1462,5.6185
Type06,4.1014,3.0249,4.1555,1.1549,3.3056,4.1462,0.0000,7.2497
Type07,3.6407,7.3601,7.7782,7.3345,5.9880,5.6185,7.2497,0.0000
