,Type00,Type01,Type02,Type03,Type04,Type05,Type06,Type07
Type00,0.0000,4.3391,6.0428,4.5719,3.2852,4.5095,4.1393,3.9014
Type01,4.3391,0.0000,6.7959,2.9939,3.8083,5.5171,3.1614,7.6492
Type02,6.0428,6.7959,0.0000,4.2123,4.3432,4.7932,4.3729,8.0363
Type03,4.5719,2.9939,4.2123,0.0000,3.0889,3.7976,1.4075,7.6490
Type04,3.2852,3.8083,4.3432,3.0889,0.0000,4.2929,3.1567,6.1108
Type05,4.5095,5.5171,4.7932,3.7976,4.2929,0.0000,4.2606,5.7242
Type06,4.1393,3.1614,4.3729,1.4075,3.1567,4.2606,0.0000,7.4619
Type07,3.9014,7.6492,8.0363,7.6490,6.1108,5.7242,7.4619,0.0000
