,Type00,Type01,Type02,Type03,Type04,Type05,Type06,Type07
Type00,0.0000,4.3482,6.2705,4.5622,3.3494,4.5416,4.1580,3.9928
Type01,4.3482,0.0000,6.8148,3.0789,3.8770,5.5938,3.2450,7.7365
Type02,6.2705,6.8148,0.0000,4.1756,4.4835,4.8630,4.4113,8.1654
Type03,4.5622,3.0789,4.1756,0.0000,3.2386,3.9134,1.4597,7.7430
Type04,3.3494,3.8770,4.4835,3.2386,0.0000,4.4516,3.1314,6.1713
Type05,4.5416,5.5938,4.8630,3.9134,4.4516,0.0000,4.3771,5.7454
Type06,4.1580,3.2450,4.4113,1.4597,3.1314,4.3771,0.0000,7.4899
Type07,3.9928,7.7365,8.1654,7.7430,6.1713,5.7454,7.4899,0.0000
