type, side, size, x1, y1, x2, y2, x3, y3, x4, y4, x5, y5, x6, y6, x7, y7, x8, y8, x9, y9, x10, y10, x11, y11, x12, y12, x13, y13, x14, y14, x15, y15, x16, y16, x17, y17, x18, y18, x19, y19, x20, y20, x21, y21, x22, y22, x23, y23, x24, y24, x25, y25, x26, y26, x27, y27, x28, y28, x29, y29, x30, y30, x31, y31, x32, y32, x33, y33, x34, y34, x35, y35, x36, y36, x37, y37, x38, y38, x39, y39, x40, y40, x41, y41, x42, y42, x43, y43, x44, y44, x45, y45, x46, y46, x47, y47, x48, y48, x49, y49, x50, y50
Type05, L,240,55.136943,240.704258,51.312517,240.634723,43.435894,239.428017,32.909688,231.817874,27.355934,220.994166,24.330608,209.687975,22.082941,197.961227,20.529012,186.366752,19.502967,174.251479,18.445712,162.052637,16.586915,150.444596,13.98867,139.346699,9.913982,128.106963,5.988519,117.437843,2.184896,106.209363,0.469286,94.856878,0,82.342015,1.206023,71.348,3.687093,59.485647,6.891464,48.293927,11.25059,36.99672,16.281033,25.986286,22.885564,15.490538,31.924294,6.489847,42.78133,1.407286,54.789658,0,66.765705,4.330895,72.823207,15.585335,76.242454,26.514144,80.418872,37.686331,82.876396,48.577446,83.843,59.626875,82.490421,71.289882,80.151553,82.746311,76.661038,94.054118,73.538527,105.605091,70.903763,116.849062,70.454558,128.598293,71.347101,139.864555,73.08773,151.059863,75.440091,162.574325,78.189146,173.44139,80.895424,185.222877,83.190696,196.214282,83.68497,207.845036,81.751136,219.227842,76.804886,230.85288,66.593072,238.659236,58.783844,240.333626,55.538326,240.809844
Type05, L,260,58.034452,260.707382,54.352243,260.203259,45.956733,258.762516,35.828603,248.748537,31.18272,236.676863,28.00389,225.045183,25.548334,212.510905,24.106975,199.398023,22.779607,187.041507,21.532236,174.95393,19.532545,162.324201,16.190548,149.87437,12.301017,137.493201,8.276634,125.815341,4.397701,113.627558,1.469151,101.711239,0,88.128103,0.393282,76.481392,2.342004,64.504087,5.409719,52.108422,9.45454,40.17404,14.916174,28.113986,20.280024,16.247053,29.348423,5.764436,41.55778,0.876326,53.385024,0,65.75809,5.243488,74.420935,16.22332,78.112953,28.226426,82.312358,40.685817,85.207544,52.731377,87.065011,65.645855,87.231655,78.313996,85.410015,91.28091,82.953726,102.857186,79.71004,115.352221,77.084011,127.282512,75.108768,139.337033,75.159365,151.262635,76.497091,164.852934,78.836576,176.998907,81.566574,188.82701,84.125636,201.381684,86.51199,213.012853,87.475767,225.50969,86.256872,237.318315,81.595486,249.861298,71.131353,259.009393,62.380095,260.23006,57.997379,260.835246
Type05, L,280,63.872307,280.801975,68.357984,280.291833,77.401579,277.968792,88.192678,266.73604,92.577844,253.572274,92.532924,240.384357,90.854036,227.100104,88.530459,213.785081,85.934323,200.83233,83.068103,187.420636,80.624522,174.897231,79.032841,161.119219,79.115697,147.613065,81.015112,134.324452,83.922426,120.979841,87.8476,108.174839,91.061553,94.895157,92.841021,81.836791,91.943886,67.962194,89.656677,54.047053,86.132797,41.772964,82.853844,28.318436,79.173797,15.879951,68.729073,3.520043,55.686971,0,41.510569,1.454764,29.189872,9.093156,20.085087,20.922538,14.006632,33.667119,8.846438,46.56328,4.64923,59.822967,1.814039,72.865303,0.099679,86.504296,0,100.151923,1.768797,113.366382,4.921899,126.852848,8.903948,138.722916,13.168871,152.235159,17.295198,165.194527,19.977329,178.687663,22.633919,192.100115,24.29795,205.754177,25.578107,218.471799,27.142149,230.963671,29.021933,243.752168,32.577514,256.919065,38.699933,269.65636,50.613046,279.477662,59.651128,280.611727,63.833716,280.91449
Type05, L,290,67.719346,290.778779,63.539814,290.789685,54.263691,290.02957,41.755906,279.909698,35.033679,267.264816,31.097655,253.241127,28.165412,240.112452,26.029532,226.065554,24.278518,212.172825,22.838252,198.28956,20.735166,184.2853,17.855345,170.63898,13.687704,157.36458,9.29834,143.235212,4.780384,129.82296,1.649149,115.816208,0,102.721012,0.08899,88.7224,1.978876,74.144117,5.006396,60.889012,9.24304,47.613963,14.266184,33.981101,20.712071,21.085457,30.004587,9.02616,43.462648,1.677938,56.82186,0,70.611602,4.526172,81.703195,15.868485,86.801458,29.15624,90.713034,42.519048,93.649813,55.894848,96.37889,70.346093,97.488602,83.38815,96.264848,97.655086,92.743002,110.974748,88.715865,124.266164,85.173666,138.416478,82.940499,150.781543,82.400377,167.429754,84.106196,181.031439,86.772075,194.984349,89.752506,208.359277,92.975199,222.137544,95.726999,235.425845,97.406414,250.099653,96.854562,263.716115,93.400529,277.058905,81.441683,288.37592,72.266538,289.787996,67.436895,291.229715
