Model,Cluster_ID,RMSE,MAE,Hausdorff_max,Chamfer_mean,Length_Error,Width_Error,Size_Error,Area_Error,IoU,Dice,EMD
PCA_KRR,1,10.21991,9.36685,2.75391,0.90357,3.65028,0.68313,1.34435,290.25321,0.95525,0.97707,0.00000
PCA_KRR,2,9.98970,9.20390,1.78573,0.62477,4.38572,0.90749,0.35819,277.34007,0.96835,0.98390,0.00000
PCA_KRR,3,9.83612,9.04267,1.49199,0.47282,5.02563,0.85382,0.80289,251.14060,0.97570,0.98770,0.00000
PCA_KRR,4,10.27491,9.47741,1.87731,0.36862,4.64461,0.77483,0.19981,268.66635,0.98286,0.99135,0.00000
PCA_LINEAR,1,10.55794,9.67150,5.11497,1.72373,2.62943,0.72959,0.94269,496.56096,0.92733,0.96219,0.00000
PCA_LINEAR,2,10.53499,9.68289,7.25951,2.17052,18.46150,1.81134,5.45237,753.54677,0.91083,0.95318,0.00000
PCA_LINEAR,3,8.15788,7.24776,10.41446,2.52743,35.54748,2.09531,10.31665,966.05809,0.90146,0.94815,0.00000
PCA_LINEAR,4,20.54925,20.33778,21.06511,5.12612,55.49921,4.26674,21.06511,1890.28718,0.83490,0.91000,0.00000
PCA_SVR,1,10.31955,9.48711,2.95368,0.92232,4.86613,0.72205,2.01850,260.30712,0.95585,0.97737,0.00000
PCA_SVR,2,9.97620,9.21947,2.06541,0.58945,4.88032,0.74842,1.15402,248.53554,0.97093,0.98523,0.00000
PCA_SVR,3,9.55892,8.78952,3.39451,0.86127,7.99121,0.87002,1.53632,367.17223,0.96228,0.98068,0.00000
PCA_SVR,4,10.50327,9.78040,1.84709,0.50835,3.42502,0.64590,1.51505,211.87638,0.97428,0.98697,0.00000
PURE_GPR,1,10.13022,9.27076,2.71805,0.94988,3.69483,0.66178,1.10235,279.75745,0.95291,0.97584,0.00000
PURE_GPR,2,9.99505,9.21128,1.92262,0.69999,4.46907,0.93808,0.41152,284.83584,0.96573,0.98254,0.00000
PURE_GPR,3,9.81596,9.01194,1.55577,0.49931,5.08362,0.87597,0.51549,254.09398,0.97547,0.98758,0.00000
PURE_GPR,4,10.27002,9.46965,1.87833,0.34071,4.63414,0.77590,0.02052,269.01822,0.98355,0.99170,0.00000
PURE_KRR,1,10.10581,9.24697,2.67621,0.90845,3.71593,0.63867,1.08810,278.32673,0.95522,0.97705,0.00000
PURE_KRR,2,9.97959,9.19422,1.75373,0.60396,4.38082,0.89004,0.30474,276.38137,0.96927,0.98437,0.00000
PURE_KRR,3,9.84439,9.04627,1.49842,0.45121,5.01373,0.84460,0.67461,249.39833,0.97661,0.98816,0.00000
PURE_KRR,4,10.27276,9.47448,1.87543,0.35545,4.61954,0.77543,0.15807,268.85031,0.98325,0.99156,0.00000
PURE_SVR,1,10.20001,9.32215,2.74364,0.89570,4.15846,0.66382,0.94335,291.09094,0.95841,0.97868,0.00000
PURE_SVR,2,9.98954,9.20623,1.87599,0.59835,4.53966,0.94275,0.22979,335.25220,0.97156,0.98554,0.00000
PURE_SVR,3,9.93774,9.17400,1.46015,0.42240,3.95914,0.81473,0.49049,241.11934,0.97830,0.98903,0.00000
PURE_SVR,4,10.27528,9.47708,1.87801,0.35195,4.48355,0.79329,0.09743,257.69271,0.98286,0.99135,0.00000
RATIO_CTRL,1,3.58165,3.27272,4.56610,1.66530,3.34444,3.09282,0.96469,598.12819,0.93866,0.96826,0.00000
RATIO_CTRL,2,2.91924,2.58203,4.83885,1.74586,4.51820,3.01444,0.48127,668.29402,0.93551,0.96642,0.00000
RATIO_CTRL,3,4.40854,3.64614,7.20788,2.99440,8.41881,5.86902,0.60056,1332.30012,0.89271,0.94330,0.00000
RATIO_CTRL,4,1.60037,1.45815,2.60226,0.88193,1.91122,1.29505,0.12045,422.63577,0.96411,0.98152,0.00000
