type, side, size, x1, y1, x2, y2, x3, y3, x4, y4, x5, y5, x6, y6, x7, y7, x8, y8, x9, y9, x10, y10, x11, y11, x12, y12, x13, y13, x14, y14, x15, y15, x16, y16, x17, y17, x18, y18, x19, y19, x20, y20, x21, y21, x22, y22, x23, y23, x24, y24, x25, y25, x26, y26, x27, y27, x28, y28, x29, y29, x30, y30, x31, y31, x32, y32
Type01, L, 280, 58.743048, 282.477294, 52.086049, 282.852294, 35.294220, 278.458524, 24.749084, 256.627288, 21.804606, 235.331653, 18.344822, 212.894132, 15.250808, 192.095972, 11.060998, 169.629066, 6.987926, 148.732316, 2.564923, 127.209831, 0.000000, 105.450207, 0.396002, 83.597491, 4.136119, 62.820711, 10.819398, 42.604328, 20.397614, 21.756196, 37.367741, 4.192314, 60.844067, 0.000000, 80.419371, 15.826707, 86.403930, 37.335297, 89.869684, 58.595122, 91.006814, 79.911644, 88.298276, 101.839966, 86.888286, 123.032168, 86.564947, 145.408103, 88.599665, 166.862200, 91.253736, 188.191339, 89.214601, 209.199123, 89.305770, 232.565232, 88.952972, 252.823312, 81.859480, 274.673065, 65.829676, 282.929229, 59.370075, 281.503028
Type01, L, 290, 59.808002, 292.322762, 52.968694, 292.895773, 36.059553, 287.736671, 24.988308, 265.185120, 23.231405, 243.495721, 18.523842, 220.819988, 16.186424, 199.040726, 13.119022, 176.304189, 8.586007, 154.945594, 3.504405, 131.496406, 0.128613, 109.560660, 0.000000, 86.362691, 3.601301, 64.112573, 11.161418, 42.249054, 21.515201, 21.203349, 39.181072, 3.773494, 62.789140, 0.000000, 82.848312, 16.059312, 88.513766, 39.125782, 93.328589, 60.254430, 94.378314, 83.781247, 91.489746, 106.004718, 91.380160, 127.048921, 91.800219, 151.259659, 93.016884, 173.091039, 93.753177, 195.069445, 94.116295, 218.291260, 92.900594, 239.297905, 90.592838, 262.028640, 84.075178, 284.548126, 66.861020, 292.740757, 60.456330, 291.593703
Type02, L, 230, 62.893510, 232.173741, 57.522801, 232.160040, 43.628565, 228.393977, 33.901639, 210.996666, 30.072251, 193.292208, 26.181619, 175.182545, 22.242710, 157.625369, 17.233833, 139.484373, 11.062425, 122.282469, 4.430407, 104.957041, 0.440475, 86.540001, 0.000000, 68.448618, 2.838048, 50.546065, 8.485873, 33.109084, 18.280182, 15.346282, 34.172459, 4.396954, 52.938676, 0.000000, 70.570209, 9.682467, 79.235361, 28.032150, 82.953067, 44.786813, 86.774094, 63.705785, 86.355563, 81.093087, 79.383367, 99.371685, 72.452017, 116.891691, 71.340195, 136.229846, 75.775204, 153.832184, 81.332435, 171.964255, 85.607388, 188.596915, 87.800719, 206.816036, 81.987057, 226.172294, 68.479842, 232.582693, 63.239202, 231.874646
Type02, L, 250, 65.800880, 252.271276, 72.139171, 252.748319, 86.535483, 244.923464, 89.630383, 224.592060, 87.123099, 205.522105, 80.538872, 187.007574, 74.993380, 167.763497, 71.310479, 148.886760, 71.557764, 128.708075, 79.602989, 110.031691, 88.400175, 90.511651, 89.181726, 71.501724, 85.667359, 51.633967, 82.042331, 32.998021, 75.838175, 12.773382, 56.500715, 0.000000, 36.156070, 4.419259, 19.385510, 18.644981, 9.757117, 37.634492, 3.014972, 56.343953, 0.000000, 75.915124, 2.620472, 94.599393, 7.333269, 113.057140, 12.923980, 131.938791, 18.899336, 151.868854, 24.562545, 170.823187, 28.894438, 189.937202, 32.344126, 210.546450, 35.736888, 228.328443, 44.505075, 248.578924, 59.765994, 253.371115, 65.383912, 251.906974
Type02, L, 260, 66.083873, 261.875756, 60.058393, 262.496264, 45.691422, 255.841888, 35.080588, 236.264121, 31.289052, 216.317982, 28.326411, 195.410738, 24.039531, 176.939959, 18.288307, 156.149665, 11.251451, 136.447401, 4.755803, 116.065510, 0.209074, 96.304690, 0.000000, 75.483442, 2.880027, 56.243407, 9.366547, 36.164622, 20.091915, 17.497422, 37.943706, 3.241679, 58.624757, 0.000000, 77.888637, 13.162410, 84.742430, 33.454885, 88.587754, 53.149319, 92.951686, 73.358073, 91.822495, 93.524029, 82.474750, 112.605139, 76.154004, 132.143685, 75.673826, 153.173550, 78.787727, 173.138507, 83.764249, 192.836823, 89.876976, 213.056271, 94.027987, 233.378217, 87.050197, 254.474108, 72.778323, 262.086742, 66.045596, 261.444151
Type02, L, 270, 68.917873, 272.215708, 61.939970, 272.685630, 46.446285, 266.750880, 35.869540, 246.210923, 32.870397, 225.319555, 28.115485, 204.038787, 22.659277, 183.438412, 17.587757, 162.791235, 11.922522, 142.472588, 5.513904, 122.466254, 1.057267, 101.839914, 0.000000, 80.385554, 3.623388, 59.395702, 11.132116, 39.005772, 22.921941, 19.293329, 40.343151, 3.701913, 62.955934, 0.000000, 82.160688, 14.537038, 89.052306, 36.062658, 92.366325, 56.099152, 96.591935, 77.418456, 95.278947, 99.224273, 84.048305, 118.942820, 77.859211, 139.902523, 78.945002, 160.829259, 82.567248, 182.246967, 88.316506, 202.032182, 94.253894, 222.300020, 97.491775, 243.455460, 91.313465, 265.499474, 74.596695, 272.542157, 69.591709, 271.645420
Type03, L, 230, 50.409969, 231.648102, 45.268771, 231.463682, 31.731552, 227.523260, 22.609909, 209.700990, 18.877750, 192.041599, 16.676152, 174.376897, 13.570097, 155.258278, 9.741950, 138.012530, 5.886823, 120.292043, 2.440317, 103.051232, 0.298156, 85.502007, 0.000000, 67.979841, 2.254739, 50.293819, 8.006507, 32.851534, 16.858625, 15.905479, 31.975963, 2.427218, 50.132797, 0.000000, 66.940507, 10.915126, 74.396419, 28.745410, 77.824200, 47.335289, 78.634713, 65.308503, 78.434652, 83.084045, 75.417828, 101.372799, 72.219570, 118.742174, 71.343663, 137.389120, 74.458300, 154.900520, 76.836978, 172.461197, 78.154312, 191.300663, 79.622940, 209.779761, 69.029483, 226.726934, 56.181063, 231.666593, 50.859094, 231.322534
Type03, L, 235, 53.286380, 236.907620, 47.636954, 237.077196, 34.265389, 234.466655, 22.844188, 217.498331, 19.045003, 199.653416, 16.734928, 181.188524, 14.581066, 162.850360, 10.957929, 144.762441, 6.586419, 126.634078, 2.911919, 108.782096, 0.120682, 90.101000, 0.000000, 71.893365, 1.961436, 53.170462, 6.688278, 35.255789, 15.739474, 18.285298, 29.436584, 3.773403, 48.836701, 0.000000, 65.830356, 11.222426, 74.808414, 28.924118, 78.343770, 46.707128, 79.737767, 65.242621, 79.617796, 83.734033, 77.691078, 102.207099, 75.583482, 120.541070, 74.828684, 139.532346, 75.610829, 158.607331, 77.226510, 177.052249, 79.216961, 194.381619, 80.349959, 212.749157, 72.335629, 230.407694, 59.578778, 237.384757, 53.289988, 236.352627
Type03, L, 245, 53.618383, 245.700229, 47.445447, 245.952082, 33.326506, 241.308022, 23.400882, 223.689965, 19.282308, 203.982379, 17.232365, 184.515619, 13.905348, 165.725649, 10.004687, 146.689282, 5.795722, 126.869024, 2.301671, 107.694719, 0.147797, 88.554547, 0.000000, 69.268152, 2.932908, 49.842307, 9.416578, 32.150999, 17.949148, 13.777820, 34.071866, 0.348660, 54.529594, 0.000000, 71.051235, 14.068082, 78.169890, 32.607393, 80.828698, 52.277152, 82.889824, 70.374617, 83.032652, 90.014563, 79.542980, 108.491459, 76.329569, 127.047699, 76.488032, 146.657972, 78.561972, 165.511549, 81.209925, 183.564722, 83.019611, 203.271789, 83.034579, 221.743645, 74.174004, 241.202200, 59.751269, 245.958623, 53.998145, 245.278145
Type03, L, 250, 52.591767, 250.875965, 46.763217, 250.843135, 31.834678, 246.439344, 22.046851, 227.328839, 19.337026, 208.693960, 16.154774, 188.586783, 13.393144, 168.965064, 9.838748, 148.922821, 6.405730, 129.420246, 3.515065, 110.608083, 0.764343, 89.878866, 0.000000, 71.445360, 2.088067, 51.688941, 8.460644, 32.484656, 18.471466, 14.074157, 35.778012, 0.000000, 55.168965, 0.682178, 72.961983, 15.235286, 78.593618, 34.802645, 82.975009, 54.072858, 83.892618, 74.006188, 83.232130, 91.922058, 80.583459, 111.977686, 78.998188, 131.011211, 79.754065, 149.729833, 80.124744, 168.852042, 80.630827, 188.000691, 81.986842, 208.086044, 82.487192, 226.164740, 73.818079, 246.343180, 58.470689, 250.918643, 53.694115, 250.634521
Type03, L, 255, 56.225200, 257.095586, 50.258799, 257.093928, 35.319650, 254.616674, 22.364465, 236.574842, 19.532284, 216.365507, 16.042913, 196.401235, 13.644106, 177.091181, 10.455683, 157.322792, 7.596891, 137.556441, 4.173705, 118.343975, 1.170513, 98.298613, 0.000000, 78.057881, 1.892803, 58.768305, 7.566593, 38.940031, 16.005470, 20.332096, 30.473367, 3.756479, 51.606643, 0.000000, 70.563522, 10.843868, 78.972968, 30.707447, 83.007777, 50.528165, 84.476775, 71.262924, 83.725868, 91.077775, 81.772700, 111.273502, 79.993593, 131.788953, 79.415634, 151.439247, 80.432030, 171.483930, 82.030079, 192.132302, 84.058983, 210.668337, 84.480089, 230.808880, 76.835765, 251.054575, 62.380439, 256.879244, 56.059635, 256.891977
Type03, L, 260, 54.070234, 261.358007, 47.450191, 260.994216, 33.182999, 256.270615, 21.725844, 236.547898, 20.957970, 216.269593, 18.748801, 196.469114, 15.607613, 176.195670, 11.694216, 155.471725, 7.966220, 134.739008, 3.660723, 113.819478, 0.407399, 92.991356, 0.000000, 72.807050, 3.643400, 52.957188, 10.761468, 34.258523, 20.252915, 14.667378, 37.390679, 1.071195, 59.144226, 0.000000, 75.696524, 15.595479, 82.054119, 35.865818, 85.329034, 55.694619, 85.366211, 76.108054, 84.307724, 95.672212, 82.784863, 115.383976, 81.483844, 135.745352, 81.399913, 156.177707, 82.128618, 175.739422, 83.749226, 195.968581, 84.717799, 215.475149, 86.405153, 236.173540, 75.545281, 255.187870, 60.793599, 261.203653, 54.291796, 261.009034
Type03, L, 265, 51.900182, 266.299395, 45.787550, 266.195308, 30.279210, 261.309979, 19.765255, 242.225151, 18.151866, 220.773431, 15.951748, 200.897103, 13.606408, 179.307889, 10.372339, 159.986493, 6.898023, 138.376193, 3.581726, 118.270208, 0.713392, 97.777494, 0.000000, 77.724976, 2.682372, 56.601920, 9.744284, 37.474610, 18.224147, 17.953367, 33.699234, 1.032119, 56.745325, 0.000000, 75.183381, 12.749109, 80.549702, 34.610244, 85.545229, 54.124396, 87.214094, 76.603923, 87.284522, 96.700476, 85.804793, 117.582638, 83.377094, 138.462713, 82.078680, 159.232054, 82.393884, 179.250827, 83.764308, 200.605047, 83.953518, 220.719045, 84.467408, 241.447483, 74.527009, 260.706183, 58.303335, 266.344819, 52.552829, 265.757189
Type03, L, 270, 59.241724, 271.368612, 52.756517, 271.908797, 36.268035, 266.822847, 26.686546, 245.956932, 22.772732, 224.573142, 19.727357, 203.860310, 16.561336, 182.245554, 11.947543, 161.361581, 8.045634, 140.320702, 3.583416, 120.922138, 1.202023, 99.327916, 0.000000, 79.318437, 2.041475, 57.921256, 9.551840, 37.592660, 19.357028, 17.211826, 36.126355, 1.238076, 59.091295, 0.000000, 76.271397, 15.887866, 82.145919, 37.494152, 87.443651, 57.765692, 88.350464, 78.760467, 87.933067, 98.082553, 86.225486, 119.777824, 85.305109, 141.725766, 84.907647, 160.732321, 85.562536, 180.765401, 87.404870, 202.819291, 88.117147, 223.906725, 88.671017, 243.098852, 83.032879, 266.069128, 65.688403, 271.121060, 60.389478, 271.469413
Type03, L, 275, 58.263714, 276.098556, 51.548711, 276.595537, 35.094359, 270.588092, 26.090352, 250.384652, 21.721506, 227.587950, 19.060159, 206.499446, 16.066250, 185.334448, 11.388508, 162.938054, 7.033183, 142.538260, 3.044703, 121.938826, 0.406677, 101.455936, 0.000000, 79.848761, 2.278400, 58.676026, 8.578036, 38.391028, 16.633275, 17.771321, 33.943568, 0.769930, 56.267534, 0.000000, 74.846535, 15.489249, 81.382859, 37.153526, 86.671316, 58.202031, 89.023638, 77.520596, 89.541190, 100.499443, 87.463644, 120.781809, 84.191970, 142.362003, 83.386577, 163.844155, 86.049143, 185.279765, 87.282511, 207.016274, 88.809900, 228.533566, 90.004274, 249.543404, 81.072084, 270.306288, 64.610168, 276.556555, 59.034208, 275.693396
Type03, L, 280, 66.040583, 282.309153, 73.373459, 281.956189, 87.230518, 270.865900, 91.357181, 249.070764, 89.531556, 227.582577, 89.203515, 205.940178, 87.342281, 183.972435, 85.895079, 162.073956, 86.173004, 139.877801, 89.861511, 118.398987, 90.792762, 97.179774, 89.730901, 74.869426, 85.932047, 52.764071, 82.569111, 31.386218, 72.014291, 9.722512, 49.700178, 0.000000, 27.823712, 7.863976, 13.537804, 27.798607, 6.073613, 48.891559, 1.024571, 69.989356, 0.000000, 91.163992, 1.149010, 112.383189, 5.102532, 136.561763, 9.650846, 156.778469, 14.445943, 178.651321, 18.470642, 197.868822, 21.249970, 221.649727, 23.136039, 241.550987, 27.898311, 263.267703, 43.326384, 283.035771, 59.692307, 283.204438, 65.495501, 282.979408
Type04, L, 230, 54.824780, 231.044174, 49.743218, 231.212782, 35.271171, 229.407125, 23.773409, 212.130990, 21.863467, 193.568691, 18.682073, 175.753281, 15.566933, 157.390143, 11.650073, 139.568496, 7.873683, 121.574209, 3.865615, 104.180847, 0.418418, 85.661285, 0.000000, 67.811222, 3.178326, 49.194086, 9.549384, 31.726523, 18.469082, 14.428363, 34.586544, 1.333803, 52.731597, 0.000000, 71.214578, 8.500212, 80.207682, 26.640443, 82.446940, 44.601335, 81.608961, 63.169475, 79.181889, 81.479578, 77.940177, 99.122007, 76.527284, 117.252284, 77.120819, 135.384778, 79.826942, 153.339560, 81.092429, 170.980194, 82.109809, 189.655582, 82.125954, 206.928570, 74.715509, 226.243723, 60.492304, 230.233851, 55.605366, 230.970210
Type04, L, 235, 56.069330, 236.812390, 50.392166, 237.228818, 36.544279, 234.434288, 25.288008, 216.868051, 20.974475, 200.001897, 18.669926, 181.098891, 15.872828, 163.510404, 11.876309, 144.817463, 7.909444, 126.570790, 4.051638, 108.398790, 0.894936, 89.833295, 0.000000, 71.497327, 2.325217, 53.310600, 7.924910, 35.413026, 16.485045, 17.687123, 31.614719, 3.373759, 50.747019, 0.000000, 68.998476, 9.672428, 78.386859, 27.580956, 81.956934, 44.909367, 83.160823, 63.676357, 81.791870, 82.175229, 79.473093, 100.826669, 77.368731, 119.906501, 77.508935, 138.608331, 79.146349, 157.226093, 81.409224, 175.124143, 83.033296, 194.613579, 82.436239, 212.722122, 75.271734, 231.796887, 61.142843, 236.828862, 56.665594, 236.546374
Type04, L, 240, 59.115745, 242.336140, 53.156999, 241.781208, 39.077551, 238.140942, 27.373911, 221.178388, 23.393404, 201.437892, 20.637796, 182.923088, 17.107356, 164.191482, 13.577783, 146.428714, 9.599491, 127.285623, 5.968282, 108.901636, 2.335192, 90.220612, 0.000000, 71.859492, 2.737374, 53.144644, 9.930278, 35.295518, 17.688386, 16.500694, 34.173282, 3.853917, 53.447248, 0.000000, 71.488040, 11.072926, 80.694179, 29.494940, 84.212224, 48.381518, 85.117106, 67.121831, 84.176931, 85.491584, 81.501863, 104.360562, 79.358347, 123.309084, 79.584990, 141.445475, 81.760270, 160.801371, 83.506764, 178.352524, 83.671085, 197.761538, 86.143170, 215.690415, 77.204444, 233.803335, 66.226689, 242.397894, 58.907929, 241.771027
Type04, L, 245, 58.590658, 246.647678, 52.742302, 246.831941, 37.734735, 243.314419, 27.159308, 225.429535, 23.886699, 206.718988, 21.474622, 187.326128, 18.207615, 168.552663, 13.966046, 149.521023, 9.335966, 130.421775, 5.114430, 112.216293, 0.960531, 92.785223, 0.000000, 73.407046, 3.044256, 54.539670, 9.461646, 36.170878, 16.283243, 16.748872, 33.333155, 2.716666, 52.142363, 0.000000, 71.711335, 10.708102, 79.831652, 29.584500, 85.958566, 47.607491, 86.921236, 66.816671, 83.869237, 86.642515, 80.791139, 105.345067, 79.820364, 124.314207, 80.695752, 143.847011, 82.295256, 162.816262, 84.631101, 182.994388, 85.925826, 202.149379, 87.309096, 220.874552, 78.602261, 240.438817, 64.231431, 245.930905, 59.269128, 246.346167
Type04, L, 250, 61.889105, 251.373474, 55.828920, 251.693029, 41.475383, 247.267336, 28.598898, 228.936534, 25.231019, 209.173821, 23.150289, 188.077471, 19.075099, 168.880946, 14.295254, 149.683296, 9.204704, 130.845743, 4.495116, 111.645571, 0.893838, 92.045036, 0.000000, 71.699712, 4.200674, 52.315910, 10.917244, 33.595866, 19.829271, 13.944396, 37.875498, 1.812482, 57.372480, 0.000000, 76.022967, 11.994934, 85.345786, 31.118539, 90.119431, 50.193166, 90.309676, 70.007574, 88.409916, 89.228981, 85.300149, 108.421936, 83.546677, 128.548088, 83.472579, 147.864796, 86.752918, 168.788611, 87.999377, 186.993819, 89.945761, 206.167097, 90.626091, 226.152152, 82.868416, 245.436512, 67.482266, 251.595050, 62.310902, 250.826512
Type04, L, 260, 58.858079, 261.594765, 52.696238, 261.413096, 37.092313, 256.269371, 27.988810, 235.955027, 24.731187, 216.228636, 21.759807, 195.945414, 18.272144, 175.636984, 13.836257, 155.730974, 9.072178, 135.903515, 4.614676, 115.575453, 0.520962, 95.785753, 0.000000, 75.506496, 4.050935, 55.488059, 10.815288, 35.992686, 19.227183, 15.640899, 37.250416, 2.028920, 57.893187, 0.000000, 76.563338, 13.317079, 84.558503, 33.686183, 89.696148, 52.895971, 89.892399, 73.388104, 86.947452, 93.400234, 83.737813, 113.195426, 82.066609, 133.485315, 82.966997, 153.976700, 84.914731, 175.228788, 87.513353, 194.790224, 89.664962, 216.097204, 90.092342, 236.609716, 80.247233, 256.668630, 64.817233, 262.331784, 59.538694, 260.928830
