type, side, size, x1, y1, x2, y2, x3, y3, x4, y4, x5, y5, x6, y6, x7, y7, x8, y8, x9, y9, x10, y10, x11, y11, x12, y12, x13, y13, x14, y14, x15, y15, x16, y16, x17, y17, x18, y18, x19, y19, x20, y20, x21, y21, x22, y22, x23, y23, x24, y24, x25, y25, x26, y26, x27, y27, x28, y28, x29, y29, x30, y30, x31, y31, x32, y32
Type04, L, 265, 59.977446, 266.552820, 54.136944, 266.844369, 38.011211, 262.976169, 27.738572, 242.769262, 24.026922, 221.896132, 21.613201, 201.238022, 18.401319, 179.949477, 14.148037, 159.896839, 9.562927, 139.178809, 5.234105, 119.274743, 1.247975, 98.521849, 0.000000, 78.337357, 3.584715, 57.270673, 10.301961, 38.024738, 17.958442, 16.947661, 35.551022, 1.966568, 57.113317, 0.000000, 76.927230, 12.992706, 84.654669, 34.214973, 89.489315, 53.964045, 91.259648, 74.169550, 88.381151, 94.843981, 86.133115, 114.704502, 84.419102, 135.919294, 84.571073, 156.209991, 86.466629, 176.595586, 89.008812, 197.284834, 90.822926, 218.258118, 90.172978, 239.236919, 82.696539, 260.999328, 66.634352, 266.835471, 60.643472, 266.070968
Type04, L, 270, 62.539908, 272.156504, 55.793793, 272.685824, 39.750497, 268.420882, 28.292225, 248.299159, 25.474591, 227.814943, 21.626430, 206.384214, 18.351512, 185.787423, 13.985034, 164.667961, 9.493314, 144.068258, 5.085287, 122.791888, 0.000000, 101.460600, 0.408522, 81.026331, 4.366791, 60.041968, 8.818315, 39.117786, 19.279118, 18.812916, 36.906102, 3.219740, 59.012898, 0.000000, 78.702896, 13.332035, 86.455305, 34.101759, 91.863013, 54.678577, 91.501648, 75.875364, 88.241529, 96.942988, 85.599277, 117.833403, 84.307066, 137.797452, 84.461456, 159.271439, 86.834384, 180.300493, 89.725648, 200.465038, 91.862047, 222.555288, 91.150715, 242.257824, 84.762005, 264.199068, 69.380167, 272.481083, 62.817311, 271.435641
Type04, L, 280, 64.469725, 282.267867, 57.512081, 282.528886, 40.669974, 278.719686, 29.292366, 257.571780, 24.944795, 235.793216, 21.950175, 213.764214, 18.577694, 192.095345, 13.868578, 170.475154, 9.395193, 149.473521, 5.173033, 128.606285, 1.377606, 106.855176, 0.000000, 84.199484, 3.397362, 62.573289, 10.759785, 41.650543, 18.743232, 19.951542, 36.969593, 3.554071, 59.813575, 0.000000, 80.313972, 13.386325, 89.642206, 35.825154, 94.444644, 55.744710, 94.488730, 78.287389, 92.582132, 99.571375, 89.897347, 121.057880, 87.819770, 143.033129, 87.444947, 164.213729, 89.568080, 186.741275, 92.000805, 208.126797, 94.514241, 229.604850, 94.404958, 252.619398, 88.225649, 273.900579, 71.767418, 282.364521, 65.016636, 281.610861
Type05, L, 240, 55.476766, 242.114256, 49.755082, 242.432847, 35.335196, 237.811660, 26.335272, 219.805735, 22.716992, 201.138451, 20.252298, 182.156572, 18.935367, 162.082945, 15.493362, 143.834624, 9.054987, 125.765719, 2.357890, 108.527989, 0.000000, 88.870831, 1.685512, 70.252726, 6.620278, 51.491469, 13.342910, 33.681103, 23.485861, 15.474786, 38.703304, 3.209280, 60.308375, 0.000000, 74.100664, 15.503995, 78.480379, 34.585198, 84.674785, 51.636963, 83.571783, 70.357599, 79.444256, 88.951359, 73.378370, 107.313411, 70.300493, 126.043518, 72.029337, 144.483611, 75.458121, 162.707250, 80.076641, 180.958652, 84.235892, 199.445136, 83.756078, 217.806077, 75.336316, 237.105735, 61.071452, 241.843686, 56.063032, 242.104496
Type05, L, 260, 58.248981, 261.256562, 52.388054, 261.622315, 37.645203, 254.629626, 30.216770, 234.430024, 25.963294, 215.351719, 23.555015, 193.734112, 21.903384, 174.566786, 17.743842, 153.890757, 11.090258, 133.964619, 4.645630, 115.347524, 0.000000, 94.239280, 0.676554, 74.684473, 4.528836, 54.929826, 12.133566, 35.736004, 20.227296, 15.317614, 37.168567, 1.149493, 58.288058, 0.000000, 75.322179, 15.302332, 80.396807, 36.156795, 86.547314, 55.363543, 87.939603, 76.764502, 84.974513, 96.761422, 79.873283, 116.428675, 75.432679, 135.754749, 75.185947, 155.671349, 78.753940, 176.851218, 83.180541, 195.730442, 87.265348, 215.863626, 87.972787, 234.906297, 80.147480, 255.840611, 65.001496, 261.601030, 58.458725, 260.986532
Type05, L, 280, 63.958392, 282.624284, 70.819983, 282.695381, 86.681393, 274.344830, 93.934446, 252.128651, 91.134914, 230.990111, 87.475901, 209.326389, 82.749074, 188.290189, 78.898884, 167.089099, 79.174556, 144.758672, 83.651383, 123.536314, 90.281040, 102.288446, 93.466740, 81.223387, 90.433920, 57.947896, 84.407093, 38.290018, 80.013160, 15.591554, 60.355384, 0.000000, 36.673587, 3.985576, 19.794926, 21.440352, 10.982079, 42.906394, 3.702638, 63.799194, 0.000000, 85.563928, 0.011700, 107.747416, 4.839362, 129.045516, 11.815189, 149.221713, 18.329868, 170.955799, 22.478946, 192.647042, 25.092741, 214.620679, 27.173081, 234.497179, 30.825428, 255.571906, 40.989045, 277.070863, 57.463276, 283.466319, 63.597594, 282.255615
Type05, L, 290, 67.728510, 292.140653, 61.346714, 293.108346, 44.300172, 287.296272, 33.309516, 265.073266, 28.576580, 243.438708, 25.007395, 220.878976, 22.894911, 198.276069, 19.107712, 175.777878, 12.414406, 154.168055, 4.762718, 131.341302, 0.000000, 109.860497, 0.067807, 87.168057, 4.109504, 64.272121, 11.440263, 43.326283, 20.135480, 20.902813, 38.504191, 3.516341, 61.661976, 0.000000, 82.472111, 15.644191, 89.246174, 38.229607, 94.406887, 59.726902, 98.253151, 82.625256, 95.535488, 104.343931, 88.419588, 126.793654, 83.135084, 147.546422, 82.231692, 172.822433, 86.500215, 194.996333, 91.474901, 216.892862, 96.462383, 239.022660, 98.177634, 262.048715, 92.141590, 284.133205, 74.303302, 292.471315, 68.129882, 291.531374
Type06, L, 230, 51.779844, 230.652551, 46.247406, 230.349173, 33.107358, 225.083249, 23.883628, 207.776456, 20.732614, 190.612868, 18.880919, 171.886527, 15.838917, 155.269624, 11.308529, 136.608564, 6.972452, 119.660240, 2.835249, 101.650073, 0.001888, 84.018234, 0.000000, 65.493973, 3.307593, 47.826060, 8.906479, 29.994691, 17.541800, 12.655467, 33.362755, 0.000000, 52.697798, 0.342712, 68.069629, 13.319759, 74.112840, 31.292113, 78.822079, 47.597384, 80.337608, 66.418050, 79.513073, 83.701454, 77.432686, 101.449876, 75.223921, 119.449758, 74.347167, 137.337555, 75.622231, 155.700692, 78.463644, 173.546317, 79.897709, 190.881699, 80.471167, 209.099224, 71.380560, 227.052475, 57.115594, 230.587186, 52.189083, 230.509834
Type06, L, 240, 54.256329, 242.152198, 48.238235, 241.970474, 34.335715, 236.895557, 25.739854, 218.849072, 21.664412, 200.471802, 18.661266, 182.522337, 15.646087, 163.764025, 11.851977, 145.224444, 7.622733, 128.631419, 2.621785, 109.536840, 0.000000, 91.012740, 0.411422, 73.177267, 3.044201, 55.573310, 8.684284, 37.287188, 15.986887, 19.184943, 30.428156, 4.088721, 50.093084, 0.000000, 67.819171, 11.386183, 75.935576, 30.373298, 80.563344, 47.446866, 81.957997, 66.953711, 81.334343, 85.220775, 79.105337, 104.313140, 76.572814, 123.502462, 75.851132, 142.180308, 77.298603, 161.453351, 79.513093, 179.829778, 82.016902, 199.607459, 81.745102, 217.479036, 73.376776, 236.888158, 59.816589, 242.136961, 54.716682, 241.869748
Type06, L, 250, 55.156587, 251.493996, 48.971478, 251.795443, 35.422686, 245.912180, 24.833413, 227.466428, 20.248265, 208.757754, 18.499853, 188.991014, 15.189023, 169.716536, 11.018623, 149.612418, 6.700570, 131.977418, 2.501648, 112.259418, 0.050869, 92.899366, 0.000000, 74.228162, 2.765484, 54.249881, 9.018492, 35.834157, 18.100736, 17.072533, 33.713646, 1.840190, 54.844704, 0.000000, 71.171491, 14.650760, 78.282636, 33.542526, 82.936139, 52.848456, 84.692903, 72.737434, 84.878521, 91.221513, 81.222325, 111.322838, 79.654477, 129.779361, 79.552437, 149.875075, 80.789731, 169.386290, 82.440536, 188.328904, 84.785721, 208.816206, 84.982175, 227.380558, 76.160730, 246.800166, 60.933042, 251.595560, 55.565195, 251.249152
Type06, L, 270, 61.202100, 272.334421, 55.124126, 272.801690, 38.751943, 268.425160, 27.878112, 248.169220, 24.419499, 228.660928, 21.107180, 207.157338, 18.476672, 186.859481, 14.806503, 165.862239, 9.161417, 145.014127, 3.815789, 124.965278, 0.000000, 103.470911, 0.497225, 82.264393, 3.644931, 61.450782, 9.970839, 41.470113, 17.750360, 20.654402, 34.524228, 3.880450, 57.040113, 0.000000, 75.340850, 14.866724, 83.947729, 35.726962, 88.750709, 55.689083, 90.084395, 78.591145, 88.819715, 99.270084, 86.169349, 119.955460, 83.603472, 140.303309, 82.549340, 160.848438, 84.340991, 182.246431, 86.928848, 203.006894, 89.486273, 223.171988, 90.197200, 243.396624, 82.888698, 264.700596, 67.640568, 272.396912, 61.656766, 271.746871
Type06, L, 280, 64.056318, 282.932013, 57.766266, 282.938282, 41.264018, 279.594120, 27.992488, 258.431970, 24.876366, 237.907774, 21.873764, 215.515896, 19.518529, 194.372803, 15.416433, 172.520700, 10.359936, 152.106135, 4.365367, 129.456303, 0.000000, 108.753541, 0.211346, 86.590129, 4.350536, 64.996568, 8.838801, 44.405344, 17.354744, 23.644675, 33.606868, 5.659258, 56.786982, 0.000000, 76.910659, 15.502346, 86.355918, 36.679998, 90.895856, 57.008106, 92.863029, 78.757200, 92.770402, 100.329463, 90.018698, 121.664595, 86.824663, 144.075228, 86.019771, 165.187271, 87.434139, 186.457568, 89.772290, 208.583122, 92.185412, 230.264075, 93.565249, 252.122080, 86.742946, 274.085898, 71.677912, 283.193227, 64.249009, 282.272091
Type07, L, 250, 59.337312, 252.336403, 53.465744, 252.361274, 38.322518, 248.953346, 27.048173, 230.741103, 23.554678, 211.292923, 19.783898, 192.409908, 17.635445, 172.292616, 13.792440, 153.239854, 8.688981, 134.791377, 3.860463, 116.157844, 0.281994, 97.198429, 0.000000, 77.058598, 3.508156, 58.270576, 10.642394, 39.263456, 19.621083, 20.794255, 34.719561, 4.724888, 54.639332, 0.000000, 73.594199, 10.423235, 82.383947, 30.475925, 84.689238, 48.945607, 85.950937, 67.849159, 86.278339, 88.790505, 82.765544, 106.810066, 82.577383, 126.442695, 83.107278, 148.413602, 83.030945, 167.012090, 83.810977, 185.284048, 85.719252, 205.619278, 86.802770, 225.229166, 79.866927, 244.992821, 65.866155, 252.805579, 59.986869, 251.600528
Type07, L, 270, 61.733178, 272.267657, 55.509083, 273.092294, 40.142078, 267.809298, 28.216275, 247.978903, 24.755873, 226.251136, 22.948768, 206.635675, 19.154220, 185.342379, 15.014984, 164.679473, 10.055249, 144.050299, 5.248402, 123.998064, 0.218854, 102.707690, 0.000000, 81.148824, 5.148427, 61.130920, 12.655262, 40.914244, 21.913849, 20.780454, 38.679800, 4.126857, 60.683191, 0.000000, 81.226522, 11.756806, 86.108582, 34.150377, 91.010734, 54.322699, 91.285193, 75.762678, 89.932796, 95.711716, 88.912130, 117.258836, 88.495858, 137.785561, 88.831676, 159.564929, 89.614984, 180.735541, 90.736837, 201.592135, 91.075301, 222.165981, 91.557037, 244.353406, 84.113115, 264.517324, 68.165379, 272.922189, 62.679291, 271.301071
Type07, L, 280, 62.641520, 282.734197, 56.689869, 282.736540, 39.595555, 278.331443, 28.357600, 257.341012, 25.373565, 236.220044, 23.072719, 213.530340, 19.481762, 192.630418, 15.187267, 170.603990, 10.362431, 149.397764, 5.357860, 128.023074, 0.303909, 106.879861, 0.000000, 84.799396, 5.582062, 63.317559, 12.578941, 42.705809, 21.391918, 20.601781, 39.412013, 4.722273, 61.556901, 0.000000, 81.913217, 14.091208, 88.789302, 36.375848, 93.431759, 57.719925, 93.367024, 79.346304, 92.037908, 100.849230, 89.450539, 122.133415, 88.330383, 144.119468, 87.470005, 165.490584, 87.875875, 188.662160, 91.040580, 210.096207, 93.159160, 232.568145, 93.865214, 253.423515, 86.297986, 276.541965, 70.076010, 283.246089, 62.933930, 282.169923
