type, side, size, x1, y1, x2, y2, x3, y3, x4, y4, x5, y5, x6, y6, x7, y7, x8, y8, x9, y9, x10, y10, x11, y11, x12, y12, x13, y13, x14, y14, x15, y15, x16, y16, x17, y17, x18, y18, x19, y19, x20, y20, x21, y21, x22, y22, x23, y23, x24, y24, x25, y25, x26, y26, x27, y27, x28, y28, x29, y29, x30, y30, x31, y31, x32, y32, x33, y33, x34, y34, x35, y35, x36, y36, x37, y37, x38, y38, x39, y39, x40, y40, x41, y41, x42, y42, x43, y43, x44, y44, x45, y45, x46, y46, x47, y47
Type01, L, 280, 58.911381, 280.756689, 53.813819, 280.625815, 44.511143, 279.567493, 31.362285, 269.553335, 25.707368, 255.414703, 22.940237, 241.291539, 20.575303, 226.910412, 18.663642, 212.123552, 16.422015, 198.485448, 14.053525, 184.053717, 11.467584, 169.451349, 8.496620, 155.517871, 6.044596, 141.608331, 2.893339, 127.101464, 1.192872, 113.430126, 0.000000, 98.391289, 0.530458, 84.377125, 2.337948, 70.591181, 5.593926, 56.689404, 9.864332, 43.727283, 15.890494, 29.734413, 23.460157, 16.934112, 34.841080, 5.385991, 49.100081, 0.000000, 63.895380, 1.211353, 76.530380, 11.031511, 83.623436, 24.518718, 86.677032, 38.165683, 89.123162, 52.635942, 90.524514, 66.413088, 90.522382, 80.528795, 88.883599, 95.315028, 87.760997, 108.866285, 86.811207, 123.557474, 86.720174, 137.893889, 87.335115, 152.487091, 88.775493, 166.317331, 90.627844, 180.913022, 90.392582, 194.091665, 89.397935, 208.970539, 89.251095, 223.591676, 89.261905, 238.271143, 88.186382, 251.752856, 84.389250, 265.474804, 73.599876, 278.274213, 63.707429, 279.807756, 59.188094, 280.769380
Type01, L, 290, 59.780776, 290.683209, 54.890619, 290.750568, 44.901877, 289.300216, 32.079850, 278.740657, 25.723311, 264.036081, 24.022735, 249.768402, 21.396755, 235.037522, 18.877219, 220.123498, 17.025861, 205.923700, 15.122416, 191.001276, 13.146514, 176.188830, 10.406419, 162.149662, 7.078212, 147.184855, 4.015558, 132.118729, 1.334041, 117.228856, 0.041430, 102.691451, 0.000000, 87.153705, 1.751100, 72.713610, 5.143539, 57.752233, 9.920175, 43.691223, 16.546479, 29.373083, 24.609857, 16.523890, 36.286837, 4.970039, 51.033031, 0.000000, 65.644061, 1.192239, 78.843086, 11.487794, 85.671883, 25.486164, 89.046530, 39.942308, 91.923416, 54.660011, 94.103794, 68.905899, 93.560084, 84.524055, 92.060069, 99.718152, 91.398367, 112.729827, 91.190642, 128.101633, 91.665864, 143.418760, 92.096842, 158.359407, 92.988181, 173.066863, 93.351405, 187.251214, 93.856768, 202.374251, 93.790022, 217.457085, 93.148513, 231.288428, 92.024354, 245.894534, 89.895708, 260.943437, 86.254035, 275.294432, 75.189792, 288.106434, 64.457337, 289.914642, 60.351260, 290.814480
Type02, L, 230, 62.692706, 230.465002, 58.924655, 230.132166, 50.738068, 229.077904, 39.941230, 220.949734, 34.445117, 209.631417, 31.122719, 197.999576, 28.666307, 186.108361, 26.087121, 174.299424, 23.536478, 162.618398, 20.629833, 150.948211, 17.194916, 138.881757, 13.438160, 127.680915, 9.061750, 116.125954, 4.906996, 104.587231, 1.893947, 92.972050, 0.000000, 80.453262, 0.036889, 68.781879, 1.115543, 56.960035, 3.809801, 45.202049, 7.616532, 33.587741, 13.168712, 22.157825, 21.024950, 11.627214, 31.515560, 4.359537, 43.186968, 0.449283, 55.479326, 0.000000, 67.040208, 6.047107, 74.552444, 16.960115, 79.148328, 28.263836, 82.417873, 39.605006, 83.919534, 51.728456, 86.594340, 63.830986, 86.267718, 75.202298, 82.890643, 87.514275, 78.596960, 98.817088, 74.128215, 111.090588, 71.292496, 122.682814, 71.953096, 135.879412, 74.174002, 146.997192, 77.670459, 159.259902, 81.207539, 170.785653, 84.070715, 181.872719, 86.272912, 193.476372, 86.726752, 205.600705, 83.787455, 218.052420, 74.855737, 228.350944, 66.352144, 230.198349, 63.021719, 230.577609
Type02, L, 250, 65.180210, 250.454195, 69.275466, 250.061696, 78.704533, 248.005020, 87.065512, 235.989230, 88.459453, 223.407477, 87.517529, 210.435704, 84.501786, 197.966321, 80.445953, 186.043180, 76.258340, 172.972634, 73.464068, 160.842253, 71.293565, 148.069196, 70.426924, 134.924856, 73.160275, 122.191833, 78.344634, 109.576963, 83.807471, 97.108824, 88.126474, 84.117358, 88.314499, 71.708584, 86.502308, 58.658454, 84.515474, 45.912859, 81.692469, 33.439406, 78.405246, 20.486289, 71.459430, 8.522318, 58.992339, 0.424725, 45.605727, 0.000000, 32.995315, 4.888070, 21.917182, 14.159164, 14.046427, 25.731223, 8.282021, 38.104429, 3.907160, 50.711101, 0.789653, 63.083737, 0.000000, 76.178516, 1.333127, 88.298401, 4.045889, 100.635754, 7.210839, 112.772802, 10.974725, 125.304031, 14.673981, 138.082269, 18.677798, 151.081317, 22.415942, 163.845317, 25.591989, 176.015090, 28.411982, 189.150482, 30.692621, 202.414198, 32.888420, 215.016087, 35.813198, 227.149915, 40.846473, 239.811336, 51.778267, 250.014357, 61.029408, 250.236679, 64.864195, 250.733650
Type02, L, 260, 65.933290, 260.820013, 61.950967, 260.857575, 52.934479, 258.824329, 41.920927, 248.233785, 35.809481, 235.620644, 32.339424, 222.489212, 30.332006, 208.874659, 28.188384, 195.518246, 25.566862, 182.785849, 22.320556, 170.263921, 18.452193, 156.383454, 13.974078, 143.428786, 9.466931, 130.167763, 5.273656, 116.846341, 1.959003, 103.633350, 0.004358, 90.564630, 0.000000, 76.530660, 1.346272, 64.115560, 4.029123, 50.779619, 8.568788, 37.893702, 14.520199, 25.224729, 23.502692, 13.732411, 34.758587, 4.782679, 48.363711, 0.000000, 61.302922, 1.473217, 74.140379, 9.631961, 81.128586, 21.711735, 85.027487, 34.870266, 87.622276, 48.190320, 90.491799, 60.958987, 92.435660, 74.673953, 91.904764, 87.736001, 87.669469, 100.615146, 81.899624, 113.317248, 77.542947, 126.032088, 75.724009, 139.728548, 75.938382, 153.173002, 77.742427, 166.754072, 80.518720, 179.429845, 84.027048, 192.753625, 87.748439, 205.926499, 91.545897, 219.225742, 92.662804, 232.961035, 89.420276, 246.261931, 79.601641, 258.155505, 70.346353, 260.123691, 65.825475, 261.063781
Type02, L, 270, 68.657821, 270.598627, 64.024104, 270.433783, 54.141167, 268.844947, 42.539580, 258.248994, 36.560661, 244.988190, 33.510428, 231.270660, 31.332198, 217.243966, 27.893904, 203.293904, 24.604866, 189.781421, 20.956682, 176.032938, 17.583081, 162.382059, 14.101709, 149.296963, 9.930060, 135.578226, 5.954577, 122.498191, 2.674251, 109.263741, 0.537548, 94.974593, 0.000000, 81.328766, 1.667967, 67.046829, 4.899615, 53.661467, 9.919401, 39.924161, 17.043877, 27.070279, 25.716223, 14.767581, 37.628289, 4.612650, 51.188566, 0.000000, 65.679084, 0.883869, 78.389195, 10.215426, 85.127359, 23.213516, 89.149260, 36.806217, 91.673910, 50.532903, 93.693249, 63.856397, 96.204869, 78.292328, 95.257206, 92.549553, 90.084654, 105.935236, 83.568561, 119.321329, 79.050331, 132.769713, 77.984122, 146.900219, 78.996386, 160.490520, 81.415311, 174.712542, 84.362858, 188.199402, 88.418481, 201.247293, 92.173118, 214.600639, 95.339864, 228.193970, 96.215316, 242.472263, 93.370832, 256.438083, 82.335626, 268.271215, 72.633809, 269.999379, 69.198961, 270.550633
Type03, L, 230, 50.373292, 230.699712, 46.704696, 230.281208, 38.872910, 229.031940, 28.326147, 220.718646, 23.346362, 209.160502, 19.939161, 197.454252, 18.184712, 185.792795, 16.607151, 174.116292, 14.652508, 161.594464, 12.474075, 149.598782, 9.823702, 138.069318, 7.434295, 126.612598, 4.849005, 115.009487, 2.751216, 103.368113, 1.065121, 92.424329, 0.146887, 80.224670, 0.000000, 69.050919, 1.089720, 57.394903, 3.357912, 45.587454, 7.171473, 34.361058, 12.470713, 22.828943, 19.652415, 12.619767, 29.319962, 3.683010, 41.239348, 0.000000, 52.406392, 1.174164, 63.774446, 7.612689, 70.507957, 18.840805, 74.603889, 29.968757, 77.043668, 42.551796, 78.089444, 54.618826, 78.465323, 66.302571, 78.390574, 77.826679, 77.043478, 90.315349, 74.957887, 101.589872, 73.061577, 113.619607, 71.535864, 125.215260, 71.747791, 137.591433, 73.503472, 149.110104, 75.254042, 160.622919, 76.682775, 172.467921, 77.774207, 184.623076, 78.594705, 197.091180, 78.299815, 209.078290, 72.701676, 220.155709, 61.899349, 228.875203, 54.794819, 230.125221, 50.065110, 230.817194
Type03, L, 235, 53.308880, 235.596000, 49.300877, 235.576798, 41.352474, 234.768630, 30.246767, 227.805458, 23.766856, 216.321253, 20.273499, 205.055108, 18.327450, 192.597462, 16.753777, 180.936349, 15.485607, 168.416476, 13.439818, 156.645429, 11.212679, 144.742137, 8.269927, 132.530084, 5.645483, 120.960859, 3.266156, 109.073705, 1.194583, 96.680450, 0.115309, 84.704332, 0.000000, 72.740925, 1.040845, 60.058019, 2.793760, 48.433653, 6.308212, 36.255422, 11.076894, 25.061997, 18.404620, 14.258239, 27.287841, 5.185286, 39.023348, 0.000000, 51.542248, 1.038488, 62.421720, 7.740805, 70.397165, 18.402786, 74.919107, 29.917439, 77.677578, 41.813558, 78.896752, 53.733440, 79.674386, 66.059665, 79.549848, 78.134733, 78.810520, 90.389846, 77.387814, 102.635228, 76.143517, 114.387366, 75.137156, 127.224556, 74.948862, 139.363777, 75.367865, 152.018620, 76.144274, 164.579157, 77.311309, 176.247759, 78.586327, 188.085662, 79.668591, 199.566089, 79.407821, 211.941493, 74.994820, 223.204944, 65.853787, 233.279308, 57.364151, 235.469483, 53.245372, 235.297421
Type03, L, 245, 53.662096, 245.884771, 48.959660, 245.434648, 40.997829, 244.483575, 29.540904, 235.604097, 24.177865, 223.782385, 20.601956, 211.679792, 18.517565, 197.803296, 17.162881, 185.716852, 15.153644, 173.044499, 12.688736, 160.484545, 10.156618, 148.039994, 7.463397, 135.045974, 4.739097, 122.087573, 2.664297, 109.479589, 0.868269, 96.926631, 0.074226, 84.116274, 0.000000, 71.638588, 1.433254, 58.521976, 4.235274, 46.527678, 8.404461, 34.293024, 13.778022, 22.852228, 20.873293, 11.261865, 31.377462, 2.842272, 44.381391, 0.000000, 56.879531, 2.581226, 67.712798, 11.524391, 74.721275, 23.074428, 78.041169, 35.214410, 80.399649, 48.371662, 81.525694, 60.529696, 82.836916, 72.679395, 82.833377, 85.645874, 81.476976, 97.971347, 79.155974, 110.312979, 77.051090, 122.380832, 76.208656, 135.158690, 76.694118, 147.949581, 77.801260, 160.381365, 79.587058, 172.558136, 81.037500, 184.649502, 82.461095, 197.366216, 83.005243, 210.170278, 81.963872, 222.269322, 77.210673, 234.925823, 66.498373, 244.333836, 57.886702, 245.356620, 53.608963, 245.841436
Type03, L, 250, 52.575147, 250.969975, 48.177919, 250.606824, 39.857364, 249.292400, 28.042210, 240.215239, 22.872870, 227.910893, 20.079968, 215.435452, 18.236539, 202.884078, 16.157926, 189.367704, 14.383802, 176.799680, 12.212110, 163.352280, 9.957091, 150.353393, 7.688977, 137.539678, 5.473038, 124.558986, 3.719604, 112.445716, 1.698623, 98.681272, 0.518354, 85.878995, 0.000000, 73.372405, 0.944175, 60.811624, 3.281765, 47.773504, 7.527318, 35.032558, 13.490371, 23.022813, 21.509749, 11.440176, 32.984689, 2.665044, 45.304637, 0.000000, 57.745288, 3.507551, 69.565292, 12.331230, 75.434472, 24.930213, 79.163046, 37.286968, 81.804973, 49.984649, 83.320602, 63.564384, 83.635684, 75.561572, 83.168000, 88.278662, 82.000452, 100.262945, 80.356156, 113.940006, 79.153299, 126.102351, 79.255839, 138.830730, 79.541374, 150.928444, 79.892791, 163.838538, 80.177361, 176.075849, 80.599258, 189.146520, 81.378755, 202.090713, 82.231632, 214.686461, 81.226644, 226.912264, 76.880190, 239.668502, 65.451449, 249.519088, 56.956713, 250.244231, 53.159563, 251.358291
