type, side, size, x1, y1, x2, y2, x3, y3, x4, y4, x5, y5, x6, y6, x7, y7, x8, y8, x9, y9, x10, y10, x11, y11, x12, y12, x13, y13, x14, y14, x15, y15, x16, y16, x17, y17, x18, y18, x19, y19, x20, y20, x21, y21, x22, y22, x23, y23, x24, y24, x25, y25, x26, y26, x27, y27, x28, y28, x29, y29, x30, y30, x31, y31, x32, y32, x33, y33, x34, y34, x35, y35, x36, y36, x37, y37, x38, y38, x39, y39, x40, y40, x41, y41, x42, y42, x43, y43, x44, y44, x45, y45, x46, y46, x47, y47
Type03, L, 255, 56.003962, 255.414844, 51.457103, 255.286764, 43.184705, 254.527995, 30.348773, 247.161629, 23.115391, 235.195093, 20.319270, 221.905321, 17.900664, 208.939184, 16.017332, 195.435632, 14.234048, 183.027485, 12.385475, 170.050714, 10.241146, 156.535351, 8.581735, 144.609990, 6.251472, 130.600815, 4.118077, 118.264607, 2.231863, 105.758896, 0.379324, 91.564348, 0.000000, 78.741379, 0.531173, 66.081985, 2.808181, 52.750821, 6.395390, 40.067670, 11.623198, 27.512466, 18.432801, 15.632090, 27.636346, 4.903851, 41.045629, 0.000000, 54.005795, 0.322648, 66.438059, 7.179428, 74.750524, 18.752764, 78.713544, 31.495780, 81.904405, 44.946757, 83.390602, 58.162666, 83.924101, 71.794632, 83.489438, 84.951074, 82.605348, 97.936633, 81.218387, 111.706328, 80.061316, 124.617339, 79.405963, 138.451565, 79.202874, 150.988837, 79.755819, 164.238511, 80.703481, 177.911851, 81.821959, 191.129158, 82.979417, 203.359175, 84.100550, 216.446634, 83.151745, 229.514109, 79.183352, 242.811993, 69.075051, 252.937002, 59.857036, 254.799751, 55.670923, 255.671809
Type03, L, 260, 54.006217, 260.785666, 48.976639, 260.458435, 40.853393, 258.492161, 28.738566, 249.309012, 22.831259, 236.554955, 20.879140, 222.811249, 20.088147, 210.075099, 18.618363, 196.601627, 16.601196, 183.519509, 14.317557, 169.955785, 11.811863, 156.268555, 9.204376, 142.687857, 6.736179, 128.886133, 3.875028, 115.163368, 1.542153, 101.383450, 0.125483, 87.850372, 0.000000, 74.478144, 1.655581, 61.422827, 4.988485, 48.625431, 9.565097, 35.993083, 15.524979, 23.635607, 23.134831, 11.616562, 34.678394, 2.732083, 47.974998, 0.000000, 61.464609, 2.001190, 72.395230, 12.283650, 78.557226, 24.729714, 82.258040, 37.945156, 84.407929, 50.942563, 85.156683, 64.620030, 85.007183, 77.479081, 84.346100, 90.852547, 83.421798, 103.414921, 82.465168, 116.852413, 81.628749, 129.903423, 81.193690, 143.644275, 81.253991, 156.884432, 81.806290, 169.691912, 82.441610, 183.172987, 83.576594, 196.033254, 84.239326, 209.289142, 85.214707, 222.284124, 84.884617, 236.035852, 79.204414, 248.393730, 67.435286, 258.233168, 58.799602, 260.314671, 53.516703, 260.712042
Type03, L, 265, 51.965508, 265.641074, 47.368539, 265.337863, 38.661175, 263.613868, 26.387991, 254.395971, 20.661246, 241.906341, 18.799941, 227.771326, 17.180605, 214.265529, 16.122979, 200.963154, 14.440187, 186.958411, 12.591852, 173.271753, 10.600914, 160.631611, 8.155638, 146.329792, 6.077587, 132.751147, 3.787470, 119.450117, 1.861754, 105.734021, 0.546177, 92.653143, 0.000000, 79.306449, 1.482869, 65.272556, 4.010912, 52.330731, 8.708170, 39.000020, 14.147222, 26.825285, 21.028016, 14.218057, 31.172983, 2.980501, 45.432594, 0.000000, 59.175597, 1.483749, 71.840527, 9.426805, 77.640199, 23.154568, 81.206947, 35.915124, 84.448837, 49.681209, 86.192095, 63.648814, 87.203906, 78.077027, 87.077680, 91.359884, 86.713361, 105.174572, 85.368333, 118.552006, 84.010275, 132.783232, 82.694297, 146.071734, 82.111536, 159.894073, 82.294344, 173.213159, 82.803924, 186.617171, 83.575025, 200.817876, 83.980327, 214.143123, 84.043159, 227.400988, 83.282451, 241.263021, 78.125429, 253.648027, 65.600834, 263.541075, 56.875669, 265.114781, 51.674233, 265.434609
Type03, L, 270, 59.030054, 270.729870, 54.353203, 270.540497, 44.767787, 269.501659, 32.451377, 259.150291, 27.215270, 245.741465, 23.770610, 231.601122, 21.596064, 217.722603, 19.433677, 203.815086, 17.665251, 190.149919, 14.842090, 175.524815, 12.013950, 162.117498, 9.406033, 148.192605, 6.481916, 134.766788, 3.905308, 121.573034, 1.768052, 108.299963, 0.666243, 93.796730, 0.000000, 80.668629, 0.561184, 67.251746, 3.537298, 52.758116, 8.000027, 39.584783, 14.634825, 26.317954, 21.755158, 13.597805, 33.749882, 3.038372, 46.909808, 0.000000, 61.452114, 1.884359, 73.026705, 12.187482, 78.313345, 25.803222, 82.977985, 39.060849, 85.823142, 53.166671, 87.598390, 66.324149, 87.958784, 80.426834, 87.748090, 92.632019, 86.819001, 106.830483, 85.900707, 121.333188, 85.237860, 134.660567, 84.769835, 149.682289, 84.726423, 160.904301, 85.060253, 174.501473, 85.972374, 188.758601, 86.983175, 202.892010, 87.711376, 216.745463, 88.004451, 230.417682, 87.616104, 242.916468, 85.001638, 258.050603, 73.403110, 268.361856, 63.994529, 270.203315, 59.439984, 271.068375
Type03, L, 275, 58.239804, 275.983343, 53.401645, 275.624630, 43.747121, 274.334312, 31.664710, 263.598233, 26.678573, 250.370885, 23.158129, 235.914247, 20.714369, 220.666355, 19.079843, 207.577102, 17.141903, 193.007321, 14.602608, 178.904969, 11.669007, 164.786944, 8.609107, 149.843139, 5.970338, 137.700414, 3.292622, 123.488730, 1.421290, 109.707277, 0.182687, 96.622473, 0.000000, 81.949636, 1.075015, 67.883451, 3.514115, 54.532222, 7.517763, 40.591980, 12.740165, 27.552368, 19.653178, 14.380029, 31.170289, 3.450546, 45.108543, 0.000000, 58.753216, 2.392215, 71.518755, 12.511648, 77.638285, 25.623736, 82.101500, 39.530273, 85.492846, 53.895707, 87.465543, 66.404609, 89.078264, 80.261462, 89.163903, 94.770992, 88.620832, 109.118083, 86.948556, 122.617319, 84.932198, 136.426189, 83.623460, 151.132607, 83.711870, 165.083443, 85.080492, 178.788905, 86.486926, 193.867850, 87.258174, 207.462717, 88.096525, 221.910050, 89.401893, 236.005689, 88.695053, 249.740859, 84.131274, 263.225100, 72.442065, 274.034970, 62.491728, 275.489910, 58.967276, 276.062550
Type03, L, 280, 65.941604, 280.278045, 70.577407, 279.640414, 80.338014, 275.176581, 88.468871, 261.546043, 90.696905, 247.422060, 90.073284, 233.489785, 89.333800, 218.830117, 88.947741, 204.834268, 87.993017, 190.425712, 86.740457, 175.739994, 86.028501, 161.482323, 85.800192, 146.808945, 87.060724, 132.425114, 89.177301, 118.069975, 90.388610, 104.480787, 90.407137, 89.669612, 89.514163, 75.570606, 87.651611, 60.394521, 85.253199, 46.543459, 82.181270, 31.875721, 77.783806, 18.108743, 67.237361, 5.727971, 53.039835, 0.000000, 38.933598, 1.376814, 25.273488, 9.160280, 16.138795, 22.179060, 9.891728, 35.622629, 5.189037, 49.509545, 2.003078, 63.942568, 0.402826, 77.067870, 0.000000, 91.458312, 0.867506, 105.962383, 2.596797, 119.995481, 5.455731, 136.469888, 8.405196, 149.754300, 11.378192, 163.115450, 14.749898, 178.276023, 16.958128, 189.922240, 19.683016, 205.458593, 21.070688, 219.671735, 22.353236, 234.023341, 24.714867, 246.935582, 29.019630, 261.663090, 37.797769, 274.555677, 52.204946, 281.393846, 60.890366, 280.789711, 66.206060, 280.999834
Type04, L, 230, 54.820313, 230.622203, 50.850339, 230.472637, 43.177462, 230.316230, 30.911797, 223.350163, 24.760495, 212.058670, 22.423860, 199.760286, 20.620626, 187.886614, 18.807842, 176.102880, 16.574395, 163.881155, 14.352882, 152.248986, 11.811295, 140.102242, 9.215443, 128.640649, 6.771291, 116.697270, 4.091157, 105.125829, 1.710780, 93.468417, 0.213176, 80.808543, 0.000000, 69.666011, 1.542914, 56.911878, 4.372391, 45.339670, 8.560048, 33.598484, 14.006819, 22.124221, 21.443997, 11.718362, 31.643604, 3.138317, 43.846960, 0.000000, 55.313224, 1.141855, 67.508759, 6.518142, 75.734829, 16.728409, 80.014279, 28.536065, 81.802688, 40.458512, 82.096440, 52.668126, 80.977919, 64.605147, 79.703845, 77.067500, 78.462016, 88.378868, 77.547301, 100.591387, 76.989199, 111.965875, 76.313142, 124.498968, 77.400182, 135.836515, 78.983762, 148.251007, 80.059602, 159.478934, 81.053541, 171.481711, 81.638788, 183.762440, 82.081212, 195.302512, 81.089291, 207.204050, 77.341192, 219.472990, 66.905093, 228.308958, 59.079197, 229.710990, 54.882030, 230.822028
Type04, L, 235, 55.896436, 235.424807, 51.857244, 235.435200, 43.674479, 234.844722, 32.385510, 227.430777, 25.931507, 215.667888, 22.223162, 205.009647, 20.026396, 192.723673, 18.458039, 180.641945, 16.828714, 168.980055, 14.433406, 156.814987, 11.952225, 144.744378, 9.290654, 132.600117, 6.663776, 120.505338, 4.229055, 108.701703, 1.952184, 96.277633, 0.456784, 84.343700, 0.000000, 72.031733, 0.912400, 60.219096, 3.309908, 48.132726, 6.942678, 36.473523, 12.112647, 24.614357, 19.077408, 13.730400, 28.986314, 4.413554, 40.994363, 0.000000, 53.357774, 0.414155, 65.204833, 6.501891, 73.561938, 16.797943, 78.275982, 28.405944, 81.097465, 39.984590, 82.219399, 51.931424, 82.712916, 64.432016, 81.840348, 76.333455, 80.552841, 89.016604, 79.043864, 100.918397, 77.669580, 113.842316, 77.123210, 126.045919, 77.456247, 138.374539, 78.475495, 150.880014, 79.747564, 162.454897, 81.185902, 174.886747, 82.343951, 187.220001, 82.664086, 199.873464, 81.378076, 211.778514, 77.708999, 224.128271, 67.420360, 233.563670, 59.713084, 234.867669, 55.921122, 235.612904
Type04, L, 240, 58.675158, 240.492442, 54.216637, 240.504171, 46.169678, 238.080490, 34.397137, 231.351161, 27.681448, 219.304315, 24.391111, 207.109233, 21.811595, 194.082752, 20.194982, 181.943069, 18.033573, 169.833203, 15.423577, 157.475353, 13.313068, 145.735211, 10.651497, 133.628955, 8.123395, 120.582132, 5.703140, 109.156197, 3.394829, 96.200104, 1.140227, 84.598040, 0.000000, 71.890655, 0.693751, 60.106977, 3.853815, 47.705025, 8.221391, 35.759971, 13.496513, 23.927560, 20.182922, 12.479988, 30.948919, 3.991289, 43.410412, 0.422733, 55.622512, 0.000000, 67.431392, 7.380327, 75.654310, 18.256801, 80.275344, 30.185467, 82.971593, 42.672870, 84.121251, 55.362576, 84.309802, 67.309070, 83.908159, 79.506553, 82.380088, 92.018107, 80.822337, 104.259221, 79.320858, 116.753976, 78.827988, 129.079523, 79.282664, 141.014504, 80.616964, 153.735401, 81.792119, 165.843906, 83.060056, 177.704097, 82.736315, 190.004298, 84.377891, 202.803713, 84.370180, 214.254968, 79.539155, 226.126497, 71.432655, 237.098055, 62.809611, 240.099580, 58.814287, 240.474467
Type04, L, 245, 58.568452, 245.514213, 54.046240, 245.320936, 45.881333, 244.472324, 33.599244, 236.269563, 28.018958, 224.686274, 24.802130, 212.267112, 22.960490, 199.858336, 21.362729, 186.978941, 19.353445, 174.686950, 16.846870, 162.091874, 14.025167, 149.687872, 11.140079, 136.960118, 8.021415, 124.791480, 5.372772, 112.445373, 2.533650, 100.221999, 0.604805, 86.962690, 0.000000, 74.605535, 1.508648, 61.766040, 4.206392, 49.760104, 8.291988, 37.249088, 12.976199, 24.982667, 19.180713, 12.961685, 30.535564, 3.993115, 42.502186, 0.000000, 55.349609, 0.707202, 67.224112, 7.732484, 76.203120, 18.449875, 80.169257, 30.778777, 84.119177, 42.838434, 87.019258, 54.989073, 85.609138, 68.051926, 84.800795, 80.795138, 82.129126, 93.563537, 80.737954, 106.104577, 79.820151, 117.895360, 80.011603, 131.604636, 80.662379, 143.730797, 81.657437, 156.260092, 83.095979, 169.746510, 84.304959, 182.382112, 85.557331, 195.362416, 86.201660, 207.763817, 86.135575, 220.238372, 81.568299, 232.835334, 70.719689, 242.704711, 62.704565, 244.400648, 58.616840, 245.727096
Type04, L, 250, 61.583232, 250.546215, 57.548874, 250.537954, 48.629912, 249.176354, 36.773318, 240.406595, 29.472033, 228.542312, 25.890932, 215.313543, 24.434489, 202.315437, 22.739335, 187.964740, 20.386537, 175.767037, 17.448588, 162.471529, 14.299683, 150.316218, 10.952236, 137.599038, 7.742627, 125.270892, 4.617642, 112.317834, 2.148704, 99.881902, 0.333526, 86.409941, 0.000000, 73.103718, 1.901118, 60.427732, 5.265996, 47.541193, 9.784094, 35.109012, 15.153310, 22.666188, 22.836062, 10.791362, 34.925204, 3.055513, 47.074435, 0.000000, 60.139105, 1.103134, 72.185168, 9.201523, 80.226854, 20.142969, 85.559950, 32.723630, 88.883885, 45.721270, 89.803459, 57.975734, 89.830817, 71.568122, 88.455969, 83.879066, 86.783921, 96.573299, 84.857656, 109.694429, 83.722570, 122.192512, 83.078522, 135.989299, 83.658772, 148.388849, 85.420293, 161.989525, 87.028947, 175.186799, 87.792379, 187.258948, 88.969831, 198.924952, 90.132528, 213.374557, 89.250455, 225.180108, 85.453278, 238.444642, 74.401450, 248.451753, 65.596915, 249.845200, 61.700890, 250.788375
Type04, L, 260, 58.775754, 260.588134, 54.451334, 260.075098, 45.174298, 258.466996, 33.693405, 248.493731, 28.591339, 235.507530, 25.743774, 222.239585, 23.631201, 209.176443, 21.749484, 195.796698, 19.493648, 182.347309, 16.870531, 169.146290, 14.018940, 156.029434, 10.825244, 142.872012, 7.815354, 129.764724, 4.930584, 116.400079, 2.013903, 103.129850, 0.348899, 90.225798, 0.000000, 76.617249, 2.052893, 63.521646, 5.229010, 50.572680, 9.903280, 37.162600, 14.836276, 24.661586, 22.565278, 11.947471, 34.254400, 3.209604, 47.471693, 0.000000, 60.505680, 1.168166, 73.140655, 9.761475, 80.041375, 22.272967, 85.262908, 34.776686, 88.323039, 48.233529, 89.748920, 60.870895, 89.282473, 74.681753, 87.485075, 87.758137, 85.367820, 100.824016, 83.541884, 113.948041, 82.293599, 127.447668, 82.283904, 140.594593, 82.971558, 154.542303, 84.261665, 168.226974, 85.735856, 181.742375, 87.443597, 194.850169, 88.862159, 208.534867, 89.822299, 222.637452, 88.816843, 235.942617, 83.550248, 248.967400, 72.032749, 259.337952, 62.911390, 260.204987, 59.279433, 260.543026
Type04, L, 265, 59.791723, 265.680772, 55.307207, 265.376627, 46.525594, 264.659179, 33.874959, 255.466448, 28.243914, 242.055401, 25.116925, 228.844021, 22.775008, 214.483935, 21.421198, 201.342689, 19.361242, 187.165318, 16.833987, 173.445527, 14.097538, 160.334674, 11.130493, 146.611058, 8.121484, 133.224034, 5.264429, 120.166567, 2.689638, 106.372604, 0.551699, 93.016509, 0.000000, 79.734445, 1.546726, 65.598121, 4.692131, 52.714510, 8.936358, 39.269194, 14.073523, 26.271983, 20.774590, 13.248155, 32.583082, 3.484273, 45.970912, 0.000000, 59.873738, 1.281571, 72.787403, 9.616196, 80.444430, 22.427652, 84.958103, 35.510929, 87.922945, 49.270513, 90.285185, 61.955284, 90.257274, 75.606573, 88.745721, 89.273500, 87.091578, 102.260717, 85.650842, 115.831573, 84.471901, 129.627057, 84.167627, 143.151750, 84.424715, 156.814037, 85.586407, 169.814837, 87.151004, 183.799474, 88.668629, 197.253130, 89.952817, 210.937620, 90.394267, 225.067924, 88.989649, 238.802240, 85.074201, 252.854489, 73.977013, 263.904192, 64.408977, 264.942328, 60.021597, 265.900976
Type04, L, 270, 62.587487, 270.685599, 57.492874, 270.705132, 48.423268, 269.647163, 35.456020, 260.405634, 29.260344, 247.083358, 26.401271, 233.978480, 24.094895, 219.654899, 21.822191, 206.123717, 19.502942, 191.995103, 17.054322, 178.646588, 14.149001, 164.475451, 11.264081, 151.046913, 8.291620, 137.128238, 5.281105, 123.261220, 2.147686, 109.056777, 0.000000, 95.306350, 0.213142, 81.828856, 2.729474, 67.938078, 4.900566, 54.387583, 8.414579, 40.244889, 14.038597, 27.078876, 22.443861, 14.486720, 34.126241, 4.257966, 47.888994, 0.000000, 61.764773, 0.910386, 75.250366, 9.174246, 81.979981, 22.114303, 87.347810, 34.951353, 90.459244, 49.156233, 91.692096, 62.708983, 90.918404, 76.693007, 88.937501, 90.698371, 86.910474, 104.293499, 85.458588, 118.287621, 84.581467, 130.978369, 84.132320, 145.303149, 84.735862, 159.013660, 86.001637, 172.990592, 87.886001, 186.633551, 89.680902, 200.037009, 91.067560, 214.387204, 91.672838, 228.288377, 90.378285, 241.411964, 86.816287, 255.396841, 77.041962, 267.772681, 66.740276, 270.088802, 63.015155, 270.535145
Type04, L, 280, 64.232111, 280.384367, 59.257335, 280.056220, 49.284075, 279.385514, 36.339131, 269.873899, 29.792501, 255.932811, 26.273318, 241.974062, 23.531886, 227.061567, 21.824518, 212.892279, 19.571100, 198.492003, 16.938044, 184.259661, 13.814652, 169.732415, 10.999646, 156.484508, 7.899542, 141.937851, 5.280142, 128.550750, 2.673600, 114.437484, 0.704175, 99.449553, 0.000000, 85.104266, 1.440738, 70.086448, 4.620960, 56.713012, 9.389665, 41.993212, 14.596686, 28.742785, 21.729767, 14.900188, 33.973049, 4.170368, 47.956098, 0.000000, 62.625580, 0.159954, 76.305639, 9.059920, 84.317764, 22.350671, 89.995835, 36.116103, 93.072219, 50.018515, 94.118297, 63.828514, 93.918867, 78.607049, 92.702782, 93.055543, 91.008015, 106.449430, 89.493441, 121.419853, 87.933862, 135.362473, 87.334591, 149.778584, 87.379963, 163.833912, 88.623478, 178.563748, 90.200253, 193.032121, 91.763622, 207.231360, 93.419859, 221.048259, 94.303151, 236.173016, 93.284511, 250.992479, 90.216936, 264.872636, 79.340502, 277.149905, 69.301048, 279.533060, 64.400680, 280.382199
Type05, L, 240, 55.162358, 240.410186, 51.111633, 240.343283, 42.583512, 238.945075, 31.763417, 230.202387, 26.633977, 218.413548, 23.660811, 206.233859, 21.497043, 193.690745, 20.071433, 181.242915, 19.126846, 168.052787, 17.545181, 155.321934, 15.230026, 143.365254, 11.311415, 131.310132, 6.986561, 119.853952, 2.769120, 107.961892, 0.553841, 95.941404, 0.000000, 82.590551, 1.243167, 70.771079, 3.959899, 58.161101, 7.510695, 46.192887, 12.361285, 34.181669, 17.971833, 22.479887, 25.870694, 11.621116, 36.465243, 3.280261, 48.595848, 0.000000, 62.093685, 0.815972, 71.563873, 10.939582, 75.048813, 23.076954, 79.649893, 34.825861, 82.658948, 46.582066, 83.914243, 58.278448, 82.620016, 70.727382, 80.037618, 82.994449, 76.318669, 95.014411, 72.992013, 107.457911, 70.529262, 119.313484, 70.683991, 132.152849, 71.901502, 143.655204, 74.146355, 156.202877, 76.849736, 167.839856, 79.864451, 180.121183, 82.561332, 192.219065, 83.912647, 204.307134, 82.394760, 216.625037, 77.940270, 229.076543, 67.515692, 238.266288, 59.004939, 239.908911, 55.593738, 240.621330
Type05, L, 260, 58.042003, 260.803977, 54.151967, 260.352845, 45.004400, 258.530040, 34.827079, 247.284704, 30.510225, 234.307312, 27.215132, 221.991320, 24.976811, 208.030571, 23.587140, 194.401233, 22.201819, 181.386554, 20.667393, 168.225139, 17.630622, 154.786945, 13.575783, 141.426481, 9.306895, 128.898362, 5.046685, 115.903085, 1.718407, 103.295171, 0.000000, 88.803019, 0.384040, 76.327716, 2.600791, 63.477377, 5.913368, 50.316508, 10.655866, 37.503440, 16.431652, 24.765730, 22.863806, 12.011573, 34.509759, 2.949458, 47.548024, 0.000000, 60.399208, 1.896377, 72.338604, 12.060313, 77.055797, 24.677982, 81.432282, 38.038278, 84.879251, 50.853109, 86.999224, 64.564340, 87.307637, 78.165821, 85.353255, 91.914520, 82.620436, 104.371910, 79.189421, 117.628942, 76.462870, 130.485467, 74.868382, 143.058415, 75.556389, 156.556479, 77.432660, 170.776585, 80.309326, 183.104981, 83.076067, 196.456572, 85.836103, 209.120778, 87.460401, 222.207181, 86.806165, 235.010345, 82.679414, 248.291220, 72.147720, 258.997005, 62.603014, 260.249987, 58.102196, 261.004573
Type05, L, 280, 63.867110, 280.549154, 68.616219, 280.041579, 78.386584, 277.321765, 89.311436, 264.729987, 92.898707, 250.606784, 92.181109, 236.577991, 90.094201, 222.195859, 87.523984, 208.346459, 84.532067, 194.068797, 81.640498, 180.366414, 79.457668, 166.358600, 78.793658, 151.510134, 80.406800, 137.467906, 83.252973, 123.077530, 87.409716, 109.415861, 90.961014, 95.216731, 92.916719, 81.367973, 91.760874, 66.291453, 89.261723, 51.902321, 85.134966, 38.398873, 82.256294, 24.502225, 76.261645, 10.587707, 63.189160, 0.378095, 48.664715, 0.000000, 33.992086, 4.430840, 22.931825, 16.264944, 15.546393, 29.532851, 9.974366, 43.411384, 5.152148, 57.424545, 2.005385, 71.438227, 0.062069, 85.923361, 0.000000, 100.505572, 1.999283, 114.686578, 5.618471, 128.850783, 9.872763, 141.629865, 14.640692, 156.280511, 18.423450, 169.963574, 21.202111, 184.661330, 23.675904, 198.893110, 24.980412, 213.272818, 26.605653, 226.328338, 28.342078, 240.012728, 31.644282, 253.948770, 37.436119, 267.804537, 49.526324, 278.944385, 59.443095, 280.416803, 63.742149, 280.603123
Type05, L, 290, 67.698929, 290.740199, 63.277214, 290.835952, 53.185167, 289.701501, 40.360610, 278.291401, 34.053795, 264.434393, 30.171588, 249.519961, 27.345911, 235.489579, 25.232313, 220.221413, 23.596868, 205.591126, 21.798201, 190.614014, 19.112735, 175.746769, 15.102586, 161.689939, 10.394452, 146.691355, 5.517069, 132.243525, 1.854010, 117.364164, 0.000000, 103.283730, 0.044424, 88.380975, 2.180968, 72.823767, 5.551683, 58.795417, 10.289366, 44.476971, 15.931901, 30.063384, 23.504049, 16.393068, 35.383196, 4.930087, 50.354095, 0.000000, 64.431241, 1.487024, 78.704202, 11.041285, 85.564518, 25.266762, 89.929175, 39.416474, 93.177894, 53.680690, 96.190756, 69.020948, 97.539747, 83.083572, 96.173827, 98.268103, 92.288567, 112.372714, 87.959393, 126.909456, 84.452157, 141.408457, 82.462185, 155.639222, 82.771970, 173.290939, 85.269919, 187.011161, 88.230184, 202.184536, 91.690616, 216.347107, 94.838899, 230.882911, 97.204463, 245.944509, 97.131338, 261.113456, 94.449558, 275.130374, 82.626512, 288.099036, 72.387296, 289.711234, 67.599529, 291.178223
Type06, L, 230, 51.876580, 230.904509, 48.143644, 230.373591, 40.010614, 228.539566, 29.993072, 219.531841, 24.741912, 208.521298, 21.842306, 196.940474, 20.244100, 185.319298, 19.041459, 173.059563, 16.992186, 161.781579, 14.812615, 150.551430, 11.566112, 137.856043, 8.928328, 127.115135, 5.941594, 115.099680, 3.341780, 103.511475, 1.317112, 91.962925, 0.000000, 79.825424, 0.275514, 67.895712, 1.767548, 56.004865, 4.542531, 44.428772, 8.381697, 32.458717, 13.296488, 21.295914, 20.621482, 10.394450, 31.074673, 2.621882, 42.977076, 0.000000, 55.217929, 2.944185, 65.212353, 11.127220, 71.068652, 22.161242, 74.879440, 33.498484, 77.790319, 44.664911, 79.732461, 56.181411, 80.188137, 68.484598, 79.753815, 80.188380, 78.738658, 91.293334, 77.292035, 103.315135, 75.817971, 115.379028, 74.958835, 126.603973, 74.576312, 139.002091, 75.366525, 150.890216, 76.789819, 162.642020, 78.470778, 174.648388, 79.612995, 185.812941, 80.263707, 197.785511, 79.457366, 209.591379, 74.808542, 221.590358, 63.670186, 229.289119, 56.004963, 230.762584, 51.589403, 230.634719
Type06, L, 240, 54.137255, 240.272346, 49.827063, 239.734765, 41.534828, 238.213011, 31.028417, 228.881120, 26.232395, 217.520404, 22.873966, 205.013462, 20.535136, 193.222493, 18.631896, 181.562786, 16.587253, 168.603112, 14.476349, 157.208977, 11.743325, 144.283579, 9.364342, 133.654675, 5.953880, 121.799613, 3.152415, 109.359489, 0.744210, 97.013593, 0.000000, 85.102769, 0.186206, 73.017273, 1.620339, 61.891778, 4.044211, 49.712254, 7.678400, 37.762358, 12.357543, 25.991470, 18.344332, 14.464155, 28.191333, 4.609513, 39.932593, 0.081282, 52.658314, 0.000000, 64.370803, 7.448449, 71.458431, 18.548200, 76.381627, 30.606802, 79.339651, 41.987858, 81.036368, 54.442636, 81.636444, 66.919944, 81.246329, 79.157289, 80.196851, 91.562175, 78.668764, 103.844235, 76.991884, 117.174514, 76.045363, 128.727574, 75.874673, 141.814826, 76.675081, 154.238927, 77.938923, 166.433742, 79.497683, 179.018490, 80.950369, 191.666578, 81.976746, 204.228899, 80.572040, 216.068129, 76.081227, 228.621130, 66.217459, 238.192141, 57.799284, 239.742432, 54.558508, 240.326877
Type06, L, 250, 55.072561, 250.752791, 51.091086, 250.535042, 42.211135, 248.764144, 31.838297, 239.001674, 25.567335, 227.052165, 21.661631, 214.863143, 19.746703, 201.867154, 18.388608, 189.331623, 16.409844, 176.099976, 14.013527, 163.521673, 11.200754, 150.298467, 8.422936, 138.232291, 5.550404, 126.274789, 2.934715, 113.327626, 0.952856, 100.198161, 0.029810, 88.004315, 0.000000, 75.440935, 1.412752, 62.390091, 3.992673, 49.803096, 8.177777, 37.391794, 13.631643, 25.195370, 20.936236, 13.592925, 31.283266, 3.525471, 44.277024, 0.000000, 57.052624, 1.763655, 68.388079, 11.083268, 74.185763, 23.013479, 79.064259, 35.226665, 81.814209, 47.992249, 83.650484, 61.246803, 84.661603, 73.820532, 84.721531, 86.189103, 83.249392, 99.220506, 81.108052, 111.774253, 79.987759, 124.805395, 79.479080, 136.663600, 79.715165, 150.695742, 80.278638, 163.069772, 81.463731, 175.840153, 82.423152, 188.717222, 84.073551, 201.593089, 84.920946, 215.075658, 83.870118, 226.855522, 79.311910, 239.771067, 67.972271, 248.942922, 59.333542, 250.318447, 55.069904, 250.821747
Type06, L, 270, 61.098973, 270.626935, 56.788655, 270.587896, 47.273123, 269.548063, 34.748734, 259.985555, 28.539452, 247.057397, 25.582928, 233.858797, 23.084744, 220.691513, 21.183155, 206.231446, 19.371495, 193.126128, 17.209923, 179.235366, 14.832363, 165.512417, 11.289538, 151.848765, 7.617138, 138.223319, 4.239628, 124.755596, 1.349228, 111.330659, 0.000000, 96.579248, 0.329016, 83.022842, 1.983386, 69.153567, 4.822510, 55.574983, 8.883396, 42.330859, 13.884238, 28.889641, 20.622559, 15.852577, 31.870100, 4.960738, 45.585851, 0.000000, 59.603545, 0.892065, 71.822270, 10.459116, 79.269980, 23.061148, 84.380491, 36.635126, 87.559323, 49.782989, 89.194142, 64.426161, 89.681161, 79.052590, 88.954506, 92.722311, 87.457482, 106.529874, 85.774668, 120.025941, 84.109986, 133.267658, 82.875240, 147.197491, 82.709174, 160.309586, 83.620977, 174.814243, 85.169152, 188.463831, 86.856589, 201.943062, 88.536348, 215.817451, 89.685632, 228.232498, 89.182263, 242.773832, 85.199443, 255.419534, 75.046771, 268.198925, 65.200105, 269.402629, 61.681133, 271.151851
