Model,Cluster_ID,RMSE,MAE,Hausdorff_max,Chamfer_mean,Length_Error,Width_Error,Size_Error,Area_Error,IoU,Dice,EMD
PCA_KRR,1,13.75169,12.73385,3.79725,1.16094,7.33645,1.01382,0.54789,444.14743,0.95260,0.97570,0.00000
PCA_KRR,2,13.56582,12.59723,3.43566,0.90463,7.82711,1.62798,0.46947,404.85355,0.96258,0.98092,0.00000
PCA_KRR,3,13.40027,12.37078,3.45077,0.85380,9.73024,1.57099,0.83725,410.61926,0.96424,0.98179,0.00000
PCA_KRR,4,14.06841,13.08924,3.67637,0.68521,8.01622,1.42532,0.20396,420.19397,0.97444,0.98706,0.00000
PCA_LINEAR,1,14.12774,13.12093,6.41957,1.89998,5.97039,0.87774,0.58890,664.11470,0.92559,0.96126,0.00000
PCA_LINEAR,2,13.56992,12.65695,7.72800,2.35377,19.65446,2.08655,5.63443,824.69163,0.91374,0.95478,0.00000
PCA_LINEAR,3,10.92958,9.85981,11.40704,2.81089,40.61387,2.84676,11.40704,1117.52300,0.89994,0.94730,0.00000
PCA_LINEAR,4,24.75261,24.47173,20.98393,5.33139,53.49702,3.44745,20.98393,1754.24892,0.84284,0.91468,0.00000
PCA_SVR,1,13.77974,12.76404,3.79972,1.12410,7.10775,0.96719,1.07157,427.32772,0.95380,0.97631,0.00000
PCA_SVR,2,13.61552,12.66611,3.47540,0.85357,7.32867,1.45685,1.07951,385.52971,0.96505,0.98220,0.00000
PCA_SVR,3,12.93659,11.92059,4.72423,1.21138,12.90179,1.51917,1.69834,526.33511,0.95210,0.97537,0.00000
PCA_SVR,4,14.30330,13.37856,3.64955,0.75027,6.35739,1.30429,1.53480,363.20709,0.96717,0.98331,0.00000
PURE_GPR,1,13.71965,12.69145,3.82215,1.22293,7.61567,1.01026,0.50620,455.06459,0.94945,0.97403,0.00000
PURE_GPR,2,13.61312,12.64643,3.55317,0.98970,7.88601,1.62215,0.43436,406.45937,0.95962,0.97937,0.00000
PURE_GPR,3,13.31888,12.28564,3.45106,0.87599,9.78328,1.59042,0.55555,415.13168,0.96400,0.98167,0.00000
PURE_GPR,4,14.06266,13.08196,3.68313,0.66657,8.02254,1.42630,0.10412,420.75356,0.97444,0.98706,0.00000
PURE_KRR,1,13.68637,12.66175,3.80689,1.17200,7.48912,1.00475,0.61174,451.23464,0.95071,0.97469,0.00000
PURE_KRR,2,13.56061,12.59357,3.43164,0.89046,7.82137,1.62528,0.41165,404.18080,0.96317,0.98123,0.00000
PURE_KRR,3,13.41797,12.38374,3.46508,0.83244,9.72458,1.56204,0.71191,408.54493,0.96491,0.98214,0.00000
PURE_KRR,4,14.06533,13.08585,3.67985,0.67415,8.00564,1.42531,0.17670,420.63368,0.97467,0.98717,0.00000
PURE_SVR,1,13.78611,12.71156,3.88704,1.18204,7.85217,0.99449,0.64573,471.42397,0.95068,0.97464,0.00000
PURE_SVR,2,13.53813,12.57478,3.53067,0.90105,7.78216,1.57679,0.40808,430.87412,0.96244,0.98084,0.00000
PURE_SVR,3,13.42228,12.43341,3.52448,0.80811,8.70640,1.56533,0.51084,386.64621,0.96633,0.98288,0.00000
PURE_SVR,4,14.07132,13.09337,3.68583,0.67360,7.86858,1.42358,0.08908,409.74445,0.97439,0.98703,0.00000
RATIO_CTRL,1,3.54774,3.25951,4.48048,1.67222,3.00399,3.04379,0.59662,548.83072,0.94165,0.96987,0.00000
RATIO_CTRL,2,2.91707,2.59175,4.79492,1.76022,3.92614,2.98986,0.51374,675.59457,0.94061,0.96917,0.00000
RATIO_CTRL,3,4.24172,3.54002,6.99215,2.92288,6.53823,5.74111,1.24309,1319.11398,0.90278,0.94890,0.00000
RATIO_CTRL,4,1.63642,1.48972,2.64336,0.90523,1.61695,1.50171,0.20677,409.59070,0.97097,0.98512,0.00000
