type, side, size, x1, y1, x2, y2, x3, y3, x4, y4, x5, y5, x6, y6, x7, y7, x8, y8, x9, y9, x10, y10, x11, y11, x12, y12, x13, y13, x14, y14, x15, y15, x16, y16, x17, y17, x18, y18, x19, y19, x20, y20, x21, y21, x22, y22, x23, y23
Type01, L, 280, 59.027885, 286.818268, 48.001924, 288.792417, 26.453827, 274.709929, 22.249528, 241.300161, 17.359498, 210.600223, 12.283298, 178.713178, 5.729380, 147.934660, 0.127778, 116.726302, 0.000000, 84.765210, 7.791500, 55.348578, 19.422309, 25.319107, 48.370022, 0.000000, 82.259660, 17.797373, 88.003910, 51.113875, 91.827330, 81.004345, 87.692837, 112.897091, 85.844148, 144.140216, 89.842159, 176.183532, 90.709441, 205.978787, 88.494549, 239.308731, 89.641668, 269.248493, 70.275604, 288.364044, 58.796985, 285.922110
Type01, L, 290, 60.660192, 297.061275, 49.793869, 299.255189, 27.005192, 283.703629, 24.379565, 250.098814, 17.905763, 218.445650, 15.133088, 185.915646, 7.863827, 154.090223, 1.165061, 120.938510, 0.000000, 88.201082, 8.259050, 55.577022, 21.362064, 25.128696, 50.988675, 0.000000, 85.099687, 18.768219, 91.198621, 52.855706, 96.314531, 85.092354, 91.139489, 117.118501, 92.697971, 150.007310, 93.576502, 182.551337, 95.389402, 215.185008, 93.159026, 246.593854, 90.999788, 279.828960, 73.318825, 298.451801, 59.768931, 296.397158
Type02, L, 230, 63.268458, 233.634932, 54.374002, 234.685675, 36.226293, 223.541998, 30.706384, 196.222155, 25.045819, 171.009953, 18.927094, 144.545882, 9.461168, 119.807319, 0.649798, 93.881163, 0.000000, 67.250481, 5.334201, 41.683068, 18.182815, 16.055758, 43.054343, 0.000000, 71.885284, 8.895097, 81.339763, 37.012946, 86.900284, 61.830609, 86.446216, 88.668639, 72.596083, 113.979633, 71.242554, 141.390533, 79.939987, 167.546563, 86.431780, 191.734428, 88.711867, 219.368692, 72.433240, 235.112845, 62.786780, 233.195173
Type02, L, 250, 66.357518, 255.324361, 77.780374, 256.319027, 92.428450, 238.964715, 88.621277, 210.349172, 79.319019, 183.533596, 72.111608, 155.817011, 72.215820, 126.995456, 88.838261, 99.966780, 90.493582, 70.994660, 84.235812, 44.406064, 78.227722, 13.369629, 46.320010, 0.000000, 19.996328, 20.947491, 7.244492, 47.969302, 0.000000, 76.199785, 4.603058, 103.350945, 12.279841, 130.061286, 21.224290, 158.989232, 28.651472, 186.166672, 33.768246, 215.358078, 38.266588, 242.563776, 56.386101, 258.507190, 67.187185, 254.290744
Type02, L, 260, 66.611660, 265.458214, 56.999958, 266.398713, 37.926049, 251.688333, 31.883504, 221.401564, 27.715489, 192.640957, 20.149792, 164.303963, 9.884728, 134.696013, 0.845030, 105.874933, 0.000000, 76.260042, 5.940570, 47.727837, 20.229768, 19.713169, 47.919381, 0.000000, 79.790298, 14.233035, 86.255277, 45.587230, 93.887015, 73.516578, 91.143279, 103.333213, 75.660127, 130.282572, 76.325451, 161.084830, 81.692305, 189.479000, 91.393473, 218.415368, 95.382357, 248.938122, 76.818595, 266.271137, 66.176338, 264.831738
Type02, L, 270, 69.568006, 276.214917, 58.764622, 277.566816, 38.139153, 262.733298, 34.126493, 231.210919, 26.720528, 201.025209, 19.229343, 170.955412, 10.974720, 141.586611, 1.930192, 112.465665, 0.000000, 81.283230, 7.601187, 51.019990, 22.998312, 22.325131, 51.211884, 0.000000, 84.861664, 16.184665, 90.186271, 48.894502, 97.978278, 77.795463, 94.206761, 109.866547, 76.861683, 138.133053, 80.030652, 169.650389, 86.266127, 199.533381, 95.805421, 227.917793, 99.300440, 260.406197, 79.928574, 277.550449, 68.932045, 275.492998
Type03, L, 230, 51.068863, 234.763178, 42.345182, 235.928174, 25.098884, 223.749875, 19.582161, 197.081544, 16.291280, 171.185997, 11.081331, 144.385718, 5.221831, 119.573420, 0.972068, 94.149267, 0.000000, 68.695125, 5.215208, 43.211838, 16.949371, 17.925687, 40.971274, 0.000000, 68.213610, 12.091188, 77.207486, 40.019866, 79.297714, 65.836885, 78.787890, 92.156198, 72.685591, 117.711924, 71.821185, 144.426481, 76.884400, 169.481641, 79.085493, 196.366684, 79.279889, 223.738087, 58.562509, 235.560768, 51.656902, 234.504086
Type03, L, 235, 53.734063, 239.829274, 45.072276, 241.443621, 26.307151, 231.545427, 19.210127, 204.282122, 16.707615, 178.113134, 12.346413, 151.332294, 5.876188, 125.539812, 0.811974, 98.932834, 0.000000, 72.225520, 4.307935, 45.264837, 15.341575, 20.428289, 38.622227, 0.000000, 67.406830, 12.236723, 77.593184, 39.572769, 80.246285, 65.252712, 79.930026, 92.709622, 76.091653, 118.940746, 75.061520, 146.496856, 76.778150, 174.178467, 80.123473, 199.164218, 80.323079, 226.321005, 63.036682, 240.643824, 53.604029, 239.672625
Type03, L, 245, 54.404808, 250.756592, 44.498113, 251.660948, 26.429217, 240.135895, 20.137738, 210.894800, 17.009842, 183.019194, 11.538446, 155.909381, 5.248571, 126.978057, 1.071456, 99.764433, 0.000000, 71.090504, 6.952363, 44.456688, 17.866793, 17.486570, 44.548096, 0.000000, 73.233754, 17.150781, 80.225777, 46.137827, 83.580657, 72.756934, 83.610902, 100.965997, 76.757030, 127.255688, 77.123156, 155.887917, 81.010478, 182.382094, 84.167057, 209.875119, 82.846869, 238.312385, 63.956323, 252.495602, 54.213075, 249.870702
Type03, L, 250, 53.481195, 255.952350, 43.858350, 257.146816, 24.408935, 244.215714, 20.304657, 215.432091, 15.963868, 187.416140, 11.360752, 157.866701, 6.255918, 130.369582, 2.119577, 101.431905, 0.000000, 73.542233, 5.466703, 45.592208, 18.858068, 17.545479, 45.955623, 0.000000, 74.465525, 18.917787, 81.517188, 47.957470, 85.369879, 76.256650, 83.298833, 103.087783, 79.396335, 131.931211, 80.682664, 158.614449, 80.898792, 186.737122, 82.908547, 214.866468, 82.983566, 242.899185, 62.801802, 257.964926, 53.745623, 255.075359
