Type,Cluster_ID,size,Model,RMSE,MAE,Hausdorff_max,Chamfer_mean,Length_Error,Width_Error,Size_Error,Area_Error,IoU,Dice,EMD
Type00,2,240,PCA_KRR,6.60133,6.13138,1.28498,0.41334,0.10108,0.35690,0.79847,23.99696,0.98208,0.99096,0.00000
Type00,2,240,PCA_LINEAR,5.77683,5.02134,10.22010,2.38512,34.23760,2.81378,10.04728,1147.03079,0.91105,0.95345,0.00000
Type00,2,240,PCA_SVR,6.63103,6.26062,1.34618,0.38741,2.18725,0.09254,1.34618,46.50635,0.97862,0.98919,0.00000
Type00,2,240,PURE_GPR,6.30300,5.84751,1.35210,0.36756,0.96614,0.56432,0.48815,48.36380,0.98001,0.98991,0.00000
Type00,2,240,PURE_KRR,6.53420,6.06876,1.23649,0.39884,0.15382,0.34343,0.71196,19.00408,0.98293,0.99139,0.00000
Type00,2,240,PURE_SVR,6.24158,5.79045,0.70037,0.23340,0.02759,0.36298,0.61801,78.48758,0.98735,0.99364,0.00000
Type00,2,240,RATIO_CTRL,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,1.00000,0.00000
Type00,2,245,PCA_KRR,5.84935,5.34801,1.48885,0.68285,3.91165,0.61083,0.57627,390.70393,0.97022,0.98488,0.00000
Type00,2,245,PCA_LINEAR,6.18630,5.33700,10.33619,2.60368,34.66809,2.46808,10.27378,1324.01837,0.90278,0.94890,0.00000
Type00,2,245,PCA_SVR,5.69546,5.21540,1.32108,0.43559,5.95025,0.69329,1.18055,310.34399,0.97958,0.98969,0.00000
Type00,2,245,PURE_GPR,5.96646,5.49429,1.58335,0.66611,2.70426,0.44799,0.34145,370.75861,0.97193,0.98576,0.00000
Type00,2,245,PURE_KRR,5.85297,5.36656,1.43611,0.65228,3.75508,0.62041,0.51821,380.06212,0.97192,0.98576,0.00000
Type00,2,245,PURE_SVR,6.00135,5.52457,2.52801,0.92785,2.94760,0.64110,0.13125,506.62770,0.96337,0.98135,0.00000
Type00,2,245,RATIO_CTRL,2.34941,2.19706,2.90357,0.98640,0.33016,0.93407,0.15484,29.12273,0.96392,0.98163,0.00000
Type00,2,255,PCA_KRR,6.68913,5.99083,1.55770,0.62993,3.23501,0.00307,0.35719,66.29767,0.97033,0.98494,0.00000
Type00,2,255,PCA_LINEAR,6.09914,5.40478,10.52961,2.84799,35.04011,1.60612,10.35460,708.57090,0.89862,0.94661,0.00000
Type00,2,255,PCA_SVR,6.42679,5.81457,0.89825,0.28962,3.92867,0.43118,0.59540,175.28793,0.98373,0.99180,0.00000
Type00,2,255,PURE_GPR,6.86253,6.24093,2.10717,0.74560,2.23574,0.25894,0.05625,159.18616,0.96432,0.98183,0.00000
Type00,2,255,PURE_KRR,6.67774,6.00406,1.48607,0.60073,2.95800,0.00463,0.27982,67.28965,0.97034,0.98495,0.00000
Type00,2,255,PURE_SVR,6.70741,6.14224,0.75472,0.23021,1.62450,0.12066,0.06427,16.61432,0.98870,0.99432,0.00000
Type00,2,255,RATIO_CTRL,3.21948,2.59488,6.73399,2.00146,1.32926,2.90943,0.08570,894.64655,0.93108,0.96431,0.00000
