Model,RMSE,MAE,Hausdorff_max,Chamfer_mean,Length_Error,Width_Error,Size_Error,Area_Error,IoU,Dice,EMD
PCA_KRR,6.94091,6.32246,1.84037,0.62389,2.41414,0.57448,0.45047,230.57472,0.96933,0.98434,0.00000
PCA_LINEAR,8.29817,7.62963,6.89987,2.11837,12.36809,1.50315,3.65251,621.74687,0.91840,0.95722,0.00000
PCA_SVR,6.97816,6.40370,2.40137,0.66105,4.73873,0.50607,1.22989,259.61555,0.96895,0.98413,0.00000
PURE_GPR,6.88349,6.25239,1.92481,0.67200,2.28960,0.61632,0.30291,241.13214,0.96786,0.98359,0.00000
PURE_KRR,6.88074,6.25639,1.76778,0.61022,2.24609,0.53218,0.37257,241.53792,0.96946,0.98440,0.00000
PURE_SVR,6.98797,6.35850,1.84400,0.58121,2.44211,0.54928,0.25476,258.70507,0.97120,0.98526,0.00000
RATIO_CTRL,3.20327,2.86824,4.73515,1.73722,4.33327,3.14258,0.19980,704.75368,0.94099,0.96939,0.00000
