Type,size,GPR_RMSE,GPR_Hausdorff_max,GPR_Chamfer_mean,GPR_Length_Error,KRR_RMSE,KRR_Hausdorff_max,KRR_Chamfer_mean,KRR_Length_Error,PCA_RMSE,PCA_Hausdorff_max,PCA_Chamfer_mean,PCA_Length_Error,RATIO_CTRL_RMSE,RATIO_CTRL_Hausdorff_max,RATIO_CTRL_Chamfer_mean,RATIO_CTRL_Length_Error,RATIO_OUTLINE_RMSE,RATIO_OUTLINE_Hausdorff_max,RATIO_OUTLINE_Chamfer_mean,RATIO_OUTLINE_Length_Error,SVR_RMSE,SVR_Hausdorff_max,SVR_Chamfer_mean,SVR_Length_Error
Type00,240,6.80286,1.25037,0.36946,4.68875,7.45427,1.23809,0.22695,2.73850,7.57981,1.44083,0.60106,4.76652,0.00000,0.00000,0.00000,0.00000,13.51494,7.42438,0.47425,21.43582,7.39126,1.26984,0.23099,2.99389
Type00,245,6.21036,2.83977,1.20971,9.52137,7.06086,2.82263,1.10265,7.68672,7.44372,2.89471,1.00850,4.68262,2.30674,3.03381,0.88086,0.68539,14.54394,7.67269,0.80645,21.19701,7.05286,2.84266,1.10115,7.63848
Type00,255,8.20678,6.30154,1.54983,9.01704,8.20696,6.21481,1.54634,8.77461,8.29149,5.00830,1.18473,4.99085,3.10743,6.49298,1.96496,1.54007,15.28520,7.82682,2.03925,21.23548,8.33343,6.32639,1.54239,8.10699
Type00,265,9.54700,7.65795,2.59539,12.22937,9.94603,7.57791,2.53858,9.89415,9.26447,3.26932,1.45005,7.61412,3.57234,4.68213,1.79021,0.03106,14.47068,8.42060,1.71967,23.63765,9.96876,7.65712,2.54468,10.21776
Type00,270,68.40833,7.32375,1.85166,7.69692,68.66652,7.64160,1.79616,4.66726,69.42054,5.89344,1.31509,2.65191,70.07835,7.34168,2.85279,5.53377,72.59470,8.23154,2.79257,18.58152,68.60195,7.40822,1.77014,5.41007
Type00,275,9.15023,9.39611,2.43891,7.76025,10.01859,9.04798,2.41890,4.62647,9.43990,2.66924,1.31884,3.39684,4.10015,4.51193,1.89482,5.31903,17.59595,8.47593,1.71922,19.24284,9.97545,9.11052,2.39972,5.49950
Type01,230,7.09442,3.08837,0.52947,0.09314,7.18601,0.80243,0.24456,1.36374,7.03662,1.03192,0.41402,1.48786,0.00000,0.00000,0.00000,0.00000,12.70881,7.07425,0.47446,20.62988,7.19755,0.80835,0.20033,1.61713
Type01,240,7.49585,4.13678,1.93855,7.70050,7.37138,3.84012,1.77474,6.13106,7.83290,3.78327,1.58600,4.96087,4.23401,3.06331,1.30408,1.74428,11.82356,7.56089,1.44697,23.27111,7.79932,4.07002,1.81822,5.98993
Type01,250,7.05415,5.26929,2.03177,6.90479,7.42322,5.06045,1.91187,3.93804,7.31525,3.85704,1.41852,5.37753,2.16693,3.09710,1.18479,0.47526,12.91218,7.70760,1.34952,22.89903,7.68213,5.19049,1.97840,4.04000
Type01,260,8.87400,8.48685,3.64795,5.42603,9.11737,8.92440,3.71429,4.02610,8.15252,6.80717,2.91310,5.93503,5.14469,6.06640,2.05209,0.74807,12.32024,8.12904,2.14911,22.57266,9.18769,8.96855,3.71143,3.82140
Type01,280,8.97500,7.97770,3.25477,9.49035,9.94350,7.53976,3.09571,2.45588,8.74614,5.78997,2.41923,4.58307,4.07623,8.34382,2.49203,5.46960,14.45497,8.74202,2.51524,19.64503,10.79308,7.72787,3.02296,1.69428
Type02,230,7.97046,3.32109,0.60840,2.98461,7.26259,1.09069,0.40951,3.16311,7.43851,2.02719,0.61577,4.46518,0.00000,0.00000,0.00000,0.00000,13.08847,7.11266,0.42672,19.70729,7.76238,1.36493,0.31180,4.26040
Type02,250,63.32975,8.31101,2.54106,3.10331,63.69808,9.12568,2.89870,0.43964,63.43353,5.62948,1.92480,2.35102,63.66933,7.90380,2.98363,6.89654,65.79350,7.68764,2.93685,14.52443,63.40565,8.17527,2.69328,0.77602
Type02,260,8.93646,8.32260,2.23309,0.63578,8.80018,8.43565,2.22431,1.02903,8.11494,3.27486,1.25478,2.84134,4.22520,7.24359,2.82624,8.74463,15.50987,7.93261,2.68376,13.53317,8.58618,7.73736,2.05644,0.21862
Type02,270,9.44794,8.19173,2.41338,3.13323,9.75095,7.85201,2.29512,1.85898,9.15630,3.56075,1.47400,5.14619,4.95513,7.22903,3.40720,8.74788,17.04791,8.13358,3.26320,14.38676,9.52814,8.07193,2.30164,1.12798
