Model,RMSE,MAE,Hausdorff_max,Chamfer_mean,Length_Error,Width_Error,Size_Error,Area_Error,IoU,Dice,EMD
PCA_KRR,9.29948,8.53348,2.00671,0.68168,3.54431,0.72501,0.44421,255.62321,0.96608,0.98270,0.00000
PCA_LINEAR,10.48183,9.68548,6.92012,2.12909,12.64776,1.44537,3.66218,652.76342,0.91491,0.95528,0.00000
PCA_SVR,9.29346,8.54901,2.40143,0.70392,4.74381,0.64919,1.13222,247.16758,0.96609,0.98269,0.00000
PURE_GPR,9.26925,8.50217,2.08899,0.72882,3.64955,0.73901,0.36682,253.57032,0.96448,0.98186,0.00000
PURE_KRR,9.24620,8.47742,1.96121,0.66840,3.57786,0.69431,0.39182,249.19732,0.96708,0.98322,0.00000
PURE_SVR,9.31221,8.52704,2.03085,0.65530,3.68276,0.72398,0.34640,274.39684,0.96911,0.98424,0.00000
RATIO_CTRL,3.22274,2.88053,4.75710,1.74637,4.23171,3.12706,0.29430,682.91391,0.93617,0.96680,0.00000
