Type,size,GPR_RMSE,GPR_Hausdorff_max,GPR_Chamfer_mean,GPR_Length_Error,KRR_RMSE,KRR_Hausdorff_max,KRR_Chamfer_mean,KRR_Length_Error,PCA_RMSE,PCA_Hausdorff_max,PCA_Chamfer_mean,PCA_Length_Error,RATIO_CTRL_RMSE,RATIO_CTRL_Hausdorff_max,RATIO_CTRL_Chamfer_mean,RATIO_CTRL_Length_Error,RATIO_OUTLINE_RMSE,RATIO_OUTLINE_Hausdorff_max,RATIO_OUTLINE_Chamfer_mean,RATIO_OUTLINE_Length_Error,SVR_RMSE,SVR_Hausdorff_max,SVR_Chamfer_mean,SVR_Length_Error
Type04,270,14.11680,7.12751,2.32443,9.81780,14.80566,7.21532,2.17879,8.82235,15.36333,6.26216,1.92448,12.02332,4.71214,8.03302,3.37479,8.79156,28.70058,16.02902,2.93130,53.30893,14.90393,7.35826,2.18325,8.43084
Type04,280,13.64482,5.57881,2.28121,19.29085,15.61057,6.00716,2.09114,11.36774,15.71615,5.67878,1.54283,13.99949,4.09171,7.41939,2.65301,9.08292,29.53016,16.93843,2.60933,55.31758,17.45566,7.36992,2.26423,16.41528
Type05,240,14.89539,9.64871,1.30695,2.31818,14.56082,8.45378,1.59892,2.26508,15.12331,9.90008,1.23648,1.05266,0.00000,0.00000,0.00000,0.00000,25.85908,14.80098,2.51053,55.35257,14.89752,8.91773,1.81806,2.76805
Type05,260,16.28881,10.93976,2.38690,1.40439,16.87573,11.17225,2.24217,3.08774,16.64094,10.58106,2.50057,3.63262,4.10704,6.15455,2.61993,6.61962,27.54157,15.53185,2.29025,53.34567,16.27539,11.53315,2.17427,3.86361
Type05,280,70.70521,7.72011,3.24917,4.17897,71.08435,7.17768,3.15195,3.52974,68.95894,7.59427,2.17267,2.43896,68.51433,7.02573,3.12390,4.45828,74.48013,16.64429,2.59509,60.11973,70.81127,7.70744,3.18385,2.37505
Type06,230,13.48996,3.86794,1.14045,7.90666,13.90592,4.23710,0.86484,8.89181,13.35363,4.49691,1.14571,13.89341,0.00000,0.00000,0.00000,0.00000,24.58172,14.08891,1.68297,48.36859,14.08352,4.16469,0.94401,9.98568
Type06,240,13.78716,4.09754,1.48153,17.54223,13.76138,4.23203,1.45885,16.42886,13.97150,3.84506,1.37569,15.30858,3.37568,2.87918,1.24624,0.07792,24.09988,14.38268,1.34256,50.39365,14.10917,4.62811,1.54407,18.31853
Type06,250,14.33689,5.31651,1.52131,18.95635,14.50294,5.24901,1.35544,15.80069,14.75126,4.62730,1.33177,14.60908,1.84268,2.24274,1.22140,2.18181,26.35764,15.03174,1.24838,50.39274,14.12075,5.33939,1.54770,19.86834
Type06,270,15.99427,5.71290,2.11587,17.98344,16.58089,5.91114,2.10009,18.79385,16.42241,5.04365,1.89946,16.92836,4.51757,5.41299,2.44716,2.44117,27.81439,16.04594,2.29800,54.33934,16.62082,6.14604,2.19276,20.05716
Type06,280,15.26862,7.10165,2.31046,26.50459,16.27783,5.88028,2.02970,15.53342,16.48863,5.41107,1.97078,19.13111,5.77272,5.62614,2.70540,1.42790,27.74033,16.73357,2.49362,57.45560,20.30061,9.13536,2.39425,24.74205
Type07,250,16.57558,10.30990,1.29768,2.15568,14.84671,8.08660,1.04440,1.07208,14.41347,9.26841,1.32091,1.25929,0.00000,0.00000,0.00000,0.00000,27.08196,15.33156,2.00897,60.28716,14.75112,8.52364,0.97923,1.25910
Type07,270,14.50822,7.99138,1.67019,3.35994,15.78260,10.42026,1.65522,0.62860,15.65297,9.26321,1.37834,1.74608,1.66940,1.95765,0.76677,3.38808,29.88021,16.23053,2.02814,61.72206,16.20358,10.16911,1.47126,0.96152
Type07,280,19.10226,7.01585,2.58757,4.83281,19.64018,7.42603,2.51958,4.85616,16.76856,9.92882,2.20780,2.35359,3.34468,5.65475,2.03011,4.68778,31.40844,16.84156,2.19654,62.83384,19.47611,7.07433,2.50910,3.27715
