,Type00,Type01,Type02,Type03,Type04,Type05,Type06,Type07
Type00,0.0000,4.2545,5.7141,4.3493,3.2924,4.4881,4.1113,3.6531
Type01,4.2545,0.0000,6.6392,2.8748,3.7630,5.4435,3.0337,7.3800
Type02,5.7141,6.6392,0.0000,4.4867,4.1254,4.7871,4.1731,7.7927
Type03,4.3493,2.8748,4.4867,0.0000,3.1076,3.6809,1.1620,7.3482
Type04,3.2924,3.7630,4.1254,3.1076,0.0000,3.9416,3.2693,5.9918
Type05,4.4881,5.4435,4.7871,3.6809,3.9416,0.0000,4.1577,5.6254
Type06,4.1113,3.0337,4.1731,1.1620,3.2693,4.1577,0.0000,7.2684
Type07,3.6531,7.3800,7.7927,7.3482,5.9918,5.6254,7.2684,0.0000
