,Type00,Type01,Type02,Type03,Type04,Type05,Type06,Type07
Type00,0.0000,4.3509,6.0929,4.5791,3.3111,4.5286,4.1431,3.9397
Type01,4.3509,0.0000,6.8051,3.0228,3.8415,5.5439,3.1935,7.6820
Type02,6.0929,6.8051,0.0000,4.1926,4.3833,4.8197,4.3832,8.0632
Type03,4.5791,3.0228,4.1926,0.0000,3.1118,3.8554,1.4337,7.6681
Type04,3.3111,3.8415,4.3833,3.1118,0.0000,4.3331,3.1688,6.1387
Type05,4.5286,5.5439,4.8197,3.8554,4.3331,0.0000,4.3159,5.6730
Type06,4.1431,3.1935,4.3832,1.4337,3.1688,4.3159,0.0000,7.4747
Type07,3.9397,7.6820,8.0632,7.6681,6.1387,5.6730,7.4747,0.0000
