Merge_Step,Cluster_Idx_1,Cluster_Idx_2,Ward_Distance,Member_Count
1,3.0000,6.0000,1.1623,2.0000
2,0.0000,4.0000,3.3360,2.0000
3,1.0000,8.0000,3.3376,3.0000
4,5.0000,9.0000,4.4242,3.0000
5,10.0000,11.0000,5.2741,6.0000
6,2.0000,12.0000,5.7915,7.0000
7,7.0000,13.0000,7.8850,8.0000
