,Type00,Type01,Type02,Type03,Type04,Type05,Type06,Type07
Type00,0.0000,4.2428,5.6939,4.3518,3.3360,4.4921,4.0943,3.6316
Type01,4.2428,0.0000,6.6061,2.8731,3.8039,5.4352,3.0216,7.3493
Type02,5.6939,6.6061,0.0000,4.4880,4.1214,4.7484,4.1427,7.7673
Type03,4.3518,2.8731,4.4880,0.0000,2.9778,3.6590,1.1623,7.3320
Type04,3.3360,3.8039,4.1214,2.9778,0.0000,3.8400,3.3238,5.9880
Type05,4.4921,5.4352,4.7484,3.6590,3.8400,0.0000,4.1498,5.6124
Type06,4.0943,3.0216,4.1427,1.1623,3.3238,4.1498,0.0000,7.2336
Type07,3.6316,7.3493,7.7673,7.3320,5.9880,5.6124,7.2336,0.0000
