,Type00,Type01,Type02,Type03,Type04,Type05,Type06,Type07
Type00,0.0000,4.2421,5.7016,4.3507,3.3245,4.4941,4.1000,3.6335
Type01,4.2421,0.0000,6.6138,2.8767,3.7940,5.4386,3.0245,7.3517
Type02,5.7016,6.6138,0.0000,4.4844,4.1264,4.7601,4.1534,7.7754
Type03,4.3507,2.8767,4.4844,0.0000,3.0094,3.6638,1.1583,7.3326
Type04,3.3245,3.7940,4.1264,3.0094,0.0000,3.8602,3.3180,5.9862
Type05,4.4941,5.4386,4.7601,3.6638,3.8602,0.0000,4.1494,5.6180
Type06,4.1000,3.0245,4.1534,1.1583,3.3180,4.1494,0.0000,7.2414
Type07,3.6335,7.3517,7.7754,7.3326,5.9862,5.6180,7.2414,0.0000
