CTRL_Count,Model,RMSE,MAE,Hausdorff_max,Chamfer_mean,Length_Error,Width_Error,Size_Error,Area_Error,IoU,Dice,EMD
40,Ratio Scaling,3.20908,2.87382,4.75043,1.74076,4.1255,3.13641,0.43373,698.61229,0.93816,0.96787,0
41,Ratio Scaling,3.21204,2.87168,4.75174,1.73705,4.3843,3.13473,0.24292,700.8774,0.93883,0.96824,0
42,Ratio Scaling,3.23119,2.88966,4.79322,1.75928,4.17103,3.14486,0.38121,702.85471,0.9384,0.96801,0
43,Ratio Scaling,3.20718,2.87131,4.74487,1.73748,4.40958,3.14041,0.23977,704.34869,0.93968,0.96869,0
44,Ratio Scaling,3.21127,2.87036,4.74586,1.73495,4.17834,3.13866,0.33896,705.47545,0.93973,0.96872,0
45,Ratio Scaling,3.22344,2.88128,4.78955,1.75039,4.41903,3.1517,0.22854,706.09889,0.93954,0.96862,0
46,Ratio Scaling,3.21225,2.8753,4.74659,1.74251,4.1759,3.14375,0.30409,706.31844,0.94012,0.96893,0
47,Ratio Scaling,3.20185,2.8622,4.73411,1.72829,4.38179,3.13939,0.21484,706.06443,0.94074,0.96926,0
48,Ratio Scaling,3.22316,2.88109,4.77658,1.75182,4.16673,3.15708,0.2819,705.5299,0.94038,0.96907,0
49,Ratio Scaling,3.20327,2.86824,4.73515,1.73722,4.33327,3.14258,0.1998,704.75368,0.94099,0.96939,0
50,Ratio Scaling,3.19863,2.86091,4.73297,1.72966,4.1336,3.14318,0.26138,703.89097,0.94115,0.96948,0
20,PCA-Linear,15.62842,14.57072,7.7732,2.19395,15.71891,1.83257,4.47448,815.07809,0.9203,0.95829,0
21,PCA-Linear,14.79644,13.78025,7.58913,2.13531,15.60851,1.81931,3.65984,783.50483,0.92259,0.95957,0
22,PCA-Linear,14.17164,13.17757,7.04973,2.04748,14.80701,1.58028,4.12617,776.17586,0.92471,0.96072,0
23,PCA-Linear,14.32866,13.40218,8.35723,2.39123,17.69188,1.7076,4.92839,841.32405,0.91305,0.95433,0
24,PCA-Linear,13.11676,12.16052,6.81168,2.03254,13.86539,1.52141,3.89174,740.17746,0.92168,0.95907,0
25,PCA-Linear,13.35058,12.44869,7.84741,2.24538,16.83936,1.62458,4.79375,813.12436,0.91387,0.95478,0
26,PCA-Linear,12.9553,12.06169,7.79148,2.28252,16.29347,1.59997,5.18241,798.4365,0.91174,0.95359,0
27,PCA-Linear,12.57682,11.70004,7.89149,2.30185,16.16002,1.59616,4.69191,784.75614,0.90971,0.95249,0
28,PCA-Linear,12.2055,11.33589,7.5766,2.22088,15.85187,1.56922,5.08615,772.70852,0.91209,0.9538,0
29,PCA-Linear,11.88766,11.02456,7.69553,2.23448,15.83847,1.54747,4.64082,761.18606,0.91113,0.95325,0
30,PCA-Linear,11.59077,10.74529,7.73219,2.2993,15.56598,1.54447,5.00904,751.92668,0.90852,0.95183,0
31,PCA-Linear,11.28881,10.45217,7.63765,2.23564,15.57001,1.53379,4.6191,741.44198,0.91083,0.95308,0
32,PCA-Linear,11.00151,10.1717,7.50719,2.20071,15.41296,1.5195,4.9213,734.00344,0.91227,0.95386,0
33,PCA-Linear,10.78628,9.97035,7.79247,2.32664,15.38566,1.52264,4.59169,724.89001,0.90771,0.95137,0
34,PCA-Linear,10.51115,9.70292,7.53619,2.23115,15.3008,1.51844,4.83837,718.31721,0.9112,0.95327,0
35,PCA-Linear,10.48183,9.68548,6.92012,2.12909,12.64776,1.44537,3.66218,652.76342,0.91491,0.95528,0
36,PCA-Linear,10.09205,9.29803,7.65282,2.29322,15.21018,1.51499,4.76777,704.64618,0.90987,0.95254,0
37,PCA-Linear,10.02367,9.25545,6.90437,2.09732,12.05736,1.4457,3.62047,645.69425,0.91664,0.95626,0
38,PCA-Linear,9.80946,9.04915,6.91613,2.07181,12.0358,1.44392,3.86472,640.94016,0.9181,0.95705,0
39,PCA-Linear,9.64177,8.89021,6.969,2.1335,12.05888,1.45393,3.58951,635.02528,0.91572,0.95576,0
40,PCA-Linear,9.44753,8.70556,6.95237,2.09761,12.09416,1.4601,3.80354,629.72998,0.91776,0.95688,0
41,PCA-Linear,9.25844,8.53352,6.83039,2.0796,12.06621,1.45657,3.57045,655.12538,0.9176,0.95678,0
42,PCA-Linear,9.12213,8.40219,6.94023,2.10923,12.2164,1.46569,3.73738,656.22554,0.91666,0.95628,0
43,PCA-Linear,8.97945,8.26839,6.88691,2.10565,12.20092,1.47425,3.58509,650.888,0.9171,0.95652,0
44,PCA-Linear,8.83912,8.13538,6.84336,2.08087,12.2347,1.47153,3.69846,644.87341,0.91844,0.95724,0
45,PCA-Linear,8.72978,8.03436,6.86247,2.10367,12.26242,1.47975,3.60638,640.12293,0.91785,0.95692,0
46,PCA-Linear,8.6183,7.93039,6.92341,2.11055,12.28248,1.48897,3.67847,634.97793,0.91785,0.95693,0
47,PCA-Linear,8.49605,7.81484,6.81839,2.09103,12.31209,1.48413,3.63003,630.68571,0.91886,0.95746,0
48,PCA-Linear,8.3949,7.71992,6.88248,2.10346,12.30308,1.49424,3.67186,626.06987,0.91865,0.95735,0
49,PCA-Linear,8.29817,7.62963,6.89987,2.11837,12.36809,1.50315,3.65251,621.74687,0.9184,0.95722,0
50,PCA-Linear,8.18191,7.5188,6.84791,2.09554,12.33374,1.49728,3.67768,617.51572,0.91939,0.95774,0
20,PCA-KRR,15.93966,14.86264,4.89276,1.23352,8.99334,1.57517,2.25999,483.33981,0.95225,0.9755,0
21,PCA-KRR,15.03552,13.99574,4.35135,1.10087,8.40235,1.49109,1.15081,465.04858,0.95728,0.97814,0
22,PCA-KRR,14.42177,13.43738,4.1735,1.07015,7.81123,1.25428,2.11682,419.40872,0.95773,0.97837,0
23,PCA-KRR,13.67401,12.69086,3.74216,0.99872,7.66112,1.23459,1.16134,415.13447,0.95904,0.97905,0
24,PCA-KRR,13.25103,12.32399,3.63375,0.97566,6.84534,1.10625,2.04038,366.66047,0.9585,0.97876,0
25,PCA-KRR,12.65275,11.72116,3.33229,0.90763,6.72365,1.08525,1.13527,372.33748,0.96057,0.97983,0
26,PCA-KRR,12.32715,11.44303,3.26349,0.90697,5.99243,0.97368,2.00065,322.02719,0.95988,0.97947,0
27,PCA-KRR,11.77046,10.87948,3.02365,0.84636,6.14315,0.94728,1.13549,335.18434,0.96217,0.98065,0
28,PCA-KRR,11.47427,10.61995,2.9855,0.86061,5.77645,0.94065,1.83262,302.18657,0.96039,0.97973,0
29,PCA-KRR,11.01057,10.15681,2.77058,0.79098,5.65804,0.82822,1.13518,306.29944,0.9635,0.98135,0
30,PCA-KRR,10.755,9.93261,2.72745,0.79338,5.2908,0.803,1.6993,279.6062,0.96259,0.98088,0
31,PCA-KRR,10.41241,9.60342,2.64224,0.76907,5.16616,0.80025,1.14874,282.182,0.96377,0.98148,0
32,PCA-KRR,10.12685,9.3376,2.56378,0.75615,5.05351,0.74068,1.59629,261.86889,0.96368,0.98145,0
33,PCA-KRR,9.80882,9.03404,2.47554,0.72919,4.92168,0.71408,1.13442,263.00106,0.96526,0.98226,0
34,PCA-KRR,9.57253,8.81352,2.47871,0.74061,5.04097,0.70638,1.46559,255.79689,0.96482,0.98203,0
35,PCA-KRR,9.29346,8.54901,2.40143,0.70392,4.74381,0.64919,1.13222,247.16758,0.96609,0.98269,0
36,PCA-KRR,9.07439,8.34694,2.42311,0.70551,4.89575,0.63915,1.39292,241.40335,0.96628,0.9828,0
37,PCA-KRR,8.83126,8.11869,2.38453,0.69925,4.71789,0.61166,1.1672,240.17187,0.96711,0.98322,0
38,PCA-KRR,8.63806,7.93811,2.40774,0.69744,4.82519,0.60445,1.35084,232.26414,0.96692,0.98313,0
39,PCA-KRR,8.39767,7.71463,2.39305,0.6865,4.729,0.5839,1.1856,236.07739,0.96791,0.98363,0
