type, side, size, x1, y1, x2, y2, x3, y3, x4, y4, x5, y5, x6, y6, x7, y7, x8, y8, x9, y9, x10, y10, x11, y11, x12, y12, x13, y13, x14, y14, x15, y15, x16, y16, x17, y17, x18, y18, x19, y19, x20, y20
Type02, L, 230, 62.217340, 230.000000, 38.746960, 217.897425, 29.619855, 192.680663, 23.983630, 166.713898, 17.225876, 140.706457, 8.471557, 115.416634, 0.972146, 89.681386, 0.000000, 63.198311, 5.555120, 37.463063, 18.995379, 13.142016, 42.756375, 0.000000, 67.655684, 7.817315, 79.894885, 31.919944, 84.993331, 58.115657, 83.049039, 84.196056, 73.883091, 110.161405, 72.216556, 137.277256, 78.467651, 163.340150, 84.854453, 188.345077, 83.465673, 214.885677
Type02, L, 250, 64.833531, 250.000000, 86.402503, 232.816993, 85.985201, 205.069277, 77.779202, 177.687390, 71.644955, 149.991956, 73.393237, 121.458514, 84.287408, 93.666399, 87.360778, 65.757982, 82.589615, 37.613335, 72.089335, 10.368424, 45.424396, 0.000000, 20.317998, 15.794537, 6.188936, 42.239606, 0.000000, 69.999519, 3.217798, 97.296401, 10.574901, 124.561079, 19.099200, 152.907435, 26.383586, 180.640098, 31.682257, 209.491624, 40.076170, 236.561258
Type02, L, 260, 65.376181, 260.000000, 40.536472, 244.732094, 31.030299, 216.241870, 25.982630, 187.105137, 18.643260, 158.300449, 8.932160, 129.230812, 1.048033, 100.067501, 0.000000, 70.738064, 6.256220, 42.067774, 21.309195, 15.223748, 47.793888, 0.000000, 74.467645, 11.356586, 85.505120, 39.445745, 91.077036, 68.200207, 87.882207, 97.013686, 77.481446, 125.291197, 75.933317, 154.862144, 81.383264, 183.948858, 89.329840, 213.009706, 88.921953, 242.647748
Type02, L, 270, 67.944196, 270.000000, 41.079231, 254.742652, 31.868285, 224.969101, 25.159252, 194.477998, 17.483548, 164.463426, 9.362079, 134.945127, 1.563569, 105.494075, 0.000000, 74.949606, 7.249276, 44.640647, 23.595683, 16.652295, 50.716720, 0.000000, 78.522007, 12.354595, 89.407739, 41.468917, 94.382732, 71.660121, 90.313065, 102.503466, 79.031324, 132.160285, 78.889181, 162.586999, 85.383774, 192.860501, 93.332795, 222.327268, 92.542397, 252.793218
Type03, L, 230, 49.875060, 230.000000, 27.282084, 217.446146, 18.756433, 192.129419, 14.900580, 165.896212, 9.804499, 139.671388, 4.404920, 114.354661, 0.476816, 89.093098, 0.000000, 63.544635, 5.189121, 38.099115, 17.871900, 13.945786, 40.689430, 0.000000, 64.248207, 9.491453, 75.133264, 34.301740, 77.725521, 60.857394, 76.730862, 86.939266, 72.610130, 112.785709, 71.841985, 139.286233, 75.369665, 164.554324, 77.725521, 191.325613, 72.917177, 217.046570
Type03, L, 235, 52.877225, 235.000000, 28.854987, 224.499529, 18.904491, 199.319253, 15.514448, 172.760287, 11.054815, 146.207242, 5.127180, 120.068124, 0.507939, 93.387052, 0.000000, 66.459676, 4.460513, 40.024908, 16.573409, 15.386587, 38.792046, 0.000000, 63.402985, 9.108341, 75.581990, 33.670438, 78.995585, 60.337561, 78.568582, 86.986410, 75.864229, 113.635259, 74.718054, 140.853302, 76.166172, 168.618282, 78.859003, 194.215446, 75.090805, 220.187809
Type03, L, 245, 52.998938, 245.000000, 28.396408, 232.049243, 19.166681, 205.254592, 15.284341, 177.243481, 10.041798, 149.529128, 4.150531, 121.187173, 0.215001, 93.396625, 0.000000, 65.665387, 6.111079, 38.310794, 19.174326, 12.939570, 43.701676, 0.000000, 68.197886, 13.125202, 78.267844, 39.654053, 81.637031, 66.906226, 81.075500, 94.623587, 76.608369, 121.578391, 76.442867, 149.418675, 79.603753, 176.565653, 82.198563, 204.213764, 77.022906, 231.223978
Type03, L, 250, 52.120449, 250.000000, 27.106723, 236.458439, 18.848356, 209.340369, 14.588060, 180.706261, 10.053733, 151.993010, 5.098740, 123.657805, 1.133053, 95.456239, 0.000000, 67.372004, 5.395076, 39.123540, 19.735981, 13.001062, 44.877103, 0.000000, 69.759262, 14.259785, 79.739902, 41.377854, 82.892859, 69.947827, 81.749546, 97.065896, 78.888831, 125.002948, 79.182994, 152.546523, 79.880253, 180.174100, 81.296569, 208.610329, 76.764356, 235.873243
Type03, L, 255, 55.871464, 255.000000, 29.206360, 244.023253, 19.277864, 216.248195, 14.877624, 187.199220, 10.559910, 158.627607, 6.224987, 130.180622, 1.690242, 101.975450, 0.000000, 72.871226, 4.784765, 44.258070, 17.092724, 17.199202, 40.816366, 0.000000, 67.716191, 8.987495, 79.972528, 36.136576, 83.536569, 65.372873, 82.678404, 94.754357, 80.125362, 124.174422, 79.274349, 152.889484, 81.118212, 182.838301, 83.588729, 210.806585, 79.436064, 239.378198
Type03, L, 260, 53.252165, 260.000000, 27.294372, 245.695395, 19.837662, 216.858595, 16.686375, 187.979665, 11.677489, 158.320843, 5.909091, 128.119538, 0.703463, 97.918233, 0.000000, 68.416249, 7.019404, 40.323670, 21.244589, 13.515797, 47.181170, 0.000000, 72.412689, 14.236282, 82.305195, 42.372594, 84.250596, 71.517912, 82.973621, 100.208469, 81.038961, 129.246794, 80.616883, 158.515671, 82.067245, 187.516379, 84.101505, 216.206937, 79.105588, 244.979910
Type03, L, 265, 51.294795, 265.000000, 25.117193, 251.022241, 17.413518, 221.800451, 14.464822, 191.847767, 10.328923, 162.341741, 5.184863, 132.104821, 1.065784, 102.476979, 0.000000, 73.232907, 6.309815, 43.667951, 19.228954, 16.192181, 44.583261, 0.000000, 71.812713, 12.053817, 81.846649, 40.880131, 86.092074, 71.563520, 86.037338, 101.881836, 83.319383, 131.819740, 81.529673, 161.868412, 82.487575, 191.616566, 83.357003, 221.367728, 77.871481, 250.345888
Type03, L, 270, 58.766621, 270.000000, 31.646748, 255.463259, 22.525189, 225.403099, 18.051408, 194.673926, 12.245064, 163.985959, 6.210408, 134.172326, 1.340468, 104.545810, 0.000000, 74.430264, 5.959173, 44.102965, 20.565639, 15.617922, 46.663303, 0.000000, 73.214287, 14.523508, 83.693698, 43.979749, 87.398773, 73.975217, 86.594583, 103.056735, 84.895166, 134.272644, 84.587531, 163.173519, 86.028111, 193.771453, 87.585910, 224.224780, 84.331311, 253.782107
Type03, L, 275, 57.693973, 275.000000, 30.765062, 259.709158, 21.715308, 228.913577, 17.457477, 197.972774, 11.780370, 166.561664, 5.393625, 136.385110, 0.685690, 106.294637, 0.000000, 75.520280, 5.535553, 45.267564, 18.167116, 16.266777, 44.580793, 0.000000, 71.666761, 14.484665, 82.875273, 44.427629, 87.853604, 73.735077, 88.123225, 105.311230, 84.589268, 135.793048, 83.595774, 167.027793, 86.163498, 198.133138, 88.279387, 229.320918, 83.888895, 259.307726
Type03, L, 280, 62.796120, 280.000000, 87.435474, 260.753449, 89.973008, 229.900632, 88.553849, 198.307869, 86.302155, 166.093559, 86.850859, 134.416942, 90.184497, 103.458049, 89.121513, 71.231416, 84.012542, 39.638653, 71.549759, 9.605134, 41.944067, 0.000000, 16.602506, 20.432196, 4.654444, 50.762051, 0.000000, 81.248482, 1.701340, 112.800362, 7.597727, 145.754471, 14.331852, 176.279806, 19.631863, 206.935164, 23.104730, 237.754124, 34.141555, 267.949592
Type04, L, 230, 54.208754, 230.000000, 29.521153, 220.096604, 21.120294, 194.278815, 16.797416, 168.089121, 11.686563, 141.958365, 6.054484, 116.002267, 0.844812, 90.104491, 0.000000, 63.798460, 6.346136, 37.513674, 19.621703, 13.255554, 43.283665, 0.000000, 68.152094, 8.240861, 80.116315, 32.451862, 80.720647, 59.166099, 78.145087, 85.413855, 76.414653, 111.544742, 77.159474, 137.617662, 79.834711, 163.632082, 81.242730, 190.054756, 76.842648, 216.095827
Type04, L, 235, 55.545361, 235.000000, 31.178823, 224.216222, 20.963865, 199.573422, 17.094119, 173.084944, 12.004092, 146.669372, 6.248897, 119.911739, 1.319251, 93.354307, 0.000000, 66.777006, 5.122121, 40.531146, 17.516660, 15.398058, 40.682711, 0.000000, 66.192991, 8.179520, 78.940386, 32.617218, 82.165452, 58.789324, 80.475287, 85.638460, 77.376653, 113.187685, 77.376653, 140.270184, 79.963526, 167.022506, 82.165452, 194.318500, 77.516164, 220.916632
Type04, L, 240, 58.425656, 240.000000, 33.197550, 227.926413, 23.074054, 201.289798, 18.612245, 174.203928, 13.294461, 147.431626, 7.823096, 119.986362, 2.539594, 93.431723, 0.000000, 66.477097, 6.164267, 39.666637, 18.901547, 14.194663, 43.039102, 0.000000, 68.521022, 8.975832, 81.166181, 34.411021, 83.965015, 62.110775, 82.455945, 88.762714, 79.279454, 116.014148, 79.375168, 142.978667, 82.005831, 169.895571, 83.405248, 197.015668, 80.046647, 223.208312
