Type,Base_Size,Matched_Type,Time_sec,Points
Type00,240,Type05,2.2573,20
Type01,230,Type06,1.285,20
Type02,230,Type04,1.4072,20
Type03,230,Type06,1.2852,20
Type04,230,Type03,1.4044,20
Type05,240,Type02,1.2333,20
Type06,230,Type03,1.4446,20
Type07,250,Type00,1.3378,20
