Model,Cluster_ID,RMSE,MAE,Hausdorff_max,Chamfer_mean,Length_Error,Width_Error,Size_Error,Area_Error,IoU,Dice,EMD
PCA_KRR,1,10.84827,9.96306,2.98446,0.96648,4.13278,0.73259,1.53439,311.16980,0.95303,0.97591,0.00000
PCA_KRR,2,10.58442,9.76255,2.03314,0.65957,5.00869,1.02319,0.35561,297.25855,0.96707,0.98323,0.00000
PCA_KRR,3,10.41491,9.58019,1.75438,0.51801,5.72402,0.97612,0.78511,274.04074,0.97560,0.98765,0.00000
PCA_KRR,4,10.90587,10.07170,2.18769,0.41528,5.31282,0.94340,0.18008,295.47775,0.98097,0.99039,0.00000
PCA_LINEAR,1,11.22046,10.31467,5.50037,1.89172,3.00443,0.74247,1.11466,518.58137,0.92037,0.95838,0.00000
PCA_LINEAR,2,11.08109,10.21547,7.41710,2.23126,18.39420,1.86962,5.49711,770.20052,0.90935,0.95239,0.00000
PCA_LINEAR,3,8.58611,7.65589,10.31820,2.65583,36.02728,2.19218,10.25135,992.53911,0.89790,0.94618,0.00000
PCA_LINEAR,4,21.12387,20.91420,21.05348,4.94941,55.05854,4.07664,21.05348,1877.10255,0.83875,0.91226,0.00000
PCA_SVR,1,10.97042,10.10824,3.15396,0.98119,5.04694,0.74622,2.22959,274.60907,0.95318,0.97597,0.00000
PCA_SVR,2,10.58984,9.79842,2.18642,0.60460,5.16395,0.83281,1.18572,270.82377,0.97108,0.98531,0.00000
PCA_SVR,3,10.13772,9.33022,3.46167,0.88683,8.22879,0.94127,1.49528,374.19664,0.96182,0.98045,0.00000
PCA_SVR,4,11.13292,10.37012,2.15122,0.54940,3.76035,0.81824,1.51751,239.49441,0.97535,0.98752,0.00000
PURE_GPR,1,10.76405,9.87072,2.94059,1.00279,4.10655,0.70112,1.32481,295.30736,0.95141,0.97506,0.00000
PURE_GPR,2,10.58977,9.77042,2.12565,0.71533,5.09057,1.03583,0.43214,304.72043,0.96629,0.98282,0.00000
PURE_GPR,3,10.36407,9.52027,1.82772,0.56135,5.77975,0.99457,0.55188,277.13762,0.97187,0.98573,0.00000
PURE_GPR,4,10.90088,10.06404,2.18505,0.38608,5.30584,0.94441,0.02976,295.82943,0.98299,0.99142,0.00000
PURE_KRR,1,10.73123,9.84071,2.90758,0.96721,4.18628,0.69330,1.27837,294.86010,0.95304,0.97591,0.00000
PURE_KRR,2,10.57461,9.75294,2.00568,0.63539,5.00387,1.01004,0.32129,296.24850,0.96821,0.98383,0.00000
PURE_KRR,3,10.42570,9.58712,1.76598,0.49720,5.71404,0.96656,0.66079,272.29037,0.97607,0.98789,0.00000
PURE_KRR,4,10.90364,10.06873,2.18859,0.40072,5.29070,0.94377,0.15447,295.67155,0.98172,0.99078,0.00000
PURE_SVR,1,10.81814,9.90639,2.93586,0.96633,4.69222,0.72354,1.15552,301.80782,0.95550,0.97716,0.00000
PURE_SVR,2,10.58662,9.76363,2.11837,0.62785,5.17795,1.05227,0.28175,347.11006,0.97035,0.98491,0.00000
PURE_SVR,3,10.48519,9.68229,1.65683,0.46057,4.64011,1.01881,0.44411,258.10749,0.97731,0.98852,0.00000
PURE_SVR,4,10.89984,10.06573,2.18656,0.40152,5.17664,0.99569,0.08121,292.06786,0.98161,0.99072,0.00000
RATIO_CTRL,1,3.64665,3.33662,4.66804,1.73851,3.31739,3.09757,1.14348,584.87241,0.93554,0.96660,0.00000
RATIO_CTRL,2,2.89290,2.56662,4.77951,1.75121,4.49595,2.99005,0.51652,663.40140,0.93612,0.96676,0.00000
RATIO_CTRL,3,4.52952,3.74207,7.42057,3.04559,8.64694,5.91663,0.75267,1327.76678,0.89145,0.94260,0.00000
RATIO_CTRL,4,1.53159,1.41464,2.35108,0.84054,1.88723,1.30868,0.08644,423.38487,0.96414,0.98155,0.00000
