Model,RMSE,MAE,Hausdorff_max,Chamfer_mean,Length_Error,Width_Error,Size_Error,Area_Error,IoU,Dice,EMD
PCA_KRR,7.93788,7.23066,1.89184,0.63766,2.85366,0.61809,0.62344,253.81975,0.96784,0.98356,0.00000
PCA_LINEAR,9.12213,8.40219,6.94023,2.10923,12.21640,1.46569,3.73738,656.22554,0.91666,0.95628,0.00000
PCA_SVR,7.96010,7.22493,2.46130,0.67243,10.44934,0.56062,1.32529,266.72596,0.96692,0.98306,0.00000
PURE_GPR,7.91583,7.14953,2.03679,0.68887,8.31036,0.64614,0.44938,259.62068,0.96612,0.98265,0.00000
PURE_KRR,7.88680,7.17451,1.84201,0.62402,2.74990,0.57408,0.47718,247.84733,0.96840,0.98384,0.00000
PURE_SVR,8.05605,7.35277,1.95108,0.60460,2.90551,0.61023,0.35613,278.57669,0.96958,0.98440,0.00000
RATIO_CTRL,3.23119,2.88966,4.79322,1.75928,4.17103,3.14486,0.38121,702.85471,0.93840,0.96801,0.00000
