type, side, size, x1, y1, x2, y2, x3, y3, x4, y4, x5, y5, x6, y6, x7, y7, x8, y8, x9, y9, x10, y10, x11, y11, x12, y12, x13, y13, x14, y14, x15, y15, x16, y16, x17, y17, x18, y18, x19, y19, x20, y20, x21, y21, x22, y22, x23, y23, x24, y24, x25, y25, x26, y26, x27, y27, x28, y28, x29, y29, x30, y30, x31, y31, x32, y32, x33, y33, x34, y34, x35, y35, x36, y36, x37, y37, x38, y38, x39, y39, x40, y40, x41, y41, x42, y42, x43, y43, x44, y44, x45, y45, x46, y46, x47, y47, x48, y48
Type01, L, 280, 58.724649, 280.902731, 53.713731, 280.766001, 44.671894, 279.778406, 31.659722, 270.241401, 25.759178, 256.528153, 22.983887, 242.676494, 20.620289, 228.695468, 18.732453, 214.194362, 16.604480, 200.732178, 14.268921, 186.848160, 11.871661, 172.456177, 8.878885, 158.708632, 6.557137, 145.267741, 3.427015, 130.978382, 1.461904, 117.679514, 0.000000, 103.150297, 0.080294, 89.147782, 1.260180, 75.647709, 4.153759, 61.999096, 7.703472, 49.100778, 13.079415, 35.790508, 19.520191, 22.636661, 28.938469, 10.563342, 41.662863, 1.851217, 56.290414, 0.000000, 70.004848, 4.839620, 80.260426, 17.332349, 84.879763, 30.151712, 87.539900, 44.245420, 89.593387, 57.928424, 90.517956, 71.583334, 89.897345, 85.511294, 88.211658, 99.884838, 87.346456, 112.987107, 86.432442, 127.717322, 86.692792, 141.493365, 87.336081, 155.808354, 89.023933, 169.308138, 90.552380, 183.520059, 90.016245, 196.369446, 89.154541, 211.169064, 89.070749, 225.321996, 89.033574, 239.691853, 87.835794, 252.762260, 83.848095, 266.266494, 73.035316, 278.530002, 63.450858, 279.938949, 58.961443, 280.944901
Type01, L, 290, 59.922052, 290.967243, 55.148073, 291.029006, 45.374486, 289.660761, 32.738616, 279.597225, 26.106004, 265.310568, 24.310604, 251.313174, 21.869760, 236.986411, 19.303809, 222.371079, 17.454343, 208.392264, 15.607821, 194.039307, 13.698613, 179.281747, 11.266147, 165.665043, 7.993013, 151.105999, 4.985392, 136.482990, 2.135543, 121.684140, 0.459663, 107.649680, 0.000000, 92.516117, 1.062235, 78.174227, 3.872522, 63.589855, 7.937838, 49.649068, 13.740140, 35.555947, 20.892729, 22.476229, 30.487476, 10.140003, 43.791203, 1.919939, 58.436996, 0.000000, 72.318430, 5.271246, 82.889295, 18.008741, 87.266392, 31.724828, 90.442547, 46.188903, 93.004992, 60.351816, 94.415453, 74.434256, 93.101740, 90.299437, 91.962005, 103.925297, 91.402923, 117.305658, 91.441875, 132.526652, 91.897473, 147.374872, 92.421642, 161.941237, 93.247879, 176.200786, 93.562715, 190.143014, 94.050851, 205.053967, 93.855297, 219.645372, 93.205442, 233.109296, 92.004667, 247.551239, 89.866454, 262.181659, 86.056153, 276.212566, 74.921975, 288.518850, 64.540236, 290.177050, 60.458822, 291.135011
Type02, L, 230, 62.768862, 230.763725, 59.079134, 230.443020, 51.104972, 229.420203, 40.428648, 221.702422, 34.792624, 210.692764, 31.459836, 199.350317, 29.009895, 187.725186, 26.502375, 176.175563, 24.027206, 164.711163, 21.245988, 153.370318, 18.001634, 141.554084, 14.360791, 130.431845, 10.283370, 119.313265, 5.946560, 107.914594, 2.800522, 96.710320, 0.436962, 84.681650, 0.000000, 72.820832, 0.623906, 61.621860, 2.756981, 49.776564, 5.980289, 38.659317, 10.717823, 27.133361, 17.225863, 16.459992, 26.535019, 7.534425, 37.391158, 2.342879, 49.314074, 0.000000, 61.131666, 2.194712, 71.103402, 11.051552, 76.610633, 21.970476, 80.851958, 33.163704, 83.025602, 44.254660, 84.920959, 56.590731, 87.052967, 67.727500, 85.439950, 79.459491, 81.792354, 91.022302, 77.451964, 102.386457, 73.266039, 114.224144, 71.261878, 125.810831, 72.413514, 138.630738, 74.783470, 149.255152, 78.340607, 161.560282, 81.688259, 172.451104, 84.433590, 183.515099, 86.463872, 194.778326, 86.712858, 206.776087, 83.562006, 218.840649, 74.625842, 228.788560, 66.362249, 230.460330, 63.085695, 230.921546
Type02, L, 250, 64.975302, 250.997683, 69.012156, 250.577784, 78.140943, 248.693535, 86.655985, 237.088508, 88.214142, 224.799147, 87.512100, 212.121870, 84.653778, 199.846650, 80.872856, 188.220851, 76.598852, 175.540478, 73.730875, 163.497550, 71.464078, 151.253314, 70.222395, 138.356374, 71.942664, 125.795038, 76.738789, 113.517833, 81.971284, 101.194487, 86.989884, 88.825505, 88.350754, 76.171511, 87.084210, 64.154688, 85.006993, 50.899154, 82.820670, 39.276722, 79.599539, 26.275172, 75.181278, 14.327048, 64.922087, 3.839102, 51.925633, 0.000000, 39.101654, 2.347282, 27.367120, 9.355670, 17.809427, 19.667848, 11.294633, 31.469682, 6.151402, 43.656799, 2.386532, 55.962109, 0.000000, 68.174011, 0.087037, 80.938722, 1.867023, 92.571756, 4.740100, 104.728176, 7.953804, 116.606300, 11.718803, 128.925045, 15.302796, 141.545181, 19.302293, 154.153128, 22.789729, 166.625093, 25.861662, 178.463042, 28.548139, 191.529901, 30.713693, 204.355627, 32.930536, 216.651574, 35.851855, 228.508392, 41.044967, 240.900389, 51.909447, 250.599165, 60.907837, 250.765176, 64.673846, 251.287866
Type02, L, 260, 66.090026, 260.903735, 62.193192, 260.928837, 53.405660, 259.020267, 42.495177, 248.847457, 36.284939, 236.550001, 32.744225, 223.775215, 30.682675, 210.437309, 28.674649, 197.423012, 26.138524, 184.689662, 23.118638, 172.806389, 19.418946, 159.070511, 15.147749, 146.517468, 10.725148, 133.357676, 6.466332, 120.661800, 2.997920, 107.279694, 0.556207, 95.047986, 0.000000, 80.970451, 0.894552, 68.784889, 2.979174, 55.791472, 6.740461, 43.197533, 11.919984, 30.513229, 19.318756, 18.767616, 29.368148, 8.619300, 41.793184, 1.817350, 54.863487, 0.000000, 67.720114, 4.604998, 78.204066, 14.954524, 82.989389, 27.160849, 86.383268, 40.433945, 88.760476, 53.030055, 91.577760, 65.847299, 92.715475, 79.246576, 91.119848, 91.770473, 86.133577, 104.422713, 80.694909, 116.754834, 77.049170, 129.346817, 75.777418, 142.910292, 76.360967, 155.884003, 78.344267, 169.239119, 81.173154, 181.420172, 84.692015, 194.731687, 88.324484, 207.362472, 91.952783, 220.602420, 92.704570, 233.891648, 89.255976, 246.954570, 79.417806, 258.344542, 70.427633, 260.205051, 65.955707, 261.165209
Type02, L, 270, 68.685621, 270.970581, 64.158442, 270.810094, 54.504794, 269.293393, 43.006303, 259.188237, 36.884516, 246.231734, 33.750862, 232.911382, 31.642740, 219.139717, 28.405728, 205.545082, 25.146166, 192.218194, 21.635408, 178.885136, 18.279704, 165.448084, 14.927799, 152.545479, 11.046349, 139.405672, 6.944240, 126.169960, 3.600735, 113.704170, 1.073814, 99.678079, 0.000000, 86.327268, 0.898383, 72.445430, 3.538023, 59.051947, 7.710806, 45.823805, 13.854653, 32.684135, 21.656084, 20.634459, 31.681864, 9.130287, 44.566999, 2.021877, 58.139180, 0.000000, 72.283551, 4.628980, 81.963344, 16.395708, 87.039576, 29.126950, 90.333958, 42.836518, 92.420579, 55.821858, 94.660343, 69.296796, 96.482263, 83.497908, 93.951550, 97.144213, 88.250030, 110.160874, 82.072570, 123.249751, 78.566406, 136.568978, 78.115887, 150.320548, 79.419907, 163.674966, 81.944690, 177.538633, 84.951303, 190.633321, 89.004265, 203.338492, 92.570903, 216.516840, 95.566195, 229.771260, 96.154891, 243.829988, 93.065464, 257.374588, 81.966529, 268.783202, 72.630565, 270.338545, 69.180161, 270.961921
Type03, L, 230, 50.453471, 230.484146, 46.843372, 230.074893, 39.255168, 228.871305, 28.776062, 220.959019, 23.695331, 209.726083, 20.261950, 198.287597, 18.423739, 186.850356, 16.911380, 175.515027, 15.047407, 163.314635, 12.974546, 151.482718, 10.417281, 140.135829, 8.065811, 128.944572, 5.510961, 117.687546, 3.385672, 106.120456, 1.530298, 95.528254, 0.466599, 83.717392, 0.000000, 72.577351, 0.656241, 61.346752, 2.422433, 49.823872, 5.560467, 38.589453, 10.105133, 27.486912, 16.325272, 16.741046, 24.486735, 7.378553, 35.489818, 0.755116, 46.761957, 0.000000, 57.993010, 3.069569, 67.476482, 12.321634, 72.396137, 23.166628, 75.932130, 34.797048, 77.568780, 46.865025, 78.376827, 58.735075, 78.589035, 69.730234, 78.169662, 81.598667, 76.574873, 93.359710, 74.449574, 104.564887, 72.762595, 116.230400, 71.428618, 127.730322, 72.158343, 139.732779, 73.888123, 150.950668, 75.588539, 162.182877, 76.910200, 173.911166, 77.961376, 185.733721, 78.714063, 198.018116, 78.183473, 209.583403, 72.318221, 220.424019, 61.746021, 228.700294, 54.768661, 229.939442, 50.145084, 230.582284
Type03, L, 235, 53.444841, 235.740291, 49.528302, 235.732304, 41.758445, 234.934814, 30.836559, 228.371518, 24.222907, 217.237501, 20.667705, 206.233423, 18.643755, 194.123153, 17.082647, 182.639788, 15.841347, 170.522919, 13.984237, 158.833561, 11.804671, 147.329329, 9.124075, 135.333732, 6.321444, 123.952839, 4.097365, 112.371158, 1.790537, 100.562557, 0.550703, 88.279182, 0.000000, 77.256374, 0.764693, 64.375698, 2.108907, 53.182557, 4.860506, 41.087643, 9.021682, 29.967809, 14.954968, 19.021225, 23.156168, 9.346619, 32.982183, 1.952223, 45.502101, 0.000000, 56.922302, 3.611851, 66.596277, 12.462869, 72.693930, 23.265322, 76.379606, 34.940117, 78.349081, 46.263262, 79.393040, 58.442527, 79.839264, 70.061564, 79.536977, 82.220996, 78.566234, 93.990162, 77.162061, 106.005845, 76.009705, 117.516127, 75.143766, 130.199181, 75.156033, 141.948134, 75.608384, 154.431770, 76.442135, 166.618486, 77.630275, 177.912889, 78.843444, 189.550029, 79.875685, 200.763376, 79.362386, 212.892688, 74.790495, 223.817707, 65.708082, 233.564148, 57.410030, 235.587567, 53.380583, 235.463718
Type03, L, 245, 53.756287, 245.509472, 49.137173, 245.078209, 41.387166, 244.141816, 30.060840, 235.737262, 24.533903, 224.163554, 20.989616, 212.482913, 18.760466, 198.911217, 17.473378, 186.939279, 15.582738, 174.667949, 13.241521, 162.324491, 10.746179, 150.170676, 8.194296, 137.608799, 5.426550, 124.823297, 3.305247, 112.478527, 1.388766, 100.165242, 0.342133, 87.757830, 0.000000, 75.400885, 0.845411, 62.848825, 3.123505, 50.538930, 6.684395, 38.897221, 11.457056, 27.143322, 17.525964, 16.123972, 26.100307, 5.584647, 38.050624, 0.580577, 50.707280, 0.000000, 62.331711, 5.865861, 71.472754, 16.168302, 76.432279, 27.711659, 79.214284, 40.088392, 80.946877, 52.723918, 82.130478, 64.383687, 83.078831, 76.587089, 82.645617, 89.209144, 80.938740, 101.119993, 78.622298, 113.185939, 76.808918, 125.057221, 76.316411, 137.644210, 76.989019, 150.114614, 78.151670, 162.152859, 79.967903, 174.089042, 81.286147, 185.907951, 82.701960, 198.453905, 83.040680, 210.872883, 81.889146, 222.735867, 76.882991, 235.062650, 66.304984, 244.021529, 57.877790, 244.980964, 53.708577, 245.478440
Type03, L, 250, 52.523115, 250.555433, 48.202290, 250.195307, 40.116655, 248.941169, 28.426417, 240.291136, 23.047991, 228.327476, 20.252815, 216.125780, 18.357485, 203.901466, 16.411121, 190.749230, 14.562454, 178.302292, 12.624685, 165.429980, 10.280257, 152.378154, 8.223342, 140.142797, 5.839609, 127.085008, 4.213963, 115.486484, 2.144594, 102.169631, 0.780652, 89.417630, 0.000000, 77.073468, 0.386634, 64.939023, 2.182179, 52.296204, 5.536056, 39.616272, 10.747215, 27.653641, 17.558138, 16.019906, 27.186442, 5.835393, 39.381748, 0.000000, 51.115524, 0.764076, 63.727584, 6.487885, 72.716489, 17.398973, 77.009757, 29.832047, 80.318309, 41.728948, 82.456234, 54.849647, 83.471238, 67.435219, 83.524028, 79.379489, 82.785588, 91.582471, 81.527874, 103.677450, 79.850082, 116.968226, 79.062998, 128.644857, 79.256553, 141.262234, 79.563339, 152.909812, 79.883868, 165.769033, 80.182102, 177.533934, 80.617123, 190.543523, 81.448540, 203.061652, 82.165857, 215.377536, 80.997070, 227.320353, 76.423862, 239.803446, 65.060807, 249.135111, 56.850622, 249.855894, 53.072330, 250.932288
