Type,Base_Size,Points_Count,Time_sec,Inferred_Base_Type,Output_File
Type00,240,40,0.010774900089018047,Type05,Fin_Excel_Data_CTRL40\pred_Data_230_280_RATIO_Type00.csv
Type01,230,40,0.013917599921114743,Type03,Fin_Excel_Data_CTRL40\pred_Data_230_280_RATIO_Type01.csv
Type02,230,40,0.014194499934092164,Type04,Fin_Excel_Data_CTRL40\pred_Data_230_280_RATIO_Type02.csv
Type03,230,40,0.015472200000658631,Type06,Fin_Excel_Data_CTRL40\pred_Data_230_280_RATIO_Type03.csv
Type04,230,40,0.015368400025181472,Type06,Fin_Excel_Data_CTRL40\pred_Data_230_280_RATIO_Type04.csv
Type05,240,40,0.014155699987895787,Type00,Fin_Excel_Data_CTRL40\pred_Data_230_280_RATIO_Type05.csv
Type06,230,40,0.012650500051677227,Type03,Fin_Excel_Data_CTRL40\pred_Data_230_280_RATIO_Type06.csv
Type07,250,40,0.011362800025381148,Type00,Fin_Excel_Data_CTRL40\pred_Data_230_280_RATIO_Type07.csv
