Merge_Step,Cluster_Idx_1,Cluster_Idx_2,Ward_Distance,Member_Count
1,3.0000,6.0000,1.1642,2.0000
2,1.0000,8.0000,3.3359,3.0000
3,0.0000,4.0000,3.3471,2.0000
4,5.0000,10.0000,4.4138,3.0000
5,9.0000,11.0000,5.2727,6.0000
6,2.0000,12.0000,5.7938,7.0000
7,7.0000,13.0000,7.8786,8.0000
