,Type00,Type01,Type02,Type03,Type04,Type05,Type06,Type07
Type00,0.0000,4.2442,5.7784,4.3602,3.2992,4.4661,4.1023,3.7295
Type01,4.2442,0.0000,6.7361,2.8970,3.7449,5.4496,3.0531,7.4337
Type02,5.7784,6.7361,0.0000,4.5272,4.1549,4.7620,4.2733,7.8333
Type03,4.3602,2.8970,4.5272,0.0000,3.1656,3.7031,1.1706,7.4289
Type04,3.2992,3.7449,4.1549,3.1656,0.0000,4.0228,3.2301,6.0221
Type05,4.4661,5.4496,4.7620,3.7031,4.0228,0.0000,4.1759,5.6432
Type06,4.1023,3.0531,4.2733,1.1706,3.2301,4.1759,0.0000,7.3248
Type07,3.7295,7.4337,7.8333,7.4289,6.0221,5.6432,7.3248,0.0000
