type, side, size, x1, y1, x2, y2, x3, y3, x4, y4, x5, y5, x6, y6, x7, y7, x8, y8, x9, y9, x10, y10, x11, y11, x12, y12, x13, y13, x14, y14, x15, y15, x16, y16, x17, y17, x18, y18, x19, y19, x20, y20, x21, y21, x22, y22, x23, y23, x24, y24, x25, y25, x26, y26, x27, y27, x28, y28, x29, y29, x30, y30, x31, y31, x32, y32, x33, y33, x34, y34
Type01, L, 280, 58.964268, 282.293597, 52.637789, 282.425983, 37.225178, 279.143870, 25.640693, 259.196436, 22.656503, 239.400359, 19.322597, 218.222382, 16.555710, 198.809513, 12.902272, 177.914572, 9.037593, 158.050706, 4.999550, 137.964531, 1.419460, 118.109513, 0.000000, 97.215772, 1.450258, 77.413146, 5.614647, 57.919548, 12.418872, 39.115588, 21.947713, 19.573268, 38.463678, 3.897811, 60.140822, 0.000000, 79.024293, 13.734988, 86.059550, 33.595062, 89.196525, 53.677722, 91.364034, 73.287994, 89.461161, 94.080501, 87.520009, 113.652454, 86.808750, 134.543130, 87.291882, 154.754839, 90.220425, 175.121220, 90.952308, 194.485662, 89.210873, 215.033257, 89.598928, 236.447078, 88.667814, 255.252494, 80.672056, 275.748397, 65.484578, 282.428021, 59.636219, 281.441532
Type01, L, 290, 60.145619, 292.154248, 53.557472, 292.476254, 38.253776, 288.529188, 25.840949, 267.834135, 24.177188, 247.649648, 19.814050, 226.245889, 17.270003, 206.124561, 14.647676, 184.595291, 11.155230, 164.646863, 6.301430, 143.310101, 2.161577, 122.092167, 0.000000, 101.170040, 1.062581, 79.613456, 5.319024, 58.928896, 13.025900, 38.612790, 23.216438, 19.089389, 40.398353, 3.494526, 62.174046, 0.000000, 81.523222, 13.961090, 88.315142, 35.110195, 92.350322, 55.507831, 95.131232, 76.195119, 92.535811, 98.733898, 91.640700, 117.257666, 91.776871, 139.657201, 92.653217, 160.949050, 93.631719, 181.296817, 94.240713, 202.381031, 94.238446, 223.609699, 92.770814, 243.343072, 90.442787, 264.827981, 82.960908, 285.447312, 66.545712, 292.398857, 60.880614, 291.450866
Type02, L, 230, 62.969458, 231.881314, 57.932623, 231.717097, 45.072166, 228.772361, 34.774659, 212.965394, 30.882700, 196.474331, 27.201979, 179.425635, 23.696700, 163.093051, 19.290348, 146.043919, 14.122055, 129.794687, 7.747431, 113.498676, 2.512687, 97.177698, 0.000000, 79.540839, 0.654325, 63.083941, 3.989993, 46.159954, 9.876991, 29.946557, 19.739294, 13.675784, 34.953205, 3.979332, 52.243431, 0.000000, 69.249831, 7.889253, 78.055605, 24.967519, 82.585792, 40.372852, 85.382566, 58.133250, 87.723650, 74.426964, 82.340218, 91.539810, 75.859388, 107.936413, 70.989815, 125.297555, 73.011784, 142.833468, 77.537242, 159.369988, 82.715511, 175.991035, 86.230823, 191.657792, 87.631334, 209.038379, 80.800169, 226.774799, 68.158583, 232.138923, 63.335539, 231.621252
Type02, L, 250, 65.462650, 252.009315, 71.274598, 252.386610, 84.992231, 245.688999, 89.310493, 226.968355, 87.384586, 208.789020, 82.192603, 191.660625, 75.948432, 173.531349, 72.526861, 156.145227, 70.028449, 137.410126, 74.761336, 119.366130, 83.132709, 101.633046, 89.386907, 83.435865, 87.658060, 65.516499, 84.649259, 47.062782, 80.924653, 29.537256, 73.998717, 10.828173, 55.303703, 0.000000, 36.591178, 4.016899, 20.452123, 16.791029, 10.718708, 34.240459, 4.073025, 51.851519, 0.000000, 69.885909, 0.997703, 87.853126, 4.872554, 104.940171, 9.833133, 122.500861, 15.200938, 140.530570, 20.874710, 159.181146, 25.688001, 176.424955, 29.489842, 195.113158, 32.590855, 213.763687, 36.110927, 230.580045, 45.525176, 249.257389, 59.865930, 252.786768, 64.974756, 251.793911
Type02, L, 260, 66.352417, 261.717869, 60.761456, 262.183519, 47.304845, 256.662485, 36.350171, 238.577694, 32.114952, 220.168813, 29.455654, 200.398764, 25.803831, 182.807595, 20.965883, 164.082602, 14.737186, 145.105831, 8.267655, 126.410698, 2.793776, 107.651910, 0.000000, 88.680198, 0.897205, 69.686985, 4.342700, 51.540181, 11.135241, 32.868528, 21.902059, 15.739931, 38.994813, 3.000343, 58.104039, 0.000000, 76.577177, 11.398690, 84.299588, 29.897512, 87.937267, 48.633563, 92.060593, 67.146208, 93.437190, 86.362554, 86.987539, 104.438170, 78.734693, 122.362190, 75.790044, 141.392977, 76.839503, 160.912052, 80.598463, 179.189166, 85.511126, 197.924995, 91.313525, 216.730474, 93.928453, 235.964068, 86.027390, 255.338722, 72.568831, 261.792971, 66.350005, 261.329008
Type02, L, 270, 68.744384, 272.026457, 62.212578, 272.297956, 47.765906, 267.514398, 36.542540, 248.618874, 33.265903, 229.283334, 29.284711, 209.124761, 24.271625, 190.023857, 19.267058, 170.327998, 14.557722, 151.636176, 8.464327, 132.303562, 3.304154, 113.942999, 0.000000, 93.844948, 0.601444, 74.126539, 4.808701, 54.454930, 12.708976, 35.606131, 24.198733, 17.317786, 41.063413, 3.416438, 61.824927, 0.000000, 80.562921, 12.530323, 87.956380, 32.364875, 91.663883, 51.433550, 94.931048, 70.748960, 96.933820, 91.525164, 88.696293, 110.444265, 79.772041, 129.417184, 77.660134, 149.164738, 80.054081, 168.869998, 84.010306, 188.600267, 89.832395, 206.874489, 94.893392, 226.167729, 97.127546, 246.073980, 89.608010, 266.359463, 73.976148, 272.131536, 69.483339, 271.530757
Type03, L, 230, 50.442435, 231.417465, 45.681368, 231.140088, 33.019328, 227.923270, 23.486512, 211.875565, 19.486836, 195.116207, 17.279177, 178.827871, 14.725125, 161.146421, 11.266673, 144.242082, 7.673726, 128.256812, 4.141323, 111.437655, 1.443370, 95.719007, 0.000000, 78.808947, 0.474766, 62.778319, 3.319877, 45.958979, 9.341581, 29.892162, 18.130118, 14.156642, 32.731306, 2.096153, 49.449698, 0.000000, 65.599616, 9.173182, 73.482583, 25.703042, 77.358802, 42.668691, 78.451452, 60.172039, 78.837823, 76.193551, 76.822648, 93.738091, 73.802725, 109.916290, 71.320399, 126.916451, 72.479016, 144.054448, 75.370660, 160.199938, 77.250381, 177.010233, 78.569948, 194.703620, 79.030385, 211.794798, 67.517146, 227.240250, 56.092152, 231.284806, 50.712348, 231.164623
Type03, L, 235, 53.479158, 236.673535, 48.131125, 236.706160, 35.827799, 234.755986, 24.034817, 219.571565, 19.827914, 202.846412, 17.408969, 185.781125, 15.565906, 168.357443, 12.677653, 151.691303, 8.701377, 134.299861, 4.937173, 118.049216, 1.724997, 100.443241, 0.000000, 83.625850, 0.593516, 66.006636, 2.964523, 48.944860, 8.100236, 32.118534, 17.134288, 16.553221, 30.272788, 3.361452, 48.347805, 0.000000, 64.499815, 9.529079, 73.898777, 25.804846, 77.941077, 42.351919, 79.607316, 59.652354, 80.033820, 76.812409, 78.778064, 94.369651, 76.727011, 111.208904, 75.203167, 128.986572, 75.231055, 146.504744, 76.224986, 164.555831, 77.916780, 181.182013, 79.782631, 197.671501, 80.006535, 214.834309, 71.251374, 231.049615, 59.387566, 237.057026, 53.432634, 236.108836
Type03, L, 245, 53.789856, 245.717327, 47.969382, 245.722497, 34.863436, 242.156621, 24.419945, 225.894387, 20.119827, 208.012270, 17.846243, 189.225049, 15.330294, 171.926207, 11.626978, 153.957432, 7.902622, 135.916884, 4.097987, 117.398624, 1.422574, 99.725243, 0.000000, 81.669880, 0.724866, 63.566309, 4.344620, 45.694179, 10.831091, 29.244481, 19.388332, 12.113225, 35.020522, 0.429370, 53.915976, 0.000000, 69.820331, 12.470576, 77.531884, 29.463706, 80.494721, 47.909136, 82.460447, 65.045905, 83.506332, 82.963203, 81.391325, 100.874242, 77.745741, 117.879293, 76.248245, 135.866080, 77.327151, 154.045207, 79.587697, 171.288185, 81.917716, 188.494204, 83.361083, 206.953738, 82.575871, 224.148812, 72.910616, 242.106976, 59.544667, 245.661841, 54.129117, 245.421185
Type03, L, 250, 52.364705, 250.842698, 46.846680, 250.644242, 33.116455, 247.184249, 22.496311, 229.729790, 19.657201, 212.348196, 16.652368, 193.655546, 14.117351, 175.310451, 10.987741, 156.562209, 7.658907, 138.072709, 4.745268, 120.359951, 2.030859, 101.884816, 0.000000, 83.058751, 0.086151, 65.889039, 2.973465, 47.080374, 9.660711, 29.503918, 19.650163, 12.361607, 36.330557, 0.000000, 54.083913, 0.744655, 71.394257, 13.349699, 77.603330, 31.776247, 81.898544, 49.384155, 83.616519, 68.456378, 83.327130, 85.385252, 81.645832, 103.372458, 79.115342, 121.962583, 79.091941, 139.275448, 79.652360, 157.133243, 80.022578, 174.842033, 80.645505, 193.183802, 82.040349, 211.573159, 81.658014, 228.641157, 72.099983, 247.203310, 57.855476, 250.594917, 53.471761, 250.758591
