Model,Cluster_ID,RMSE,MAE,Hausdorff_max,Chamfer_mean,Length_Error,Width_Error,Size_Error,Area_Error,IoU,Dice,EMD
PCA_KRR,1,9.66285,8.84469,2.73958,0.88356,3.25853,0.65634,1.19115,272.49088,0.95690,0.97793,0.00000
PCA_KRR,2,9.45424,8.70661,1.64273,0.61097,3.88259,0.85118,0.36885,261.68301,0.96781,0.98362,0.00000
PCA_KRR,3,9.34948,8.58916,1.32522,0.42551,4.45037,0.71071,0.76448,232.44049,0.97856,0.98916,0.00000
PCA_KRR,4,9.71290,8.95231,1.59157,0.33423,4.03747,0.69590,0.22037,245.88679,0.98516,0.99252,0.00000
PCA_LINEAR,1,10.02997,9.17470,5.17551,1.78974,2.39352,0.73467,0.79154,480.45257,0.92538,0.96110,0.00000
PCA_LINEAR,2,10.07002,9.23160,7.28432,2.19167,18.52935,1.80376,5.41257,736.40841,0.91028,0.95288,0.00000
PCA_LINEAR,3,7.78984,6.91127,10.31264,2.57623,34.88805,1.99846,10.30487,942.59805,0.89901,0.94680,0.00000
PCA_LINEAR,4,19.99425,19.77453,21.08338,4.95060,55.86172,4.39153,21.08338,1896.49326,0.83840,0.91206,0.00000
PCA_SVR,1,9.75274,8.95039,2.98203,0.92931,4.86001,0.72360,1.81715,251.35324,0.95612,0.97750,0.00000
PCA_SVR,2,9.41312,8.68371,1.87984,0.55922,4.93116,0.72026,1.06517,255.64497,0.97258,0.98608,0.00000
PCA_SVR,3,9.11134,8.37899,3.31199,0.80333,7.60328,0.66250,1.45940,329.10226,0.96491,0.98205,0.00000
PCA_SVR,4,9.94251,9.25937,1.60544,0.48735,3.48986,0.56685,1.53260,188.59227,0.97610,0.98790,0.00000
PURE_GPR,1,9.57534,8.75180,2.71753,0.92185,3.29989,0.64248,0.94504,263.36078,0.95465,0.97676,0.00000
PURE_GPR,2,9.45446,8.70814,1.76581,0.66560,3.96929,0.88564,0.38068,270.30239,0.96692,0.98315,0.00000
PURE_GPR,3,9.32745,8.55603,1.43686,0.47545,4.52718,0.80826,0.49888,235.51961,0.97537,0.98753,0.00000
PURE_GPR,4,9.70794,8.94391,1.58804,0.30199,4.02589,0.69680,0.00599,246.28563,0.98706,0.99349,0.00000
PURE_KRR,1,9.55561,8.73177,2.67511,0.88198,3.31896,0.61319,0.94089,260.99025,0.95670,0.97782,0.00000
PURE_KRR,2,9.44349,8.69621,1.60960,0.58706,3.87754,0.83370,0.31030,260.75522,0.96897,0.98421,0.00000
PURE_KRR,3,9.34958,8.58511,1.30109,0.40105,4.43650,0.70104,0.64653,230.69140,0.98002,0.98991,0.00000
PURE_KRR,4,9.71063,8.94904,1.59211,0.31871,4.01199,0.69653,0.17643,246.11545,0.98608,0.99299,0.00000
PURE_SVR,1,9.67931,8.83748,2.73035,0.87032,3.59482,0.64197,0.80877,273.73016,0.95952,0.97927,0.00000
PURE_SVR,2,9.45979,8.70723,1.76003,0.57396,3.92073,0.86476,0.22244,301.65824,0.97259,0.98607,0.00000
PURE_SVR,3,9.41786,8.68286,1.23700,0.36628,3.41113,0.73893,0.44111,218.03217,0.98097,0.99039,0.00000
PURE_SVR,4,9.70825,8.94711,1.59000,0.31448,3.89813,0.72085,0.10398,240.67071,0.98608,0.99299,0.00000
RATIO_CTRL,1,3.62197,3.31751,4.63141,1.70602,3.37176,3.06891,0.81676,610.93808,0.93843,0.96813,0.00000
RATIO_CTRL,2,2.84599,2.52825,4.77389,1.70220,4.48807,2.99342,0.43357,675.88335,0.93779,0.96764,0.00000
RATIO_CTRL,3,4.52125,3.72519,7.40254,3.03920,8.36336,5.88863,0.49536,1337.86962,0.88892,0.94117,0.00000
RATIO_CTRL,4,1.57404,1.44177,2.51658,0.86704,1.86900,1.32984,0.17515,419.54725,0.96266,0.98076,0.00000
