Type,Base_Size,Matched_Type,Time_sec,Points
Type00,240,Self (Ratio),8.9e-05,40
Type01,230,Self (Ratio),8.9e-05,40
Type02,230,Self (Ratio),0.000117,40
Type03,230,Self (Ratio),7.5e-05,40
Type04,230,Self (Ratio),8.2e-05,40
Type05,240,Self (Ratio),8.3e-05,40
Type06,230,Self (Ratio),8.7e-05,40
Type07,250,Self (Ratio),8.1e-05,40
