Type,Base_Size,Matched_Type,Time_sec,Points
Type00,240,Type05,0.0502,40
Type01,230,Type03,0.1908,40
Type02,230,Type04,0.161,40
Type03,230,Type06,0.0714,40
Type04,230,Type06,0.0694,40
Type05,240,Type00,0.0648,40
Type06,230,Type03,0.192,40
Type07,250,Type00,0.0642,40
