type, side, size, x1, y1, x2, y2, x3, y3, x4, y4, x5, y5, x6, y6, x7, y7, x8, y8, x9, y9, x10, y10, x11, y11, x12, y12, x13, y13, x14, y14, x15, y15, x16, y16, x17, y17, x18, y18, x19, y19, x20, y20, x21, y21, x22, y22, x23, y23, x24, y24, x25, y25, x26, y26, x27, y27, x28, y28, x29, y29, x30, y30, x31, y31
Type01, L, 280, 59.005302, 283.069103, 52.137747, 283.611205, 34.640992, 278.496847, 24.703679, 255.735825, 21.708859, 233.513057, 18.199056, 210.550471, 14.842670, 188.731136, 10.454976, 165.695943, 6.148921, 143.995352, 1.799074, 121.733314, 0.000000, 98.898615, 1.600715, 76.720399, 6.688622, 55.470612, 14.639503, 34.359002, 27.279174, 13.220961, 48.970314, 0.000000, 73.266125, 7.011054, 85.433063, 28.912416, 88.540890, 50.830482, 91.675629, 72.797965, 89.412281, 95.560832, 87.396249, 117.425762, 86.790684, 140.529766, 88.096970, 162.855812, 91.506491, 185.142969, 89.769934, 206.582158, 89.444846, 230.812238, 89.464044, 252.025376, 82.826662, 274.514425, 66.443307, 283.712593, 59.576110, 282.034518
Type01, L, 290, 60.133811, 293.072542, 53.145133, 293.813063, 35.368980, 287.885904, 25.133375, 264.412188, 23.158975, 241.808991, 18.376843, 218.556396, 16.116072, 195.657024, 12.645952, 172.587605, 7.623048, 149.910886, 2.600256, 125.926803, 0.000000, 102.992684, 1.128582, 79.046602, 6.481566, 56.239167, 15.441362, 33.895891, 28.823390, 12.853252, 50.949457, 0.000000, 75.576134, 7.144175, 87.730176, 30.225668, 91.373571, 52.783383, 95.527416, 75.691708, 92.394428, 100.384276, 91.664052, 121.165530, 91.940347, 146.203526, 93.119351, 169.309512, 93.999797, 191.734372, 94.493496, 215.900237, 93.481607, 237.808196, 91.142674, 261.090831, 85.148813, 284.720052, 67.576001, 293.558693, 60.719921, 292.362797
Type02, L, 230, 62.999238, 230.874639, 57.428566, 230.958173, 42.995245, 226.682435, 33.620775, 208.450483, 29.769802, 190.055373, 25.763811, 171.409790, 21.538357, 153.091737, 16.167413, 134.459259, 9.424701, 116.702423, 2.994921, 98.577636, 0.000000, 79.287627, 0.689026, 60.803243, 4.878586, 42.405571, 11.895365, 24.006002, 25.225320, 7.730895, 43.263992, 0.000000, 63.489253, 1.353932, 76.654206, 19.267507, 81.913456, 36.534880, 85.362010, 55.862073, 87.806996, 74.120175, 81.626204, 92.982724, 74.009598, 111.058990, 70.881652, 130.866177, 74.954963, 149.447338, 80.667116, 168.142413, 85.374930, 185.545139, 87.963347, 204.087089, 82.767880, 224.382169, 68.813953, 231.345758, 63.325967, 230.577638
Type02, L, 250, 65.559418, 251.979264, 72.226496, 252.493674, 86.898794, 244.048799, 89.365132, 222.818590, 86.452009, 203.321830, 79.240638, 183.922681, 74.108700, 164.210391, 70.409548, 144.255117, 72.694891, 123.671912, 82.278444, 104.246662, 89.553869, 84.089780, 87.838824, 64.161659, 83.859972, 43.912090, 80.433699, 24.280567, 68.042416, 4.283042, 45.534070, 0.000000, 26.260174, 10.783913, 12.780967, 29.041866, 5.324514, 48.733718, 0.000000, 68.557224, 1.148151, 88.495405, 5.636562, 107.411184, 11.253944, 126.866237, 17.366531, 147.266146, 23.442330, 167.321174, 28.126151, 186.675396, 31.787434, 208.252972, 35.161173, 226.691793, 43.551934, 247.686567, 59.268565, 253.276727, 65.199415, 251.520593
Type02, L, 260, 66.433746, 262.424980, 60.156584, 263.150721, 45.312501, 255.794226, 34.933638, 235.483296, 31.359661, 214.569569, 28.150041, 193.284033, 23.512098, 173.947180, 17.174404, 152.395427, 9.886528, 131.944629, 3.417962, 111.032765, 0.000000, 90.136617, 0.961796, 69.093756, 5.362338, 49.006485, 13.418033, 28.351326, 28.004747, 10.571121, 48.315248, 0.000000, 70.480548, 5.731871, 83.569028, 25.215539, 87.094639, 46.088422, 92.024573, 66.530246, 93.727180, 87.800492, 85.750553, 107.749708, 77.289295, 127.644718, 75.756070, 149.231349, 78.337793, 170.270703, 83.331785, 190.497178, 89.529689, 211.492372, 94.474836, 232.415312, 88.106046, 254.429128, 73.390879, 262.712062, 66.375375, 261.979476
Type02, L, 270, 68.760654, 272.584142, 61.536233, 273.164305, 45.466843, 266.560350, 35.335551, 245.131057, 32.365045, 223.387966, 27.184171, 201.501096, 21.536769, 180.065458, 16.390163, 158.883056, 10.086022, 137.726707, 3.835575, 117.207449, 0.000000, 95.264541, 0.608986, 73.261456, 5.911402, 51.635609, 15.359186, 30.860098, 30.080119, 11.362356, 50.920374, 0.000000, 74.796058, 5.945979, 87.005494, 27.428628, 90.965512, 48.637532, 94.805471, 69.883908, 97.194905, 92.913932, 87.182613, 113.666746, 78.241279, 134.962861, 78.217371, 156.719147, 81.601768, 178.869021, 87.224603, 199.670546, 93.586069, 220.423208, 97.363725, 242.282524, 91.960424, 265.239312, 74.716962, 273.040145, 69.382746, 271.973100
Type03, L, 230, 50.457673, 232.151234, 45.084199, 232.020095, 31.111029, 227.650922, 22.225396, 208.851302, 18.643971, 190.755616, 16.376193, 172.188964, 12.950500, 152.508180, 8.957505, 134.880558, 4.981438, 116.319676, 1.690597, 98.741640, 0.000000, 80.228093, 0.437945, 62.336055, 4.152982, 43.761543, 11.246976, 26.146802, 23.089318, 9.042942, 40.916162, 0.000000, 60.071432, 4.585456, 72.335111, 21.549574, 76.799422, 40.343798, 78.579519, 59.738422, 78.810712, 77.583229, 76.515757, 96.911282, 72.945576, 114.753497, 71.115300, 133.935910, 73.862681, 152.391033, 76.703744, 170.340907, 77.956748, 189.792104, 79.908512, 209.015339, 69.930312, 226.802191, 56.300474, 232.245475, 50.988405, 231.795865
Type03, L, 235, 53.546516, 237.160798, 47.719269, 237.415668, 33.777920, 234.396377, 22.611300, 216.456914, 19.016909, 198.018358, 16.726695, 178.747905, 14.355526, 159.974343, 10.271000, 141.002419, 5.876708, 122.613241, 2.193076, 103.596816, 0.000000, 84.643582, 0.752731, 65.380942, 3.574831, 46.328569, 10.271378, 28.090757, 21.557668, 11.134372, 38.943056, 0.000000, 59.226588, 4.622093, 72.227192, 21.486571, 77.647805, 39.918735, 79.662344, 58.868608, 80.170627, 78.023222, 78.625223, 97.286400, 76.283408, 116.105624, 75.080346, 135.759431, 75.653133, 155.429870, 77.229889, 174.839562, 79.243165, 192.730549, 80.817371, 211.691528, 73.297566, 230.173112, 60.049185, 237.675341, 53.575832, 236.624892
Type03, L, 245, 53.798165, 247.610363, 47.392923, 247.972838, 32.795859, 242.764094, 23.121966, 224.319987, 19.167489, 203.717660, 17.090207, 183.791236, 13.381459, 164.268158, 9.322021, 144.449005, 4.967554, 123.893933, 1.700261, 104.196828, 0.000000, 84.333220, 0.736308, 64.157788, 5.347515, 44.654903, 12.771120, 26.334068, 24.345917, 8.047538, 44.566356, 0.000000, 64.612251, 8.041392, 76.472091, 26.478317, 80.062080, 46.533817, 82.432798, 65.872344, 83.620858, 85.513811, 80.967942, 105.358621, 76.963133, 124.143481, 76.383332, 144.410272, 78.280385, 164.206670, 81.056509, 182.809275, 83.063082, 203.112208, 83.476924, 222.348508, 75.122303, 242.560031, 60.146939, 248.052171, 54.183531, 247.111576
Type03, L, 250, 52.379536, 252.620804, 46.359056, 252.695696, 30.809170, 247.706980, 21.522985, 227.738164, 18.815693, 208.378142, 15.542261, 187.506559, 12.634554, 167.207252, 8.819231, 146.357435, 5.486477, 126.602480, 2.408956, 106.502120, 0.065054, 85.440831, 0.000000, 66.514500, 4.002754, 45.514848, 11.666682, 26.528621, 25.669347, 7.733834, 44.920664, 0.000000, 65.896105, 8.645088, 76.939594, 28.432558, 81.070206, 47.909066, 83.874985, 69.037243, 83.320266, 87.779136, 81.341589, 107.902390, 78.774823, 128.226229, 79.412841, 147.359166, 79.860263, 167.276002, 80.310158, 186.890273, 81.590082, 207.838026, 82.518918, 226.559569, 74.406874, 247.529430, 58.487254, 252.847854, 53.465308, 252.290066
