,Type00,Type01,Type02,Type03,Type04,Type05,Type06,Type07
Type00,0.0000,4.3034,5.9424,4.4957,3.3105,4.4694,4.1235,3.8806
Type01,4.3034,0.0000,6.7973,2.9539,3.8249,5.5041,3.1120,7.6073
Type02,5.9424,6.7973,0.0000,4.2933,4.2533,4.7779,4.3879,7.9332
Type03,4.4957,2.9539,4.2933,0.0000,3.0671,3.7792,1.3327,7.6027
Type04,3.3105,3.8249,4.2533,3.0671,0.0000,4.1939,3.2189,6.0666
Type05,4.4694,5.5041,4.7779,3.7792,4.1939,0.0000,4.2487,5.6251
Type06,4.1235,3.1120,4.3879,1.3327,3.2189,4.2487,0.0000,7.4472
Type07,3.8806,7.6073,7.9332,7.6027,6.0666,5.6251,7.4472,0.0000
