Merge_Step,Cluster_Idx_1,Cluster_Idx_2,Ward_Distance,Member_Count
1,3.0000,6.0000,1.3327,2.0000
2,0.0000,4.0000,3.3105,2.0000
3,1.0000,8.0000,3.4178,3.0000
4,5.0000,9.0000,4.6249,3.0000
5,10.0000,11.0000,5.2931,6.0000
6,2.0000,12.0000,5.9332,7.0000
7,7.0000,13.0000,8.1096,8.0000
