Type,Cluster_ID,size,Model,RMSE,MAE,Hausdorff_max,Chamfer_mean,Length_Error,Width_Error,Size_Error,Area_Error,IoU,Dice,EMD
Type00,2,240,PCA_KRR,9.51930,8.82223,1.56411,0.49317,1.81746,0.67077,0.87778,40.25139,0.97917,0.98947,0.00000
Type00,2,240,PCA_LINEAR,7.56730,6.75078,10.16073,2.50168,36.13386,3.12373,10.16073,1207.28464,0.90274,0.94889,0.00000
Type00,2,240,PCA_SVR,9.65795,9.04268,1.49711,0.44946,0.30556,0.45835,1.40482,22.23205,0.97778,0.98877,0.00000
Type00,2,240,PURE_GPR,9.52269,8.82754,1.67538,0.50507,3.17469,0.87187,0.68325,139.11837,0.97433,0.98700,0.00000
Type00,2,240,PURE_KRR,9.45817,8.76126,1.49947,0.47697,2.08766,0.65920,0.74791,45.90280,0.97865,0.98921,0.00000
Type00,2,240,PURE_SVR,8.80390,8.12265,1.24796,0.30546,2.32801,0.70744,0.55128,147.05323,0.98710,0.99351,0.00000
Type00,2,240,RATIO_CTRL,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,1.00000,0.00000
Type00,2,245,PCA_KRR,8.82772,8.07645,1.99163,0.74107,5.87966,1.10984,0.48580,492.99564,0.96548,0.98244,0.00000
Type00,2,245,PCA_LINEAR,7.78297,6.87904,10.57931,2.63283,36.89210,3.01089,10.57931,1454.16954,0.89957,0.94713,0.00000
Type00,2,245,PCA_SVR,8.52908,7.78412,1.88907,0.61168,8.92597,1.19827,1.37537,425.57823,0.97374,0.98669,0.00000
Type00,2,245,PURE_GPR,8.64855,7.92950,1.71894,0.72807,4.28701,0.95489,0.50872,445.46927,0.96979,0.98466,0.00000
Type00,2,245,PURE_KRR,8.84328,8.10311,2.01610,0.71471,5.71724,1.11786,0.38302,482.21126,0.96805,0.98377,0.00000
Type00,2,245,PURE_SVR,8.78401,8.05898,2.77846,0.96310,4.71063,1.33780,0.11939,609.76316,0.96115,0.98019,0.00000
Type00,2,245,RATIO_CTRL,2.43544,2.29248,2.81480,1.19224,0.00616,0.72911,0.38271,92.74180,0.94923,0.97395,0.00000
Type00,2,255,PCA_KRR,9.56600,8.67631,1.72783,0.71833,5.51796,0.43054,0.82776,9.81165,0.96159,0.98042,0.00000
Type00,2,255,PCA_LINEAR,8.04477,7.18647,11.10798,2.90480,37.99272,2.17450,11.10798,852.84719,0.89066,0.94217,0.00000
Type00,2,255,PCA_SVR,9.37674,8.52463,1.29916,0.45982,6.60421,0.96622,0.87116,270.54227,0.97736,0.98855,0.00000
Type00,2,255,PURE_GPR,9.36843,8.55079,2.09970,0.81268,4.33495,0.18149,0.55062,123.71200,0.95729,0.97818,0.00000
Type00,2,255,PURE_KRR,9.57830,8.70753,1.65967,0.68927,5.21719,0.43895,0.69401,11.26809,0.96298,0.98114,0.00000
Type00,2,255,PURE_SVR,9.67583,8.86313,1.38134,0.40716,4.27614,0.62997,0.06082,145.90297,0.97814,0.98895,0.00000
Type00,2,255,RATIO_CTRL,3.31918,2.68538,6.95477,2.06800,0.27793,2.74888,0.83347,830.66822,0.92262,0.95975,0.00000
Type00,2,265,PCA_KRR,10.49430,9.61175,2.45775,1.11482,4.89424,2.04872,1.05613,705.79897,0.95071,0.97473,0.00000
Type00,2,265,PCA_LINEAR,9.20440,7.97075,10.53991,2.90471,39.86452,4.23723,9.97674,1777.03733,0.89378,0.94391,0.00000
Type00,2,265,PCA_SVR,10.07133,9.25365,2.01930,0.35297,3.62216,0.87657,0.34762,258.26543,0.98386,0.99186,0.00000
Type00,2,265,PURE_GPR,11.30328,10.48634,3.08386,1.08016,6.00156,2.04536,1.56795,715.28058,0.95371,0.97631,0.00000
Type00,2,265,PURE_KRR,10.38930,9.52629,2.40970,1.12227,5.12336,2.04171,0.88254,718.78983,0.95175,0.97528,0.00000
Type00,2,265,PURE_SVR,10.44581,9.44796,2.84276,1.09123,4.74252,1.66636,1.18832,686.77987,0.95088,0.97482,0.00000
Type00,2,265,RATIO_CTRL,3.70569,3.58006,5.01360,1.97208,0.35413,1.83211,0.36740,246.96797,0.92650,0.96185,0.00000
Type00,2,270,PCA_KRR,9.91628,9.15521,2.79131,1.03743,1.43879,0.06674,0.03440,273.97999,0.95529,0.97713,0.00000
Type00,2,270,PCA_LINEAR,7.83981,6.93959,10.95617,2.81038,34.59398,2.17974,10.95617,910.75842,0.89911,0.94688,0.00000
Type00,2,270,PCA_SVR,9.79378,9.04108,1.27798,0.35560,1.88122,0.55722,1.13436,135.33000,0.97924,0.98951,0.00000
Type00,2,270,PURE_GPR,9.92789,9.14982,2.76484,1.01047,1.94205,0.06364,0.10130,261.54642,0.95738,0.97822,0.00000
Type00,2,270,PURE_KRR,9.90258,9.11869,2.75506,1.03107,1.63805,0.07094,0.13203,268.83305,0.95562,0.97731,0.00000
Type00,2,270,PURE_SVR,9.67799,8.95538,3.69495,1.28237,1.04760,0.65257,0.17022,445.14525,0.95179,0.97530,0.00000
Type00,2,270,RATIO_CTRL,4.66074,4.13439,7.83070,3.09024,5.35583,4.43347,0.54863,1290.39257,0.89590,0.94509,0.00000
Type00,2,275,PCA_KRR,10.30636,9.47684,1.65842,0.78563,7.49246,1.29652,0.94519,556.74050,0.96095,0.98009,0.00000
Type00,2,275,PCA_LINEAR,8.55409,7.69886,10.95990,2.90740,36.76224,3.38463,10.95990,1807.45605,0.90184,0.94839,0.00000
Type00,2,275,PCA_SVR,9.12671,8.19743,4.59269,1.10215,15.21181,1.24907,1.38501,738.24457,0.95996,0.97957,0.00000
