Type,size,GPR_RMSE,GPR_Hausdorff_max,GPR_Chamfer_mean,GPR_Length_Error,KRR_RMSE,KRR_Hausdorff_max,KRR_Chamfer_mean,KRR_Length_Error,PCA_RMSE,PCA_Hausdorff_max,PCA_Chamfer_mean,PCA_Length_Error,RATIO_CTRL_RMSE,RATIO_CTRL_Hausdorff_max,RATIO_CTRL_Chamfer_mean,RATIO_CTRL_Length_Error,RATIO_OUTLINE_RMSE,RATIO_OUTLINE_Hausdorff_max,RATIO_OUTLINE_Chamfer_mean,RATIO_OUTLINE_Length_Error,SVR_RMSE,SVR_Hausdorff_max,SVR_Chamfer_mean,SVR_Length_Error
Type00,240,4.38672,0.95790,0.23846,0.84725,5.16635,0.50702,0.15963,0.34721,5.18163,1.24530,0.55619,3.23006,0.00000,0.00000,0.00000,0.00000,9.06791,5.06985,0.29731,13.21470,5.04247,0.50810,0.15178,0.84534
Type00,245,3.94662,3.16639,1.15727,5.83655,4.48268,3.21433,1.14966,5.85476,4.90894,3.24386,1.00666,3.17334,2.46943,2.74393,1.15179,0.35765,9.94815,5.19466,1.07532,13.13236,4.46084,3.22793,1.14265,5.67561
Type00,255,5.45767,6.37535,1.57388,6.79710,5.64793,6.62876,1.59233,5.18280,5.80410,5.33617,1.25943,2.60986,3.38120,7.03047,2.11818,1.47260,10.66927,6.92698,2.10820,12.56802,5.76469,6.74889,1.58700,4.33473
Type00,265,7.37974,8.38853,2.46978,5.97909,7.82838,8.48330,2.50528,4.06377,6.88103,3.31460,1.37350,4.43856,3.65169,4.91134,1.90789,0.17069,9.72660,5.72700,1.84722,14.42054,7.80458,8.55735,2.49573,4.74160
Type00,270,68.37810,7.74942,1.87460,0.65190,68.36846,7.48460,1.88570,1.89506,69.08575,5.60955,1.26591,0.49908,70.08094,7.42536,2.87704,5.58208,71.54719,7.23843,2.82222,9.28446,68.30399,7.25229,1.83477,0.72651
Type00,275,7.58374,10.07799,2.49471,2.00702,8.16356,10.09858,2.49072,2.78022,6.88455,2.58599,1.28838,0.17835,4.16162,4.66442,1.99741,5.36694,12.65649,5.76468,1.85128,9.77490,8.16794,10.12136,2.44906,1.76423
Type01,230,5.08614,2.99622,0.46267,1.54688,5.09816,0.79112,0.21340,0.33485,5.14753,1.12445,0.40803,0.66041,0.00000,0.00000,0.00000,0.00000,8.60807,4.95052,0.22721,12.18532,4.90850,0.48514,0.14420,0.13982
Type01,240,5.21134,4.31032,1.93816,5.51130,5.15675,4.01160,1.82750,5.28741,5.44615,3.98646,1.64298,3.89999,4.28186,3.29309,1.34022,2.24498,7.71548,5.17896,1.42294,14.96010,5.46920,4.06320,1.83267,4.61549
Type01,250,4.97637,5.43085,1.98580,4.50054,5.23234,5.17571,1.88106,2.68392,5.02259,3.59811,1.36832,4.48960,2.11455,3.05443,1.17578,0.59794,8.65124,5.23369,1.23971,13.84286,5.37413,5.20994,1.91302,2.25348
Type01,260,7.11405,8.96087,3.77177,2.80550,7.24967,9.67737,3.83919,1.80656,6.67514,7.46189,2.95363,5.81903,5.22332,6.35770,2.12573,0.23842,8.08520,6.10692,2.17991,13.53629,7.36602,9.07558,3.81125,2.43535
Type01,280,6.34097,8.74457,3.30511,12.61244,7.34905,8.51121,3.17178,7.80868,6.14804,5.47033,2.32381,5.70037,4.08813,8.29653,2.50098,4.50275,9.64203,8.27224,2.51317,10.33156,8.46288,8.47419,3.15773,7.53884
