Type,Cluster_ID,size,Model,RMSE,MAE,Hausdorff_max,Chamfer_mean,Length_Error,Width_Error,Size_Error,Area_Error,IoU,Dice,EMD
Type00,2,240,PCA_KRR,8.78052,8.14084,1.51735,0.46709,1.47025,0.57246,0.70585,25.83244,0.97987,0.98983,0.00000
Type00,2,240,PCA_LINEAR,7.05910,6.25233,10.21406,2.46177,35.79493,3.02682,10.21406,1190.79903,0.90567,0.95050,0.00000
Type00,2,240,PCA_SVR,8.91292,8.36319,1.41102,0.44494,0.96411,0.33423,1.41102,3.06310,0.97656,0.98814,0.00000
Type00,2,240,PURE_GPR,8.46782,7.83150,1.57482,0.45471,2.62502,0.75854,0.38709,85.34831,0.97834,0.98905,0.00000
Type00,2,240,PURE_KRR,8.71927,8.07984,1.46488,0.44994,1.68604,0.56085,0.64086,31.17470,0.98004,0.98992,0.00000
Type00,2,240,PURE_SVR,8.29467,7.68932,1.63959,0.29782,2.66036,0.57124,0.50884,137.56036,0.98467,0.99228,0.00000
Type00,2,240,RATIO_CTRL,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,1.00000,0.00000
Type00,2,245,PCA_KRR,8.05651,7.36503,1.72482,0.72095,5.25510,0.96755,0.47814,458.34684,0.96657,0.98300,0.00000
Type00,2,245,PCA_LINEAR,7.30784,6.41797,10.27942,2.61714,35.81233,2.86198,10.07922,1410.33884,0.90293,0.94899,0.00000
Type00,2,245,PCA_SVR,8.01791,7.34598,1.51883,0.44571,6.29463,0.91619,0.76725,331.06437,0.97843,0.98910,0.00000
Type00,2,245,PURE_GPR,8.13178,7.47165,1.67088,0.71691,4.00395,0.83040,0.33951,445.91911,0.96999,0.98477,0.00000
Type00,2,245,PURE_KRR,8.07057,7.39123,1.69039,0.69358,5.14580,0.97636,0.44218,448.07489,0.96947,0.98450,0.00000
Type00,2,245,PURE_SVR,8.13720,7.48841,2.73587,0.94823,4.72761,1.15426,0.11733,572.53426,0.96172,0.98049,0.00000
Type00,2,245,RATIO_CTRL,2.42124,2.27432,2.73452,1.15375,0.66828,0.77622,0.17596,67.74937,0.95059,0.97467,0.00000
Type00,2,255,PCA_KRR,8.83688,7.99612,1.70490,0.68241,4.58733,0.30714,0.25764,22.60908,0.96344,0.98138,0.00000
Type00,2,255,PCA_LINEAR,7.50246,6.69399,10.47781,2.88040,36.35884,2.02252,10.12289,816.05332,0.89219,0.94302,0.00000
Type00,2,255,PCA_SVR,8.95346,8.20946,1.08591,0.27312,2.79997,0.58265,0.22586,139.15092,0.98121,0.99052,0.00000
Type00,2,255,PURE_GPR,9.10159,8.32089,1.95263,0.76267,3.60154,0.08488,0.14691,93.23142,0.96028,0.97974,0.00000
Type00,2,255,PURE_KRR,8.84182,8.02073,1.63986,0.65645,4.35131,0.31513,0.20324,24.27606,0.96397,0.98166,0.00000
Type00,2,255,PURE_SVR,8.88417,8.12533,1.06520,0.36414,3.35677,0.44241,0.04074,99.68149,0.98017,0.98999,0.00000
