Model,RMSE,MAE,Hausdorff_max,Chamfer_mean,Length_Error,Width_Error,Size_Error,Area_Error,IoU,Dice,EMD
PCA_KRR,9.06326,8.31322,1.99138,0.67635,3.29616,0.70004,0.71044,249.57921,0.96629,0.98280,0.00000
PCA_LINEAR,10.09205,9.29803,7.65282,2.29322,15.21018,1.51499,4.76777,704.64618,0.90987,0.95254,0.00000
PCA_SVR,9.07439,8.34694,2.42311,0.70551,4.89575,0.63915,1.39292,241.40335,0.96628,0.98280,0.00000
PURE_GPR,9.02170,8.27011,2.06928,0.72085,3.33047,0.72158,0.56149,247.01217,0.96500,0.98213,0.00000
PURE_KRR,9.01056,8.25808,1.93441,0.66250,3.29796,0.67463,0.55592,241.58821,0.96711,0.98323,0.00000
PURE_SVR,9.10978,8.34938,2.03710,0.65047,3.30204,0.71478,0.44935,259.76382,0.96957,0.98448,0.00000
RATIO_CTRL,3.23586,2.89626,4.80498,1.77048,4.11795,3.12722,0.53088,686.84587,0.93563,0.96652,0.00000
