Type,Base_Size,Matched_Type,Time_sec,Points
Type00,240,Self (Ratio),9.7e-05,40
Type01,230,Self (Ratio),0.000119,40
Type02,230,Self (Ratio),0.000315,40
Type03,230,Self (Ratio),0.000106,40
Type04,230,Self (Ratio),8e-05,40
Type05,240,Self (Ratio),8.2e-05,40
Type06,230,Self (Ratio),9.8e-05,40
Type07,250,Self (Ratio),7.8e-05,40
