size,A_to_B_mean,A_to_B_median,A_to_B_p90,A_to_B_p95,A_to_B_max,B_to_A_mean,B_to_A_median,B_to_A_p90,B_to_A_p95,B_to_A_max,Chamfer_mean,Hausdorff_max
230,0.23431654020511156,0.1738033658401611,0.4914822451114126,0.6205991420143641,0.7953834354083927,0.22668929070136218,0.1738033658401611,0.48434032959053724,0.6234360756402485,0.7953834354083927,0.23050291545323687,0.7953834354083927
235,0.8621970045511497,0.7348916910644123,1.5377267984391427,2.36627473467352,2.8213639598259292,0.8722415587003555,0.7434187595607575,1.6338383677947343,2.4274954740002173,2.8213639598259292,0.8672192816257526,2.8213639598259292
245,1.0716360797063693,0.9923094886268092,2.0806414231485255,2.277386728280117,2.39812296270763,1.0780276971136298,0.9963406845235497,2.0806414231485255,2.2694355248846136,2.39812296270763,1.0748318884099994,2.39812296270763
250,1.01858985728853,0.8839073414425103,2.1278546207266285,2.3837726666829964,2.735340381987492,1.0397552448156808,0.9067631895300807,2.1567896756340037,2.3990371235748116,2.735340381987492,1.0291725510521053,2.735340381987492
255,0.7884242653332716,0.5345616257542153,1.9010935042173482,2.1363902145759512,2.3596202249181606,0.7960594263707487,0.5350244995065714,1.9186220498691609,2.1366130987670937,2.3596202249181606,0.7922418458520102,2.3596202249181606
260,1.031622506761125,0.7871684606630986,2.3295563935271097,2.635078640498207,3.0075846953431817,1.0561966298461074,0.8113314597094139,2.3724645205923105,2.647631524957233,3.0075846953431817,1.0439095683036164,3.0075846953431817
265,1.4869852324791415,1.1058793813141858,3.6296161512942535,4.0822249786822065,5.004898584094657,1.463040376769654,1.0539487316154093,3.6170087042574117,4.014503776946644,5.004898584094657,1.4750128046243978,5.004898584094657
270,1.3366216743115622,1.3348119787384953,2.298360859364346,3.5334079436186587,4.3500790953887,1.3685541622331048,1.3540074008866352,2.303957284537138,3.61288805278378,4.3500790953887,1.3525879182723335,4.3500790953887
275,1.2259802157838213,0.7816255027878427,2.799655554892915,3.3800993120975407,4.004995335196362,1.2625123444002375,0.7949331203881519,2.8742934137916096,3.4024127308470726,4.004995335196362,1.2442462800920295,4.004995335196362
280,1.1855585042850854,0.8619646303923938,2.3497622705738688,3.040608773643331,4.004748282404394,1.2151988210722036,0.9175074789099049,2.355596378007947,3.086639275608922,4.004748282404394,1.2003786626786446,4.004748282404394
