,Type00,Type01,Type02,Type03,Type04,Type05,Type06,Type07
Type00,0.0000,4.3152,6.7957,4.5945,3.5711,4.5444,4.2351,4.1473
Type01,4.3152,0.0000,6.8912,3.2004,3.9410,5.5818,3.2644,7.7669
Type02,6.7957,6.8912,0.0000,4.2070,4.7160,4.7307,4.4906,8.3708
Type03,4.5945,3.2004,4.2070,0.0000,3.3495,3.8284,1.5560,7.7274
Type04,3.5711,3.9410,4.7160,3.3495,0.0000,4.4610,3.0792,6.2424
Type05,4.5444,5.5818,4.7307,3.8284,4.4610,0.0000,4.2943,5.9516
Type06,4.2351,3.2644,4.4906,1.5560,3.0792,4.2943,0.0000,7.4578
Type07,4.1473,7.7669,8.3708,7.7274,6.2424,5.9516,7.4578,0.0000
