,Type00,Type01,Type02,Type03,Type04,Type05,Type06,Type07
Type00,0.0000,4.2504,5.7677,4.3530,3.2872,4.4745,4.1012,3.7049
Type01,4.2504,0.0000,6.7176,2.8906,3.7348,5.4624,3.0487,7.4183
Type02,5.7677,6.7176,0.0000,4.5424,4.1490,4.7722,4.2593,7.8258
Type03,4.3530,2.8906,4.5424,0.0000,3.1658,3.7124,1.1866,7.3985
Type04,3.2872,3.7348,4.1490,3.1658,0.0000,4.0226,3.2201,6.0122
Type05,4.4745,5.4624,4.7722,3.7124,4.0226,0.0000,4.1917,5.6248
Type06,4.1012,3.0487,4.2593,1.1866,3.2201,4.1917,0.0000,7.3044
Type07,3.7049,7.4183,7.8258,7.3985,6.0122,5.6248,7.3044,0.0000
