type, side, size, x1, y1, x2, y2, x3, y3, x4, y4, x5, y5, x6, y6, x7, y7, x8, y8, x9, y9, x10, y10, x11, y11, x12, y12, x13, y13, x14, y14, x15, y15, x16, y16, x17, y17, x18, y18, x19, y19, x20, y20, x21, y21, x22, y22, x23, y23, x24, y24, x25, y25, x26, y26, x27, y27, x28, y28, x29, y29, x30, y30, x31, y31, x32, y32, x33, y33, x34, y34, x35, y35, x36, y36, x37, y37, x38, y38, x39, y39, x40, y40, x41, y41, x42, y42, x43, y43, x44, y44, x45, y45
Type01, L, 280, 58.722715, 280.878684, 53.450337, 280.763559, 43.559023, 279.538016, 30.195855, 268.477212, 25.061908, 253.462223, 22.263471, 238.767319, 19.917803, 223.467119, 17.907503, 208.246522, 15.424460, 193.987085, 13.005190, 178.514823, 9.918763, 163.518618, 7.245670, 149.160383, 4.121562, 134.001432, 1.616578, 119.542195, 0.107821, 104.248483, 0.000000, 89.046155, 1.438042, 74.711777, 4.567043, 60.011272, 8.690963, 46.381944, 14.767403, 31.835205, 22.359567, 18.210411, 33.977459, 5.879876, 48.917422, 0.000000, 64.423171, 1.450548, 77.410444, 12.386227, 84.060548, 26.517910, 86.998927, 41.054249, 89.407086, 56.087182, 90.552638, 70.482681, 89.920743, 85.577085, 88.129774, 100.748292, 87.205095, 115.048129, 86.372772, 130.652163, 86.849767, 145.639240, 87.771253, 160.522752, 89.920462, 175.524546, 90.562757, 189.853976, 89.400503, 204.641076, 89.048127, 220.342069, 89.137779, 235.610348, 88.300764, 250.046074, 84.912937, 264.197369, 74.223626, 278.134385, 63.674851, 279.971655, 59.077041, 280.826011
Type01, L, 290, 59.956760, 290.822692, 54.820684, 290.899844, 44.362999, 289.269427, 31.182422, 277.607097, 25.479902, 262.068302, 23.845877, 247.195403, 20.861820, 231.581221, 18.496036, 216.137670, 16.572852, 201.276952, 14.567747, 185.278269, 12.316355, 170.415348, 8.959861, 155.203215, 5.645373, 139.484130, 2.504940, 123.601013, 0.526316, 108.534425, 0.000000, 92.387863, 1.191758, 76.983887, 4.381467, 61.403238, 9.003056, 46.509835, 15.676592, 31.487719, 23.842171, 17.826140, 35.750944, 5.469526, 51.203174, 0.000000, 66.537782, 1.481866, 80.093390, 12.861372, 86.448337, 27.658668, 89.791352, 42.883313, 92.754176, 58.263287, 94.494396, 73.169036, 93.142758, 90.203560, 91.917981, 104.697031, 91.370536, 119.204326, 91.574482, 135.669984, 92.015249, 151.373638, 92.788772, 167.007068, 93.432252, 181.943747, 93.849850, 197.353105, 94.103150, 213.437644, 93.484133, 228.175106, 92.520974, 243.104931, 90.412458, 259.021161, 87.097001, 274.067876, 76.246766, 287.936014, 64.763114, 290.115116, 60.591250, 290.868364
Type02, L, 230, 62.814429, 230.497612, 58.889642, 230.145482, 50.217148, 229.002274, 39.235589, 219.987003, 34.009931, 208.023216, 30.724370, 195.771377, 28.201635, 183.324817, 25.486974, 170.951794, 22.753592, 158.827572, 19.516966, 146.347380, 15.743010, 134.010938, 11.594332, 122.332963, 6.820893, 110.014730, 3.222457, 98.127871, 0.569791, 85.259187, 0.000000, 72.570094, 0.755387, 60.487035, 3.161387, 47.922719, 6.882299, 35.892172, 12.339159, 23.739563, 20.232243, 12.545112, 31.079235, 4.556768, 43.310945, 0.464242, 56.185858, 0.000000, 68.197668, 6.958501, 75.420366, 18.589747, 80.119642, 30.489196, 82.917824, 42.324758, 84.746470, 55.458052, 87.207116, 67.462041, 85.319510, 80.061811, 81.250038, 92.306919, 76.558730, 104.730499, 72.304343, 117.088678, 71.416863, 130.242915, 73.317079, 143.025985, 76.504271, 154.931454, 80.423088, 167.839214, 83.556622, 179.083747, 86.099826, 191.346473, 86.988104, 203.782448, 84.515354, 216.998978, 75.636172, 228.086843, 66.620173, 230.300352, 63.166474, 230.529714
Type02, L, 250, 64.971152, 250.527780, 69.200182, 250.198472, 79.254986, 247.749166, 87.252498, 234.857907, 88.287898, 221.675479, 86.846461, 208.043672, 83.456620, 195.253381, 78.894595, 182.473554, 74.979322, 168.862344, 72.340031, 156.267839, 70.381355, 142.448397, 70.922472, 128.909050, 75.571400, 115.666853, 81.199391, 102.531750, 86.748791, 89.225884, 88.460456, 75.791181, 86.864755, 62.689347, 84.791803, 48.789453, 82.098430, 36.079291, 78.757141, 22.316820, 72.317514, 9.642568, 59.416183, 0.575005, 45.379104, 0.000000, 32.170175, 5.255195, 20.745455, 15.247248, 12.884014, 27.543648, 7.106379, 40.591414, 2.787912, 53.741270, 0.028192, 66.846480, 0.000000, 80.460468, 2.025308, 93.003625, 5.125204, 105.949711, 8.720862, 118.768177, 12.720256, 132.020215, 16.675395, 145.630619, 20.889153, 159.105232, 24.345894, 172.072041, 27.440416, 185.311389, 29.991380, 199.451913, 32.180001, 212.743692, 35.110185, 225.488149, 39.827040, 238.694805, 50.835263, 249.973036, 60.649617, 250.357409, 64.619896, 250.775474
Type02, L, 260, 66.136063, 260.898520, 61.975237, 260.965331, 52.453968, 258.647448, 41.271118, 247.156800, 35.365189, 233.885536, 32.063205, 219.971956, 30.103850, 205.793349, 27.672455, 191.746823, 24.805530, 178.965117, 21.115100, 164.948189, 16.803450, 150.963331, 12.012983, 137.113856, 7.376500, 123.430812, 3.455026, 109.131900, 0.686787, 95.950492, 0.000000, 81.013166, 1.033159, 67.841970, 3.397864, 54.004436, 7.777142, 40.430809, 13.692412, 27.042467, 22.667032, 14.800426, 34.365856, 5.128950, 48.530527, 0.000000, 62.185664, 1.655735, 75.392533, 10.744558, 82.024619, 23.571976, 85.810717, 37.570157, 88.455129, 51.287392, 91.460687, 64.868593, 92.865395, 79.264918, 90.972849, 92.670339, 85.375316, 106.213346, 79.689523, 119.370860, 76.468912, 133.164914, 75.793548, 147.600728, 77.096192, 161.621829, 79.701949, 175.436937, 83.167097, 188.817432, 87.049674, 203.059518, 91.137439, 216.588166, 93.042043, 231.190228, 90.268330, 245.042331, 80.536171, 257.968251, 70.712552, 260.228746, 66.081686, 261.090112
Type02, L, 270, 68.731706, 270.678348, 63.881000, 270.516666, 53.480151, 268.733003, 41.728613, 257.105241, 36.034015, 243.177002, 33.184993, 228.651292, 30.709176, 214.023977, 26.979315, 199.423739, 23.518373, 185.376638, 19.684445, 170.815121, 16.231542, 156.826685, 12.285259, 142.978586, 7.791095, 128.553892, 4.069675, 115.326384, 1.217530, 100.376300, 0.000000, 86.036906, 1.031327, 71.149356, 4.053762, 56.906179, 8.821714, 42.616946, 15.990053, 28.892555, 24.794211, 15.988941, 37.042773, 4.951941, 51.240775, 0.000000, 66.488157, 1.054828, 79.454288, 11.457657, 85.897053, 25.159902, 89.848401, 39.572567, 92.182351, 53.740736, 94.524438, 67.936996, 96.632207, 83.255741, 93.754573, 97.778129, 87.357515, 111.762242, 80.984935, 125.712758, 78.168686, 140.269819, 78.412409, 154.728413, 80.457026, 169.371077, 83.345411, 183.886194, 87.269022, 197.617808, 91.430233, 211.423103, 94.931029, 225.682282, 96.415046, 240.452735, 94.104780, 255.282224, 83.265963, 268.034420, 72.782876, 270.155986, 69.361643, 270.548208
Type03, L, 230, 50.461301, 230.772600, 46.676213, 230.337737, 38.297182, 228.977110, 27.673616, 219.786250, 22.878670, 207.558229, 19.555482, 195.279424, 17.953454, 183.148716, 16.171152, 170.660937, 14.078943, 157.567441, 11.572429, 145.242978, 8.893322, 133.231739, 6.274550, 121.234926, 3.799628, 108.822623, 1.774658, 97.339290, 0.514861, 84.905690, 0.000000, 72.801206, 0.732931, 60.881337, 2.768283, 48.406780, 6.393541, 36.582618, 11.688676, 24.499438, 18.917488, 13.594019, 28.864608, 4.015669, 41.320152, 0.000000, 53.079460, 1.290229, 64.825099, 8.615601, 71.302527, 20.459653, 75.346206, 32.385360, 77.492421, 45.508848, 78.342903, 58.186245, 78.643025, 70.011445, 78.135620, 82.772538, 76.304855, 95.221282, 74.063752, 107.380306, 72.290808, 119.718625, 71.388655, 132.370151, 72.898038, 144.871490, 74.790561, 156.848007, 76.420920, 169.062918, 77.639078, 181.823765, 78.561643, 194.735093, 78.722960, 207.566455, 73.751779, 219.196464, 62.506923, 228.821603, 55.097170, 230.163496, 50.168832, 230.902879
Type03, L, 235, 53.469138, 235.688248, 49.279242, 235.633394, 40.913182, 234.825409, 29.483575, 226.930201, 23.272934, 214.794231, 19.949455, 202.851341, 18.090782, 189.820326, 16.557436, 177.569019, 15.068124, 164.413631, 12.763310, 152.328751, 10.226731, 139.526538, 7.029659, 127.076413, 4.627504, 114.875175, 2.070058, 102.192174, 0.612117, 89.097516, 0.000000, 77.141440, 0.854360, 63.507497, 2.364676, 51.417593, 5.675244, 38.557484, 10.392696, 26.729619, 17.742674, 15.304906, 26.941577, 5.569675, 39.154725, 0.000000, 52.298787, 1.199412, 63.554259, 8.705575, 71.418115, 20.056506, 75.770160, 32.324737, 78.226725, 44.615187, 79.352946, 57.441868, 79.889796, 70.082030, 79.531228, 82.938805, 78.401365, 95.730689, 76.911023, 108.321086, 75.720470, 121.083794, 75.048375, 134.362429, 75.336536, 147.171678, 75.988826, 160.582300, 77.097778, 173.062268, 78.469484, 185.341294, 79.652151, 197.431963, 79.877938, 210.270469, 75.867144, 222.296010, 66.609153, 233.035957, 57.727650, 235.631546, 53.401640, 235.328591
Type03, L, 245, 53.767357, 245.958057, 48.903549, 245.470028, 40.446249, 244.475450, 28.795136, 234.552951, 23.744159, 222.254126, 20.126096, 209.139338, 18.340734, 194.817539, 16.769758, 182.304375, 14.493818, 168.842163, 11.819308, 155.856518, 9.178942, 142.616217, 6.188976, 128.874825, 3.731989, 115.532469, 1.641490, 102.394219, 0.381224, 89.061712, 0.000000, 75.885231, 0.941997, 62.327622, 3.547820, 49.361261, 7.597130, 36.709293, 13.030655, 24.506628, 20.126972, 12.382705, 30.859247, 3.055873, 44.510192, 0.000000, 57.573240, 2.820859, 68.782339, 12.635292, 75.487303, 24.798945, 78.711452, 37.752096, 80.829934, 51.480134, 82.041127, 63.961176, 83.149897, 77.040530, 82.605904, 90.509946, 80.660592, 103.313320, 78.150261, 116.123905, 76.503698, 129.051878, 76.467488, 142.572322, 77.421168, 155.790309, 79.057989, 168.559797, 80.806556, 181.257968, 82.226789, 194.307959, 83.185330, 207.907404, 82.382990, 220.559850, 78.171476, 233.862650, 67.242214, 244.265523, 58.200968, 245.429929, 53.719941, 245.891509
Type03, L, 250, 52.534324, 251.061301, 47.988366, 250.700296, 39.124482, 249.227471, 27.131980, 239.241378, 22.371737, 226.197191, 19.610886, 213.199820, 17.779539, 199.805733, 15.531336, 185.746871, 13.766196, 172.624372, 11.220135, 158.233437, 9.062588, 145.183045, 6.447888, 131.168512, 4.604029, 118.541191, 2.445571, 104.669663, 0.850239, 90.742204, 0.000000, 77.616351, 0.456307, 64.557255, 2.530757, 50.983588, 6.486191, 37.471962, 12.503762, 24.812129, 20.489506, 12.544939, 32.355086, 2.943848, 45.252219, 0.000000, 58.364240, 3.807484, 70.448453, 13.459916, 75.999282, 26.907391, 79.742894, 39.605278, 82.268972, 53.437389, 83.486040, 67.114158, 83.558925, 79.912747, 82.750251, 92.870185, 81.332815, 106.126412, 79.542882, 120.040905, 79.084677, 132.714653, 79.377536, 145.976345, 79.736843, 158.845480, 80.038708, 172.232903, 80.428186, 185.332043, 81.089963, 199.210413, 82.160958, 212.395074, 81.521398, 225.253133, 77.649318, 238.559454, 66.160157, 249.519436, 57.024310, 250.299641, 53.200489, 251.456247
