,Type00,Type01,Type02,Type03,Type04,Type05,Type06,Type07
Type00,0.0000,4.2527,5.7030,4.3495,3.3053,4.4916,4.1085,3.6470
Type01,4.2527,0.0000,6.6225,2.8761,3.7740,5.4378,3.0285,7.3701
Type02,5.7030,6.6225,0.0000,4.4751,4.1252,4.7736,4.1620,7.7886
Type03,4.3495,2.8761,4.4751,0.0000,3.0649,3.6692,1.1531,7.3438
Type04,3.3053,3.7740,4.1252,3.0649,0.0000,3.8991,3.2937,5.9939
Type05,4.4916,5.4378,4.7736,3.6692,3.8991,0.0000,4.1504,5.6235
Type06,4.1085,3.0285,4.1620,1.1531,3.2937,4.1504,0.0000,7.2632
Type07,3.6470,7.3701,7.7886,7.3438,5.9939,5.6235,7.2632,0.0000
