type, side, size, x1, y1, x2, y2, x3, y3, x4, y4, x5, y5, x6, y6, x7, y7, x8, y8, x9, y9, x10, y10, x11, y11, x12, y12, x13, y13, x14, y14, x15, y15, x16, y16, x17, y17, x18, y18, x19, y19, x20, y20, x21, y21, x22, y22, x23, y23, x24, y24, x25, y25, x26, y26, x27, y27, x28, y28, x29, y29, x30, y30, x31, y31, x32, y32, x33, y33, x34, y34, x35, y35, x36, y36
Type01, L, 280, 58.873490, 282.059833, 52.791419, 282.073322, 38.683818, 279.493321, 26.285996, 261.503963, 23.126824, 242.728778, 19.898079, 223.149413, 17.348973, 204.294033, 14.174394, 185.501003, 10.507559, 165.926665, 6.944038, 147.678359, 3.002391, 128.546899, 0.571305, 109.804748, 0.000000, 90.151621, 2.339906, 71.878588, 6.701683, 53.642581, 13.625763, 35.922106, 23.078845, 17.700907, 39.112622, 3.543667, 59.267878, 0.000000, 77.388342, 11.854186, 85.325922, 30.366814, 88.335857, 49.120287, 90.991158, 67.711595, 90.157982, 86.824553, 88.056254, 105.806140, 86.842702, 124.597940, 86.817631, 144.289220, 88.111858, 163.021009, 90.991373, 182.113134, 90.080023, 200.157168, 89.200956, 220.115927, 89.396057, 239.707616, 88.055618, 257.378751, 79.206459, 276.550148, 64.974137, 281.928767, 59.518545, 281.353198
Type01, L, 290, 60.147743, 291.967587, 53.800511, 292.155505, 39.855109, 289.014129, 26.580298, 270.237575, 24.571023, 251.116416, 20.778730, 231.232353, 17.965875, 211.987566, 15.560672, 192.300480, 12.837683, 172.714676, 8.611644, 153.775135, 4.277044, 133.172909, 1.003115, 113.882981, 0.000000, 93.618932, 1.969338, 73.814226, 6.679959, 54.313403, 14.445776, 35.443453, 24.492094, 17.250007, 41.150859, 3.226686, 61.392388, 0.000000, 79.934531, 12.147196, 87.741858, 31.626369, 91.249089, 51.158493, 94.927691, 69.937683, 93.413213, 91.493049, 91.773950, 109.536723, 91.613960, 129.150418, 92.102648, 149.866322, 93.090058, 169.559570, 93.832490, 188.422809, 94.318838, 208.947939, 93.956852, 228.002716, 92.346248, 247.100272, 89.922856, 267.116693, 81.582335, 286.263271, 66.045958, 291.982207, 60.927627, 291.385561
Type02, L, 230, 63.011382, 231.635782, 58.248909, 231.381482, 46.334397, 229.018427, 35.650944, 214.732049, 31.566945, 199.219816, 28.105020, 183.300069, 24.829717, 167.732417, 21.017521, 152.074925, 16.449877, 136.258308, 10.932932, 121.231515, 5.155511, 105.840463, 1.233668, 90.048536, 0.000000, 73.665689, 1.372387, 58.267833, 5.113842, 42.405424, 11.161181, 27.165959, 21.051717, 12.312663, 35.582099, 3.623973, 51.640641, 0.000000, 67.978207, 6.476838, 76.889071, 22.197482, 82.089756, 36.702181, 84.279441, 53.060004, 87.797014, 68.754946, 84.748181, 84.500146, 79.013478, 100.316672, 72.826928, 115.806033, 71.422200, 132.791662, 74.494836, 148.362311, 79.248125, 164.420892, 83.686103, 179.359296, 86.741957, 194.540300, 87.247856, 210.937312, 79.734589, 227.311053, 67.839928, 231.730767, 63.404625, 231.455657
Type02, L, 250, 65.246235, 251.811240, 70.628930, 252.046665, 83.652793, 246.392800, 88.980299, 228.996157, 87.631137, 211.843470, 83.526040, 195.563857, 77.337837, 178.854044, 73.502092, 162.213671, 70.429360, 145.274653, 71.459932, 127.700051, 78.251943, 111.195411, 85.997848, 94.170920, 89.155036, 77.332093, 86.539142, 60.164483, 83.720585, 43.180516, 79.980932, 26.432613, 72.312905, 9.280149, 54.405609, 0.000000, 37.018711, 3.691252, 21.541801, 15.241722, 11.748256, 31.282325, 5.148240, 47.948086, 0.544180, 64.615684, 0.000000, 81.819611, 3.007645, 97.916908, 7.241853, 114.294686, 12.208910, 130.899369, 17.365299, 148.269082, 22.530738, 165.338773, 26.691718, 181.609104, 30.031212, 199.622204, 32.941374, 216.555286, 36.626574, 232.633757, 46.581478, 249.747216, 59.989776, 252.327890, 64.734182, 251.709471
Type02, L, 260, 66.291662, 261.588869, 61.060620, 261.955533, 48.454291, 257.284536, 37.283726, 240.683867, 32.630022, 223.419684, 30.070783, 205.064468, 26.954777, 187.753950, 22.792077, 171.125954, 17.442657, 152.697663, 11.268210, 135.607426, 5.589170, 117.455013, 1.219665, 100.375949, 0.000000, 81.866747, 1.527363, 64.794261, 5.525252, 47.303455, 12.463091, 30.095259, 23.268722, 14.227185, 39.579006, 2.827251, 57.392571, 0.000000, 75.016981, 9.967225, 83.474374, 26.793179, 87.095616, 44.662098, 90.893475, 61.772532, 93.488284, 79.968817, 90.201239, 97.173270, 82.003247, 114.088979, 76.718733, 131.245495, 75.831441, 149.625967, 77.963110, 167.508380, 81.958161, 184.617271, 86.821994, 202.380014, 92.121060, 220.030444, 93.346209, 238.219361, 84.807777, 256.075937, 72.091732, 261.527306, 66.314574, 261.272397
Type02, L, 270, 69.011807, 271.842621, 62.882561, 271.969552, 49.337227, 268.069814, 37.758327, 250.742936, 33.984206, 232.673278, 30.697468, 213.733573, 26.039269, 195.617716, 21.340171, 177.244400, 16.865397, 159.354750, 11.806604, 141.422615, 6.151114, 123.804139, 2.068445, 105.913441, 0.000000, 87.029397, 1.826941, 68.526505, 6.438062, 50.187785, 14.608522, 32.601699, 25.789433, 15.632802, 42.104557, 3.148359, 61.279367, 0.000000, 79.481117, 10.831328, 87.290889, 29.123366, 91.425455, 47.256229, 93.992516, 65.100544, 97.400594, 84.454999, 92.901316, 102.953946, 83.568039, 120.430585, 78.280326, 138.821144, 78.714179, 157.229562, 81.604943, 175.985725, 85.920017, 193.947629, 91.492155, 211.262585, 95.779372, 229.535224, 97.038955, 248.391425, 88.474703, 266.994426, 73.896957, 271.783570, 69.785731, 271.410809
Type03, L, 230, 50.525585, 231.194688, 46.050903, 230.846759, 34.260217, 228.196604, 24.379973, 213.723698, 20.168703, 197.864114, 17.827769, 182.594496, 15.680876, 166.352229, 12.649172, 149.943306, 9.264052, 134.892096, 5.912653, 119.306788, 2.849057, 104.043025, 0.835304, 88.881966, 0.000000, 73.173728, 1.149108, 58.000519, 4.437961, 42.259206, 10.635543, 27.222185, 19.348748, 12.688073, 33.412435, 1.763495, 48.941500, 0.000000, 64.358807, 7.686338, 72.665450, 23.050855, 76.783396, 38.578287, 78.385885, 55.478543, 78.844996, 70.360872, 78.015774, 86.747897, 75.161404, 102.291117, 72.583885, 117.851005, 71.356345, 134.013520, 73.743426, 149.739594, 76.042173, 164.951786, 77.680075, 181.017216, 78.924705, 197.670877, 78.311903, 213.492670, 66.284603, 227.639400, 56.044265, 230.916884, 50.624575, 231.028830
Type03, L, 235, 53.453105, 236.489629, 48.356855, 236.411923, 37.014353, 234.982902, 25.016366, 221.341047, 20.408008, 205.743487, 17.829188, 189.689994, 16.173185, 173.476631, 13.755311, 157.468073, 10.469510, 141.567422, 6.583964, 125.566536, 3.422173, 110.113520, 0.736797, 93.355409, 0.000000, 77.805425, 1.020213, 60.948990, 3.816689, 45.236641, 9.217766, 29.439566, 18.213228, 15.070086, 30.791906, 3.045679, 47.743089, 0.000000, 63.075069, 8.179189, 72.764722, 23.054768, 77.251312, 38.643664, 79.229366, 54.670409, 79.970649, 70.920978, 79.404918, 87.223685, 77.597659, 103.422416, 75.847847, 119.484162, 74.994432, 136.289393, 75.503328, 152.819085, 76.639028, 169.574054, 78.329835, 184.889844, 80.020859, 200.593190, 79.314162, 216.673192, 70.117812, 231.591023, 59.005633, 236.786591, 53.372251, 235.924845
Type03, L, 245, 53.808603, 245.697938, 48.233093, 245.470373, 36.159729, 242.841043, 25.226729, 227.716907, 20.860873, 211.530431, 18.182777, 193.366973, 16.346939, 177.351214, 12.876276, 160.225133, 9.600548, 143.770578, 5.795391, 126.099406, 2.796461, 109.399427, 0.676419, 92.488815, 0.000000, 75.654208, 1.464825, 58.501706, 5.555803, 42.108029, 11.988399, 26.613961, 20.583301, 10.700892, 35.683980, 0.443880, 53.265995, 0.000000, 68.509198, 11.033406, 76.704097, 26.790003, 79.986927, 43.872232, 81.923399, 60.462943, 83.382974, 76.714222, 82.514925, 93.952212, 79.365285, 110.040331, 76.649094, 126.417885, 76.543514, 143.596557, 78.052841, 160.329257, 80.337934, 176.354657, 82.348291, 192.883948, 83.415473, 210.071715, 81.871006, 226.277676, 71.625108, 242.731495, 59.246499, 245.413339, 54.079247, 245.490572
Type03, L, 250, 52.562695, 250.809865, 47.289667, 250.521367, 34.665024, 247.714355, 23.441356, 231.892793, 20.329345, 215.470088, 17.509342, 198.183711, 15.099646, 180.827884, 12.323124, 163.283873, 9.280978, 145.935801, 6.220496, 128.658845, 3.740166, 112.289932, 1.219435, 94.094975, 0.000000, 77.381427, 0.778690, 60.768802, 4.330697, 43.173692, 11.178488, 26.864378, 21.154020, 10.943639, 37.169604, 0.000000, 53.573869, 0.812163, 70.283235, 11.768951, 77.071090, 29.105219, 81.247194, 45.347630, 83.562825, 63.419867, 83.700562, 79.710528, 82.673166, 96.042107, 80.315389, 113.612697, 79.026967, 130.319522, 79.560528, 146.740059, 79.959630, 163.587398, 80.326169, 180.193327, 81.142893, 197.740465, 82.364926, 214.583635, 81.168374, 230.878759, 70.930481, 247.829580, 57.756441, 250.364300, 53.634724, 250.857598
