Model,Cluster_ID,RMSE,MAE,Hausdorff_max,Chamfer_mean,Length_Error,Width_Error,Size_Error,Area_Error,IoU,Dice,EMD
PCA_KRR,1,9.16406,8.37392,2.69681,0.87832,2.96538,0.63717,1.07227,260.07660,0.95769,0.97834,0.00000
PCA_KRR,2,8.96391,8.24883,1.50985,0.57742,3.47956,0.78171,0.38385,248.97953,0.96966,0.98457,0.00000
PCA_KRR,3,8.90603,8.18051,1.13981,0.39267,3.95582,0.71306,0.73280,216.99425,0.97897,0.98937,0.00000
PCA_KRR,4,9.19695,8.47188,1.31306,0.30170,3.52144,0.61181,0.22804,226.64139,0.98644,0.99317,0.00000
PCA_LINEAR,1,9.57847,8.74770,5.34646,1.88121,2.19709,0.73797,0.64966,466.57675,0.92336,0.96001,0.00000
PCA_LINEAR,2,9.66923,8.83521,7.37819,2.23708,18.53645,1.77690,5.38929,720.29053,0.90954,0.95248,0.00000
PCA_LINEAR,3,7.48435,6.63233,10.34091,2.54101,34.42873,2.00097,10.31816,926.49851,0.89967,0.94716,0.00000
PCA_LINEAR,4,19.52981,19.29813,21.09214,5.04640,56.38172,4.47563,21.09214,1902.10658,0.83545,0.91032,0.00000
PCA_SVR,1,9.24593,8.47204,2.94312,0.89761,4.79608,0.71624,1.66631,242.17266,0.95782,0.97840,0.00000
PCA_SVR,2,8.90894,8.21309,1.80219,0.51845,4.64110,0.56595,1.06485,234.89635,0.97394,0.98678,0.00000
PCA_SVR,3,8.69674,7.99812,3.26278,0.76797,7.46176,0.69752,1.39710,321.21726,0.96592,0.98256,0.00000
PCA_SVR,4,9.42699,8.78109,1.56235,0.46394,3.66676,0.48670,1.53326,168.89805,0.97723,0.98848,0.00000
PURE_GPR,1,9.07866,8.28515,2.70772,0.91820,2.93896,0.62816,0.81883,246.01929,0.95605,0.97749,0.00000
PURE_GPR,2,8.96059,8.24820,1.66698,0.63943,3.57767,0.83285,0.38353,257.42326,0.96838,0.98390,0.00000
PURE_GPR,3,8.88355,8.14792,1.25915,0.43953,4.04021,0.76947,0.49647,219.96476,0.97744,0.98859,0.00000
PURE_GPR,4,9.19293,8.46419,1.30700,0.26885,3.51106,0.61293,0.00044,227.22807,0.98782,0.99387,0.00000
PURE_KRR,1,9.05634,8.26136,2.61780,0.87889,2.98183,0.60046,0.82082,243.22928,0.95814,0.97858,0.00000
PURE_KRR,2,8.95222,8.23757,1.45997,0.55053,3.47357,0.76107,0.31087,248.06189,0.97079,0.98515,0.00000
PURE_KRR,3,8.90603,8.17612,1.12204,0.36670,3.93941,0.70316,0.61352,215.24365,0.98053,0.99017,0.00000
PURE_KRR,4,9.19472,8.46853,1.30828,0.28609,3.49660,0.61246,0.18342,226.93174,0.98690,0.99341,0.00000
PURE_SVR,1,9.23110,8.41916,2.70927,0.87414,3.16176,0.65255,0.71963,249.12976,0.96039,0.97972,0.00000
PURE_SVR,2,8.99207,8.27043,1.62187,0.53370,3.52044,0.79050,0.21193,290.87242,0.97401,0.98679,0.00000
PURE_SVR,3,8.96864,8.26598,1.09342,0.33497,2.98142,0.75085,0.41873,205.30182,0.98205,0.99094,0.00000
PURE_SVR,4,9.19538,8.46910,1.30548,0.28061,3.35440,0.62720,0.11282,216.62192,0.98753,0.99373,0.00000
RATIO_CTRL,1,3.63050,3.32891,4.68556,1.73030,3.40432,3.07966,0.72021,622.14131,0.93869,0.96828,0.00000
RATIO_CTRL,2,2.89882,2.56486,4.85394,1.73963,4.49518,2.98503,0.42019,684.05566,0.93612,0.96676,0.00000
RATIO_CTRL,3,4.55800,3.76912,7.46765,3.06797,8.28603,5.98326,0.40519,1340.28759,0.88828,0.94082,0.00000
RATIO_CTRL,4,1.58731,1.44960,2.54150,0.87553,1.85615,1.34646,0.21098,415.87460,0.96287,0.98087,0.00000
