type, side, size, x1, y1, x2, y2, x3, y3, x4, y4, x5, y5, x6, y6, x7, y7, x8, y8, x9, y9, x10, y10, x11, y11, x12, y12, x13, y13, x14, y14, x15, y15, x16, y16, x17, y17, x18, y18, x19, y19, x20, y20, x21, y21, x22, y22, x23, y23, x24, y24, x25, y25, x26, y26, x27, y27, x28, y28, x29, y29, x30, y30, x31, y31, x32, y32, x33, y33, x34, y34, x35, y35, x36, y36, x37, y37, x38, y38, x39, y39, x40, y40, x41, y41, x42, y42, x43, y43, x44, y44, x45, y45, x46, y46
Type04, L, 230, 54.844542, 230.502451, 50.788008, 230.329891, 42.913488, 230.206121, 30.418180, 222.754927, 24.556118, 211.142565, 22.246078, 198.437093, 20.474159, 186.480578, 18.515928, 174.219144, 16.260507, 161.878778, 13.917147, 149.877263, 11.291242, 137.512274, 8.665703, 125.843752, 6.129164, 113.459014, 3.393873, 101.957409, 1.150014, 89.399009, 0.000000, 77.051741, 0.347944, 65.226551, 2.476858, 52.273769, 5.889450, 40.707634, 10.658576, 28.493850, 17.038735, 17.335077, 25.744301, 7.080142, 37.690491, 0.735458, 49.649409, 0.000000, 62.024973, 3.215538, 72.821412, 11.612591, 78.605568, 23.487352, 81.361757, 35.550445, 82.204469, 48.046644, 81.469661, 60.250405, 80.147528, 72.981115, 78.830121, 84.810672, 77.779514, 97.082457, 77.172198, 108.895133, 76.407296, 121.460190, 77.032521, 133.381483, 78.790694, 145.759463, 79.900973, 157.637901, 80.972293, 169.533345, 81.597455, 182.318169, 82.110550, 194.071991, 81.266147, 206.238576, 77.714092, 218.816922, 67.275192, 228.137888, 59.140974, 229.556289, 54.964181, 230.708318
Type04, L, 235, 55.794950, 235.834868, 51.674038, 235.837835, 43.265603, 235.233757, 31.832952, 227.359565, 25.498953, 215.277177, 21.849621, 204.405627, 19.723542, 191.622515, 18.162845, 179.484396, 16.383216, 167.385048, 13.874532, 155.009770, 11.312334, 142.598862, 8.559775, 130.163034, 5.933977, 117.946523, 3.454104, 105.611043, 1.283365, 93.121217, 0.093550, 80.678950, 0.000000, 68.370719, 1.576972, 56.048868, 4.446448, 44.002008, 8.815431, 31.799310, 14.799903, 20.164991, 23.141574, 9.332488, 34.657603, 1.960431, 47.187320, 0.000000, 59.823749, 3.235320, 70.418963, 12.453589, 76.432442, 23.780780, 80.204080, 35.970771, 81.745074, 47.657323, 82.619377, 60.616345, 82.115860, 72.799931, 80.863443, 85.582522, 79.389855, 98.062977, 77.841357, 110.794648, 77.081068, 123.829216, 77.187091, 135.993346, 78.181795, 149.172375, 79.398669, 160.855027, 80.916244, 173.607651, 82.120427, 186.132424, 82.630016, 199.168752, 81.415437, 211.325627, 77.965956, 224.006942, 67.646744, 233.889490, 59.661576, 235.279391, 55.858646, 236.006435
Type04, L, 240, 58.720852, 241.051742, 54.170833, 241.020114, 45.917262, 238.592695, 33.955218, 231.450673, 27.413993, 219.001276, 24.173835, 206.483759, 21.608877, 193.148677, 20.038122, 180.849784, 17.615890, 168.359426, 15.081843, 155.774166, 12.842963, 143.918388, 10.085451, 131.015942, 7.532554, 118.277105, 5.123373, 106.058932, 2.699009, 93.247793, 0.656732, 81.040064, 0.000000, 68.273626, 1.659490, 56.107387, 5.513559, 43.464454, 10.395468, 31.338868, 16.109511, 19.350195, 24.718611, 8.333625, 37.103814, 2.438272, 49.694879, 0.000000, 62.211448, 3.507321, 72.701765, 13.981037, 78.663068, 25.468103, 82.194122, 38.443693, 83.881489, 51.007624, 84.369553, 63.994374, 84.197257, 75.789110, 82.961554, 88.984259, 81.292803, 101.275864, 79.689856, 114.161620, 78.885354, 126.788086, 79.136812, 139.046543, 80.414236, 151.889178, 81.622359, 164.510786, 83.036025, 176.561464, 82.780484, 189.088815, 84.209918, 202.209331, 84.651605, 214.034107, 79.895126, 226.098284, 71.762645, 237.512378, 62.962413, 240.643610, 58.850623, 241.029075
Type04, L, 245, 58.408124, 245.997478, 53.804242, 245.796504, 45.396039, 244.911404, 32.969308, 236.262073, 27.609274, 224.340107, 24.382318, 211.567090, 22.655541, 198.902936, 20.931900, 185.653252, 18.849052, 173.205364, 16.151049, 160.198237, 13.312244, 147.573099, 10.210542, 134.513560, 7.205491, 122.176112, 4.370777, 109.509879, 1.707151, 96.804602, 0.000000, 83.264488, 0.171639, 70.727548, 2.207851, 57.608469, 5.489639, 45.460396, 10.108389, 32.465869, 15.025560, 20.122756, 23.775210, 8.539997, 36.347919, 2.014245, 48.702911, 0.000000, 61.950666, 4.277581, 72.515562, 13.816558, 79.011727, 26.137100, 81.852938, 38.499220, 86.734300, 50.982332, 85.760662, 63.775235, 85.193947, 77.367678, 82.716867, 89.949389, 80.862515, 103.408118, 79.839743, 115.089411, 79.688700, 128.925009, 80.388671, 141.868308, 81.235682, 154.129118, 82.730627, 168.224530, 83.967816, 180.995331, 85.284137, 194.410981, 86.002854, 207.078950, 86.092666, 219.844379, 81.847426, 232.764413, 70.850734, 243.098368, 62.642271, 244.870035, 58.454746, 246.197149
Type04, L, 250, 61.650840, 250.809403, 57.509921, 250.826154, 48.386627, 249.333404, 36.335755, 240.218222, 29.174679, 227.880017, 25.728927, 214.417842, 24.373750, 200.920226, 22.489959, 186.403194, 20.039290, 173.991036, 16.908587, 160.309999, 13.711974, 148.077497, 10.211164, 134.846051, 7.036920, 122.429031, 3.853562, 108.886525, 1.637285, 96.428503, 0.000000, 82.025964, 0.505491, 69.116277, 3.069759, 55.751776, 6.964453, 42.952676, 12.025706, 30.110446, 18.016441, 17.506890, 28.189168, 6.653547, 41.010541, 1.423671, 53.640444, 0.000000, 67.088762, 4.902515, 77.280437, 15.515862, 83.553265, 27.375486, 88.040089, 41.138470, 89.645160, 53.446551, 90.059949, 67.161190, 89.061602, 80.262641, 87.372076, 92.803420, 85.443855, 106.477212, 83.971344, 119.072043, 83.259697, 133.170231, 83.421456, 146.009618, 85.157932, 159.698415, 86.877799, 173.359117, 87.782665, 185.975949, 88.831846, 197.626609, 90.192753, 212.380437, 89.453005, 224.639622, 85.892472, 238.071384, 74.832516, 248.699571, 65.717756, 250.056397, 61.798324, 251.092238
Type04, L, 260, 58.795074, 260.759261, 54.390550, 260.244995, 44.832560, 258.547820, 33.304555, 248.110077, 28.368800, 234.752268, 25.538079, 221.189391, 23.434134, 207.816743, 21.493819, 194.093287, 19.104027, 180.327326, 16.391063, 166.917370, 13.393730, 153.404400, 10.105299, 140.039417, 7.128972, 126.508613, 4.070214, 112.873461, 1.407153, 99.335133, 0.000000, 86.135642, 0.545080, 71.990910, 3.053347, 59.059667, 7.027254, 45.322666, 11.874024, 32.085387, 17.721096, 19.142495, 27.601288, 7.174115, 40.750498, 1.296090, 54.068163, 0.000000, 67.768640, 4.889571, 77.657030, 16.977305, 83.150450, 29.515063, 87.495991, 43.165110, 89.387092, 56.321140, 89.722352, 69.923871, 88.159846, 83.840844, 86.022217, 96.953265, 84.024863, 110.472221, 82.534977, 124.151974, 82.192169, 137.701513, 82.819944, 151.738910, 83.994804, 165.906997, 85.514787, 179.722992, 87.227978, 193.201064, 88.739469, 207.052655, 89.819869, 221.532815, 89.044056, 235.210330, 84.012851, 248.553449, 72.397451, 259.438308, 63.016871, 260.383326, 59.302521, 260.708299
Type04, L, 265, 59.651967, 265.695841, 55.093139, 265.363803, 46.029649, 264.659359, 33.267243, 254.883027, 27.854766, 241.175564, 24.709297, 227.533076, 22.443661, 212.896687, 21.084162, 199.507558, 18.804299, 184.781260, 16.240762, 171.101422, 13.323704, 157.449089, 10.324118, 143.490946, 7.202511, 129.879560, 4.401854, 116.424600, 1.808966, 102.210991, 0.000000, 88.837731, 0.148524, 74.766501, 2.442909, 60.734755, 6.079440, 47.468286, 10.888036, 33.785228, 16.444501, 20.473643, 25.475252, 7.933662, 39.083361, 1.052047, 52.744508, 0.000000, 67.218858, 4.674215, 77.539612, 16.740419, 83.212404, 29.876359, 86.673463, 43.962146, 89.473486, 57.243338, 90.437033, 70.735613, 89.139490, 84.927025, 87.458818, 98.374363, 85.866989, 111.919867, 84.612414, 126.211015, 83.979095, 139.942614, 84.222485, 154.064075, 85.122229, 167.340865, 86.802616, 181.525126, 88.295528, 195.423511, 89.726068, 209.299705, 90.277243, 223.790861, 89.045702, 237.843319, 85.278488, 252.239350, 74.257867, 263.836468, 64.311133, 264.953709, 59.950804, 265.897497
Type04, L, 270, 62.886266, 270.826950, 57.703255, 270.819946, 48.363796, 269.765485, 35.264181, 259.943581, 29.280621, 246.352060, 26.490385, 232.771352, 24.124323, 218.236645, 21.809548, 204.259440, 19.426872, 189.965277, 16.847553, 176.176409, 13.838251, 161.738243, 10.884826, 148.019663, 7.839635, 133.696155, 4.691354, 119.472644, 1.634010, 104.942801, 0.000000, 91.091155, 1.295369, 77.120222, 3.867547, 63.047116, 6.316340, 48.943154, 10.779169, 34.725500, 17.647392, 21.571763, 27.725601, 9.291856, 41.134814, 1.437213, 55.098320, 0.000000, 69.933389, 4.228434, 79.943867, 16.635234, 85.456792, 29.458883, 89.889391, 43.713386, 91.744214, 57.851192, 91.714390, 71.812107, 89.944778, 86.453552, 87.773761, 100.154129, 86.088506, 114.723070, 85.082546, 127.767472, 84.446403, 142.038235, 84.835532, 156.372231, 86.015567, 170.444560, 87.863108, 184.666290, 89.760174, 198.196615, 91.240689, 212.872697, 91.996474, 227.175487, 90.853817, 240.621301, 87.419031, 254.867126, 77.738878, 267.777628, 67.115180, 270.229834, 63.336603, 270.662221
Type04, L, 280, 63.978970, 281.077172, 58.899064, 280.721703, 48.662062, 280.064069, 35.580998, 269.947866, 29.241374, 255.691597, 25.709919, 241.257764, 23.056464, 226.118042, 21.295019, 211.521873, 18.939912, 196.939700, 16.104112, 182.153598, 12.966773, 167.633487, 10.041335, 153.895003, 6.918396, 138.999857, 4.308821, 125.603987, 1.722060, 110.408664, 0.000000, 95.671126, 0.033828, 80.309758, 2.107146, 65.893712, 6.164877, 51.554290, 11.244459, 37.025718, 17.000644, 23.389087, 26.525127, 9.721152, 40.632510, 2.167931, 54.938327, 0.000000, 70.380700, 4.351202, 81.056457, 17.224422, 87.606043, 30.806502, 91.965661, 45.428741, 93.628806, 59.151605, 93.901453, 74.151396, 92.910832, 89.182527, 91.292196, 103.008075, 89.642086, 117.869623, 88.046310, 132.601469, 87.119456, 147.019346, 87.049513, 161.646942, 88.048406, 176.407114, 89.720475, 191.470045, 91.268067, 205.914831, 93.000167, 220.126632, 94.057176, 235.386365, 93.161702, 250.726398, 90.287383, 264.910622, 79.504751, 277.700927, 69.112973, 280.224049, 64.196807, 281.055744
Type05, L, 240, 55.031695, 240.937651, 50.902575, 240.871553, 42.125475, 239.398759, 31.234636, 230.229300, 26.254819, 218.106668, 23.291497, 205.598949, 21.158817, 192.780646, 19.799098, 179.976746, 18.810190, 166.432445, 17.053585, 153.593628, 14.443532, 141.361257, 10.149296, 129.149928, 5.744562, 117.345564, 1.726405, 105.272419, 0.140742, 92.410852, 0.000000, 79.173638, 1.988323, 66.979360, 4.984140, 54.140890, 9.186148, 42.000404, 14.434805, 29.718994, 20.932475, 18.093858, 30.387566, 7.633988, 42.092939, 1.719745, 55.290910, 0.000000, 68.180657, 5.716240, 73.481431, 18.502172, 77.544515, 30.317688, 81.633767, 42.564047, 83.576867, 54.333474, 83.195433, 66.905236, 80.888650, 79.559224, 77.338035, 91.898275, 73.743036, 104.514651, 70.797603, 116.791053, 70.333886, 129.705747, 71.451983, 141.812122, 73.531691, 154.351639, 76.254904, 166.535094, 79.322330, 178.854404, 82.159270, 191.410456, 83.800852, 203.655617, 82.469620, 216.309938, 78.180992, 229.047676, 67.725132, 238.746694, 58.938961, 240.397074, 55.481032, 241.175931
