,Type00,Type01,Type02,Type03,Type04,Type05,Type06,Type07
Type00,0.0000,4.2466,5.7490,4.3474,3.2796,4.4783,4.0957,3.6903
Type01,4.2466,0.0000,6.6959,2.8857,3.7313,5.4473,3.0440,7.4025
Type02,5.7490,6.6959,0.0000,4.5524,4.1418,4.7755,4.2278,7.8198
Type03,4.3474,2.8857,4.5524,0.0000,3.1639,3.6959,1.1608,7.3809
Type04,3.2796,3.7313,4.1418,3.1639,0.0000,4.0013,3.2145,6.0065
Type05,4.4783,5.4473,4.7755,3.6959,4.0013,0.0000,4.1662,5.6337
Type06,4.0957,3.0440,4.2278,1.1608,3.2145,4.1662,0.0000,7.2874
Type07,3.6903,7.4025,7.8198,7.3809,6.0065,5.6337,7.2874,0.0000
