Type,Base_Size,Matched_Type,Time_sec,Points
Type00,240,Self (Ratio),5.6e-05,20
Type01,230,Self (Ratio),4.9e-05,20
Type02,230,Self (Ratio),4.8e-05,20
Type03,230,Self (Ratio),8.3e-05,20
Type04,230,Self (Ratio),5.9e-05,20
Type05,250,Self (Ratio),4.8e-05,20
