Model,RMSE,MAE,Hausdorff_max,Chamfer_mean,Length_Error,Width_Error,Area_Error,IoU,Dice,EMD
PCA_GPR,17.87104,16.92873,12.23700,3.52256,33.69661,3.56596,1288.92578,0.88402,0.93730,16.65534
PCA_KRR,17.10251,16.00547,6.48111,1.97905,11.70650,1.52960,515.89823,0.92813,0.96253,15.63848
PCA_LINEAR,16.88025,15.84051,6.35259,1.95912,12.48973,1.64832,532.34686,0.92938,0.96321,15.48391
PCA_SVR,16.93934,15.79137,6.20814,2.01916,11.19127,1.52584,518.44534,0.92603,0.96141,15.41780
PURE_GPR,17.05042,16.04197,6.43637,2.07614,11.79674,1.66786,680.87195,0.91163,0.95349,15.67147
PURE_KRR,17.05759,15.95037,6.35072,1.98938,11.49931,1.49483,705.51020,0.91679,0.95625,15.56155
PURE_SVR,17.24664,16.11418,6.52326,2.02345,12.04295,1.60855,716.40333,0.91675,0.95619,15.72570
RATIO_CTRL,2.29015,2.12171,2.97350,1.24615,3.14304,1.84552,445.65662,0.95391,0.97610,1.69492
