,Type00,Type01,Type02,Type03,Type04,Type05,Type06,Type07
Type00,0.0000,4.2548,5.7367,4.3499,3.2796,4.4878,4.1081,3.6668
Type01,4.2548,0.0000,6.6689,2.8819,3.7389,5.4520,3.0387,7.3895
Type02,5.7367,6.6689,0.0000,4.5198,4.1342,4.7888,4.2041,7.8081
Type03,4.3499,2.8819,4.5198,0.0000,3.1430,3.6925,1.1659,7.3569
Type04,3.2796,3.7389,4.1342,3.1430,0.0000,3.9817,3.2325,5.9965
Type05,4.4878,5.4520,4.7888,3.6925,3.9817,0.0000,4.1684,5.6266
Type06,4.1081,3.0387,4.2041,1.1659,3.2325,4.1684,0.0000,7.2741
Type07,3.6668,7.3895,7.8081,7.3569,5.9965,5.6266,7.2741,0.0000
